Rank	Gene_Alias	Ensembl_id	Entrez_id	GO_terms	Description
28	CAE2 ECA2 GABRG2 GEFSP3 	ENSG00000113327 	2566 	synaptic transmission, GABAergic : adult behavior : gamma-aminobutyric acid signaling pathway : post-embryonic development : ion transmembrane transport : dendrite membrane : inhibitory synapse : chloride channel complex : synapse : postsynaptic membrane : cell junction : membrane : axon : integral component of plasma membrane : cytoplasm : plasma membrane : integral component of membrane : chloride transport : transport : ion transport : synaptic transmission : transmembrane transport : 	gamma-aminobutyric acid (GABA) A receptor, gamma 2 
29	KIAA0985 RPH3A 	ENSG00000089169 	22895 	synaptic vesicle : cell junction : membrane : intracellular protein transport : 	rabphilin 3A homolog (mouse) 
30	CHGB SCG1 	ENSG00000089199 	1114 	secretory granule : extracellular region : 	chromogranin B (secretogranin 1) 
31	HsT1192 KIAA1342 SYT4 	ENSG00000132872 	6860 	neurotransmitter secretion : negative regulation of vesicle fusion : negative regulation of calcium ion-dependent exocytosis : neuron projection : synaptic vesicle membrane : synaptic vesicle : cell junction : perinuclear region of cytoplasm : membrane : integral component of membrane : dense core granule : 	synaptotagmin IV 
32	D3S1319E PFL PFN2 	ENSG00000070087 	5217 	regulation of synaptic vesicle exocytosis : negative regulation of actin filament polymerization : positive regulation of actin filament polymerization : actin cytoskeleton organization : terminal bouton : actin cytoskeleton : cytoplasm : 	profilin 2 
33	FXYD6 	ENSG00000137726 	53826 	ion transmembrane transport : membrane : plasma membrane : integral component of membrane : ion transport : transmembrane transport : 	FXYD domain containing ion transport regulator 6 
34	RAB3A 	ENSG00000105649 	5864 	sensory perception of touch : maintenance of presynaptic active zone structure : regulation of synaptic vesicle fusion to presynaptic membrane : GTP catabolic process : synaptic vesicle maturation : respiratory system process : synaptic vesicle exocytosis : glutamate secretion : neuromuscular synaptic transmission : nucleocytoplasmic transport : lung development : response to electrical stimulus : mitochondrion organization : neurotransmitter secretion : post-embryonic development : axonogenesis : positive regulation of ATPase activity : regulation of exocytosis : clathrin-sculpted monoamine transport vesicle membrane : clathrin-sculpted glutamate transport vesicle membrane : clathrin-sculpted acetylcholine transport vesicle membrane : clathrin-sculpted gamma-aminobutyric acid transport vesicle membrane : acrosomal vesicle : protein complex : synaptic vesicle : intracellular : cytosol : membrane : cytoplasm : plasma membrane : nucleus : intracellular organelle : signal transduction : intracellular protein transport : small GTPase mediated signal transduction : synaptic transmission : protein transport : 	RAB3A, member RAS oncogene family 
35	RGS7 	ENSG00000182901 	6000 	termination of G-protein coupled receptor signaling pathway : heterotrimeric G-protein complex : positive regulation of GTPase activity : regulation of G-protein coupled receptor protein signaling pathway : dendrite terminus : cytosol : cytoplasm : plasma membrane : nucleus : protein complex : intracellular signal transduction : G-protein coupled receptor signaling pathway : 	regulator of G-protein signaling 7 
36	MGC110988 NACP PARK1 PARK4 PD1 SNCA 	ENSG00000145335 	6622 	negative regulation of thrombin receptor signaling pathway : negative regulation of norepinephrine uptake : negative regulation of dopamine uptake involved in synaptic transmission : dopamine uptake involved in synaptic transmission : negative regulation of exocytosis : negative regulation of monooxygenase activity : regulation of phospholipase activity : negative regulation of serotonin uptake : negative regulation of transporter activity : response to iron(II) ion : positive regulation of release of sequestered calcium ion into cytosol : protein destabilization : activation of cysteine-type endopeptidase activity involved in apoptotic process : cellular response to epinephrine stimulus : positive regulation of receptor recycling : regulation of acyl-CoA biosynthetic process : behavioral response to cocaine : negative regulation of dopamine metabolic process : regulation of macrophage activation : mitochondrial ATP synthesis coupled electron transport : regulation of locomotion : regulation of dopamine secretion : regulation of glutamate secretion : mitochondrial membrane organization : neutral lipid metabolic process : microglial cell activation : phospholipid metabolic process : positive regulation of inositol phosphate biosynthetic process : cellular response to fibroblast growth factor stimulus : receptor internalization : positive regulation of endocytosis : response to interleukin-1 : response to interferon-gamma : synaptic transmission, dopaminergic : cellular response to oxidative stress : negative regulation of histone acetylation : dopamine biosynthetic process : positive regulation of protein serine/threonine kinase activity : regulation of long-term neuronal synaptic plasticity : extracellular fibril organization : synaptic vesicle endocytosis : positive regulation of peptidyl-serine phosphorylation : adult locomotory behavior : negative regulation of platelet-derived growth factor receptor signaling pathway : cellular response to copper ion : synapse organization : negative regulation of neuron apoptotic process : fatty acid metabolic process : regulation of excitatory postsynaptic membrane potential : negative regulation of cysteine-type endopeptidase activity involved in apoptotic process : response to magnesium ion : long-term synaptic potentiation : positive regulation of neurotransmitter secretion : response to lipopolysaccharide : aging : negative regulation of protein phosphorylation : negative regulation of microtubule polymerization : platelet alpha granule membrane : inclusion body : nuclear outer membrane : rough endoplasmic reticulum : terminal bouton : growth cone : cytoplasmic vesicle membrane : actin cytoskeleton : synaptic vesicle : cell cortex : ribosome : cytoskeleton : Golgi apparatus : cell junction : fibril : perinuclear region of cytoplasm : cytosol : mitochondrion : axon : extracellular region : cytoplasm : plasma membrane : nucleus : response to cocaine : positive regulation of synaptic transmission : synaptic vesicle transport : regulation of neurotransmitter secretion : regulation of neuronal synaptic plasticity : dopamine metabolic process : axon terminus : intracellular membrane-bounded organelle : synapse : oxidation-reduction process : synaptic transmission : negative regulation of apoptotic process : response to drug : 	synuclein, alpha (non A4 component of amyloid precursor) 
37	FLJ36928 GABABR2 GABBR2 GPR51 GPRC3B HG20 HRIHFB2099 	ENSG00000136928 	9568 	negative regulation of adenylate cyclase activity : gamma-aminobutyric acid signaling pathway : G-protein coupled receptor heterodimeric complex : neuron projection : postsynaptic membrane : cell junction : integral component of plasma membrane : cytoplasm : plasma membrane : integral component of membrane : G-protein coupled receptor signaling pathway : synaptic transmission : 	gamma-aminobutyric acid (GABA) B receptor, 2 
38	KIAA1379 PACSIN1 SDPI 	ENSG00000124507 	29993 	establishment of protein localization to plasma membrane : positive regulation of dendrite development : neuron projection morphogenesis : synaptic vesicle endocytosis : neuron development : membrane tubulation : negative regulation of endocytosis : actin filament organization : protein localization to membrane : COPI-coated vesicle : axon terminus : synapse : ruffle membrane : cytoplasmic vesicle membrane : cell junction : perinuclear region of cytoplasm : cytosol : cytoplasm : plasma membrane : 	protein kinase C and casein kinase substrate in neurons 1 
39	DDPAC FLJ31424 FTDP-17 MAPT MAPTL MGC138549 MSTD MTBT1 MTBT2 PPND TAU 	ENSG00000186868 	4137 	regulation of microtubule-based movement : regulation of microtubule polymerization : cellular component disassembly involved in execution phase of apoptosis : positive regulation of microtubule polymerization : generation of neurons : mitochondrion transport along microtubule : negative regulation of intracellular transport : axon extension : axon cargo transport : positive regulation of axon extension : regulation of autophagy : microtubule cytoskeleton organization : adult walking behavior : neuron migration : tubulin complex : growth cone : microtubule associated complex : nuclear periphery : microtubule : cytosol : axon : plasma membrane : axonogenesis : nucleus : cytoplasm : apoptotic process : 	microtubule-associated protein tau 
40	GABRB2 MGC119386 MGC119388 MGC119389 	ENSG00000145864 	2561 	cochlea development : synaptic transmission, GABAergic : innervation : inner ear receptor cell development : gamma-aminobutyric acid signaling pathway : sensory perception of sound : ion transmembrane transport : chloride channel complex : postsynaptic membrane : cell junction : cytosol : membrane : integral component of plasma membrane : plasma membrane : integral component of membrane : synapse : negative regulation of neuron death : neuron development : regulation of neuron apoptotic process : negative regulation of neuron apoptotic process : transport : ion transport : synaptic transmission : transmembrane transport : 	gamma-aminobutyric acid (GABA) A receptor, beta 2 
41	CAM2 CAMK2 CAMK2B CAMKB MGC29528 	ENSG00000058404 	816 	activation of meiosis involved in egg activation : regulation of synaptic transmission, cholinergic : regulation of skeletal muscle adaptation : inhibitory G-protein coupled receptor phosphorylation : regulation of dendritic spine development : positive regulation of dendritic spine morphogenesis : positive regulation of synapse maturation : G1/S transition of mitotic cell cycle : interferon-gamma-mediated signaling pathway : positive regulation of neuron projection development : positive regulation of apoptotic signaling pathway : regulation of synapse structural plasticity : regulation of long-term neuronal synaptic plasticity : regulation of calcium ion transport : protein autophosphorylation : peptidyl-serine phosphorylation : cytokine-mediated signaling pathway : neuromuscular process controlling balance : calcium ion transport : response to cadmium ion : endocytic vesicle membrane : spindle midzone : sarcoplasmic reticulum membrane : microtubule organizing center : nucleoplasm : cytosol : plasma membrane : signal transduction : protein phosphorylation : synaptic transmission : 	calcium/calmodulin-dependent protein kinase II beta 
42	DKFZp564J157 FLJ23818 PRR13 TXR1 	ENSG00000205352 	54458 	nucleolus : transcription, DNA-templated : regulation of transcription, DNA-templated : 	proline rich 13 
43	14-3-3E FLJ45465 KCIP-1 MDCR MDS YWHAE 	ENSG00000108953 	7531 	negative regulation of peptidyl-serine dephosphorylation : regulation of heart rate by hormone : membrane repolarization during cardiac muscle cell action potential : regulation of cysteine-type endopeptidase activity involved in apoptotic process : positive regulation of protein insertion into mitochondrial membrane involved in apoptotic signaling pathway : regulation of membrane repolarization : regulation of potassium ion transmembrane transporter activity : neurotrophin TRK receptor signaling pathway : apoptotic signaling pathway : protein targeting : intrinsic apoptotic signaling pathway : hippocampus development : G2/M transition of mitotic cell cycle : cerebral cortex development : hippo signaling : regulation of heart rate by cardiac conduction : neuron migration : negative regulation of protein dephosphorylation : kinesin complex : extracellular vesicular exosome : cytoplasmic vesicle membrane : melanosome : cytosol : mitochondrion : mitotic cell cycle : apoptotic process : intracellular signal transduction : modulation by virus of host morphology or physiology : 	tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein, epsilon polypeptide 
44	ESMLC LC17-GI LC17-NM LC17A LC17B MLC1SM MLC3NM MLC3SM MYL6 	ENSG00000092841 	4637 	muscle filament sliding : muscle contraction : skeletal muscle tissue development : unconventional myosin complex : myosin complex : cytosol : axon guidance : 	myosin, light chain 6, alkali, smooth muscle and non-muscle 
45	DYRK1AP3 KIAA0273 PAHX-AP PAHXAP1 PHYHIP 	ENSG00000168490 	9796 	Unavailable	phytanoyl-CoA 2-hydroxylase interacting protein 
46	LDH-H LDHB TRG-5 	ENSG00000111716 	3945 	cellular metabolic process : pyruvate metabolic process : cellular carbohydrate metabolic process : NAD metabolic process : lactate metabolic process : glycolytic process : cytosol : mitochondrion : cytoplasm : carbohydrate metabolic process : oxidation-reduction process : small molecule metabolic process : 	lactate dehydrogenase B 
47	FX PTMB4 TB4X TMSB4 TMSB4X 	ENSG00000205542 	7114 	sequestering of actin monomers : platelet degranulation : platelet activation : actin cytoskeleton organization : cytoskeleton organization : platelet alpha granule lumen : cytoskeleton : extracellular region : cytoplasm : blood coagulation : 	thymosin beta 4, X-linked 
48	KCIP-1 MGC111427 MGC126532 MGC138156 YWHAZ 	ENSG00000164924 	7534 	positive regulation of protein insertion into mitochondrial membrane involved in apoptotic signaling pathway : intrinsic apoptotic signaling pathway : regulation of cell death : protein targeting to mitochondrion : histamine secretion by mast cell : platelet activation : mRNA metabolic process : RNA metabolic process : protein targeting : cell leading edge : extracellular vesicular exosome : postsynaptic density : cytoplasmic vesicle membrane : melanosome : protein complex : nucleoplasm : perinuclear region of cytoplasm : cytosol : mitochondrion : cytoplasm : nucleus : blood coagulation : apoptotic process : signal transduction : negative regulation of apoptotic process : response to drug : gene expression : 	tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein, zeta polypeptide 
49	MEF2C 	ENSG00000081189 	4208 	positive regulation of skeletal muscle cell differentiation : toll-like receptor 5 signaling pathway : positive regulation of muscle cell differentiation : toll-like receptor TLR6:TLR2 signaling pathway : toll-like receptor TLR1:TLR2 signaling pathway : TRIF-dependent toll-like receptor signaling pathway : toll-like receptor 2 signaling pathway : neurotrophin TRK receptor signaling pathway : toll-like receptor 9 signaling pathway : toll-like receptor 4 signaling pathway : stress-activated MAPK cascade : cardiac conduction : mitochondrial genome maintenance : toll-like receptor 10 signaling pathway : epithelial cell proliferation involved in renal tubule morphogenesis : positive regulation of behavioral fear response : positive regulation of macrophage apoptotic process : positive regulation of protein homodimerization activity : nephron tubule epithelial cell differentiation : glomerulus morphogenesis : positive regulation of cell proliferation in bone marrow : cartilage morphogenesis : regulation of synaptic activity : B cell receptor signaling pathway : embryonic viscerocranium morphogenesis : regulation of megakaryocyte differentiation : cellular response to trichostatin A : monocyte differentiation : platelet formation : neural crest cell differentiation : muscle cell fate determination : cardiac ventricle formation : sinoatrial valve morphogenesis : secondary heart field specification : primary heart field specification : regulation of germinal center formation : heart looping : positive regulation of alkaline phosphatase activity : cellular response to retinoic acid : toll-like receptor 3 signaling pathway : MyD88-independent toll-like receptor signaling pathway : negative regulation of ossification : negative regulation of gene expression : MyD88-dependent toll-like receptor signaling pathway : ventricular cardiac myofibril assembly : response to vitamin E : positive regulation of skeletal muscle tissue development : MAPK cascade : positive regulation of B cell proliferation : germinal center formation : cellular response to parathyroid hormone stimulus : positive regulation of bone mineralization : B cell proliferation : muscle cell differentiation : B cell homeostasis : chondrocyte differentiation : positive regulation of cardiac muscle cell differentiation : osteoblast differentiation : mitochondrion distribution : positive regulation of myoblast differentiation : cellular response to drug : palate development : blood vessel development : myotube differentiation : skeletal muscle tissue development : smooth muscle cell differentiation : positive regulation of osteoblast differentiation : cellular response to fluid shear stress : renal tubule morphogenesis : ventricular cardiac muscle cell differentiation : neuron development : cellular response to glucose stimulus : positive regulation of cardiac muscle cell proliferation : regulation of sarcomere organization : toll-like receptor signaling pathway : endochondral ossification : negative regulation of neuron apoptotic process : cardiac muscle hypertrophy in response to stress : humoral immune response : outflow tract morphogenesis : negative regulation of epithelial cell proliferation : cellular response to calcium ion : nervous system development : dentate gyrus development : melanocyte differentiation : cellular response to lipopolysaccharide : muscle organ development : positive regulation of gene expression : neuron differentiation : skeletal muscle cell differentiation : response to virus : cellular response to transforming growth factor beta stimulus : learning or memory : blood vessel remodeling : heart development : positive regulation of neuron differentiation : cardiocyte differentiation : cardiac muscle cell differentiation : embryonic skeletal system morphogenesis : cell fate commitment : positive regulation of cardiac muscle hypertrophy : response to nutrient levels : cellular response to organic cyclic compound : cellular response to growth factor stimulus : nuclear speck : nuclear chromatin : protein complex : nucleoplasm : intracellular membrane-bounded organelle : cytoplasm : nucleus : sarcomere : negative regulation of transcription from RNA polymerase II promoter : transcription from RNA polymerase II promoter : apoptotic process : transcription, DNA-templated : regulation of transcription, DNA-templated : positive regulation of transcription, DNA-templated : innate immune response : positive regulation of transcription from RNA polymerase II promoter : 	myocyte enhancer factor 2C 
50	ANOP3 MCOPS3 MGC2413 SOX2 	ENSG00000181449 	6657 	pigment biosynthetic process : forebrain neuron differentiation : glial cell fate commitment : regulation of cysteine-type endopeptidase activity involved in apoptotic process : endodermal cell fate specification : retina morphogenesis in camera-type eye : olfactory placode formation : adenohypophysis development : diencephalon morphogenesis : response to growth factor : chromatin organization : lens induction in camera-type eye : neuronal stem cell maintenance : lung alveolus development : inner ear development : negative regulation of osteoblast differentiation : osteoblast differentiation : response to retinoic acid : neuron fate commitment : epithelial tube branching involved in lung morphogenesis : male genitalia development : positive regulation of MAPK cascade : forebrain development : positive regulation of epithelial cell differentiation : pituitary gland development : regulation of gene expression : positive regulation of Notch signaling pathway : negative regulation of epithelial cell proliferation : negative regulation of neuron differentiation : somatic stem cell maintenance : negative regulation of canonical Wnt signaling pathway : positive regulation of neuroblast proliferation : cerebral cortex development : cell cycle arrest : tongue development : response to wounding : inner ear morphogenesis : detection of mechanical stimulus involved in equilibrioception : detection of mechanical stimulus involved in sensory perception of sound : eye development : positive regulation of neuron differentiation : cytosol : cytoplasm : transcription factor complex : nucleus : embryonic organ development : anatomical structure formation involved in morphogenesis : response to organic substance : negative regulation of cell differentiation : cell fate specification : negative regulation of Wnt signaling pathway : stem cell maintenance : regulation of neurogenesis : sensory perception of sound : cell fate commitment : stem cell differentiation : negative regulation of transcription from RNA polymerase II promoter : regulation of transcription, DNA-templated : regulation of transcription from RNA polymerase II promoter : positive regulation of transcription, DNA-templated : positive regulation of transcription from RNA polymerase II promoter : 	SRY (sex determining region Y)-box 2 
51	ACTL6 ACTL6B BAF53B 	ENSG00000077080 	51412 	chromatin organization : chromatin remodeling : nervous system development : SWI/SNF complex : nBAF complex : nucleolus : nucleus : transcription, DNA-templated : regulation of transcription from RNA polymerase II promoter : 	actin-like 6B 
52	DKFZp686J2446 MGC105123 NP1 NPTX1 	ENSG00000171246 	4884 	axonogenesis involved in innervation : central nervous system development : cellular response to potassium ion : mitochondrial fragmentation involved in apoptotic process : mitochondrial transport : cellular response to glucose stimulus : transport vesicle : cytoplasm : plasma membrane : mitochondrion : neuron projection : transport : synaptic transmission : 	neuronal pentraxin I 
53	DOC2A 	ENSG00000149927 	8448 	regulation of calcium ion-dependent exocytosis : synaptic vesicle exocytosis : nervous system development : lysosome : neuron projection : synaptic vesicle membrane : cell junction : synaptic transmission : 	double C2-like domains, alpha 
54	2P1 DKFZp564J0123 E3-3 MGC10527 NDUFAF3 	ENSG00000178057 	25915 	mitochondrial respiratory chain complex I assembly : mitochondrial inner membrane : nucleus : mitochondrion : 	NADH dehydrogenase (ubiquinone) 1 alpha subcomplex, assembly factor 3 
55	DKFZp761F1924 MGC2124 MGC60244 RGP4 RGS4 SCZD9 	ENSG00000117152 	5999 	positive regulation of GTPase activity : inactivation of MAPK activity : regulation of G-protein coupled receptor protein signaling pathway : termination of G-protein coupled receptor signaling pathway : negative regulation of G-protein coupled receptor protein signaling pathway : cytosol : membrane : cytoplasm : plasma membrane : protein complex : 	regulator of G-protein signaling 4 
56	CSP2 DSCR1L1 hRCN2 MCIP2 RCAN2 RCN2 ZAKI-4 	ENSG00000172348 	10231 	calcium-mediated signaling : central nervous system development : 	regulator of calcineurin 2 
