Symbol	Description	Score	Synonyms	GO annotations	Links
CDK5R1 	cyclin-dependent kinase 5, regulatory subunit 1 (p35) [Source:HGNC Symbol;Acc:1775]	73.01	ENSG00000176749;ENSP00000318486;ENSP00000463654;ENSP00000464129;8851;CDK5R1;NP_003876;NM_003885;Nck5a;p35nck5a;CD5R1_HUMAN;Q15078;	regulation of nervous system development; regulation of neurogenesis	http://www.ncbi.nlm.nih.gov/sites/entrez?db=gene&cmd=search&term=8851
LDLRAD4 	low density lipoprotein receptor class A domain containing 4 [Source:HGNC Symbol;Acc:1224]	72.02	ENSG00000168675;ENSP00000352420;ENSP00000354753;ENSP00000382741;ENSP00000465244;ENSP00000465573;ENSP00000466178;ENSP00000466490;ENSP00000466771;ENSP00000466772;ENSP00000474783;753;LDLRAD4;NP_001003674;NP_001003675;NP_001263178;NP_001263180;NP_852146;NP_852147;NM_001003674;NM_001003675;NM_001276249;NM_001276251;NM_181481;NM_181482;C18orf1;LRAD4_HUMAN;O15165;		http://www.ncbi.nlm.nih.gov/sites/entrez?db=gene&cmd=search&term=753
NKTR 	natural killer-tumor recognition sequence [Source:HGNC Symbol;Acc:7833]	71.59	ENSG00000114857;ENSP00000232978;ENSP00000390259;ENSP00000404802;ENSP00000408660;4820;NKTR;NP_005376;NM_005385;p104;NKTR_HUMAN;P30414;		http://www.ncbi.nlm.nih.gov/sites/entrez?db=gene&cmd=search&term=4820
ICMT 	isoprenylcysteine carboxyl methyltransferase [Source:HGNC Symbol;Acc:5350]	71.51	ENSG00000116237;ENSP00000343552;ENSP00000354894;ENSP00000466222;ENSP00000467999;23463;ICMT;NP_036537;NM_012405;HSTE14;PCCMT;PPMT;ICMT_HUMAN;O60725;	establishment of protein localization to membrane; protein localization to membrane; protein targeting; protein targeting to membrane; single-organism cellular localization; single-organism localization	http://www.ncbi.nlm.nih.gov/sites/entrez?db=gene&cmd=search&term=23463
WASL 	Wiskott-Aldrich syndrome-like [Source:HGNC Symbol;Acc:12735]	70.34	ENSG00000106299;ENSP00000223023;8976;WASL;NP_003932;NM_003941;N-WASP;NWASP;O00401;WASL_HUMAN;		http://www.ncbi.nlm.nih.gov/sites/entrez?db=gene&cmd=search&term=8976
MPHOSPH9 	M-phase phosphoprotein 9 [Source:HGNC Symbol;Acc:7215]	70.03	ENSG00000051825;ENSP00000303597;ENSP00000304096;ENSP00000376220;ENSP00000440007;ENSP00000440664;ENSP00000441298;ENSP00000441764;ENSP00000442663;ENSP00000445859;ENSP00000446249;ENSP00000446334;ENSP00000446362;ENSP00000475489;ENSP00000475578;ENSP00000475785;ENSP00000475923;10198;MPHOSPH9;NP_073619;NM_022782;MPP9;MPP9_HUMAN;Q99550;		http://www.ncbi.nlm.nih.gov/sites/entrez?db=gene&cmd=search&term=10198
PTEN 	phosphatase and tensin homolog [Source:HGNC Symbol;Acc:9588]	69.26	ENSG00000171862;ENSP00000361021;5728;PTEN;NP_000305;NM_000314;BZS;MHAM;MMAC1;PTEN1;P60484;PTEN_HUMAN;	regulation of nervous system development; regulation of neurogenesis; single-organism cellular localization; single-organism localization	http://www.ncbi.nlm.nih.gov/sites/entrez?db=gene&cmd=search&term=5728
TAF5L 	TAF5-like RNA polymerase II, p300/CBP-associated factor (PCAF)-associated factor, 65kDa [Source:HGNC Symbol;Acc:17304]	69.17	ENSG00000135801;ENSP00000258281;ENSP00000355634;ENSP00000355635;ENSP00000355636;27097;TAF5L;NP_001020418;NP_055224;NM_001025247;NM_014409;PAF65B;O75529;TAF5L_HUMAN;	acetyltransferase activity	http://www.ncbi.nlm.nih.gov/sites/entrez?db=gene&cmd=search&term=27097
FBXO9 	F-box protein 9 [Source:HGNC Symbol;Acc:13588]	68.64	ENSG00000112146;ENSP00000244426;ENSP00000326968;ENSP00000359977;ENSP00000417154;ENSP00000417349;ENSP00000418858;ENSP00000420536;ENSP00000477487;26268;FBXO9;NP_036479;NP_258441;NP_258442;NM_012347;NM_033480;NM_033481;FBX9;NY-REN-57;FBX9_HUMAN;Q9UK97;	acid-amino acid ligase activity; ligase activity, forming carbon-nitrogen bonds	http://www.ncbi.nlm.nih.gov/sites/entrez?db=gene&cmd=search&term=26268
NAGA 	N-acetylgalactosaminidase, alpha- [Source:HGNC Symbol;Acc:7631]	68.54	ENSG00000198951;ENSP00000379680;ENSP00000384603;ENSP00000385283;4668;NAGA;NP_000253;NM_000262;D22S674;NAGAB_HUMAN;P17050;		http://www.ncbi.nlm.nih.gov/sites/entrez?db=gene&cmd=search&term=4668
C14orf1 	chromosome 14 open reading frame 1 [Source:HGNC Symbol;Acc:1187]	68.29	ENSG00000133935;ENSP00000256319;11161;C14orf1;NP_009107;NM_007176;ERG28;NET51;ERG28_HUMAN;Q9UKR5;		http://www.ncbi.nlm.nih.gov/sites/entrez?db=gene&cmd=search&term=11161
ZIC1 	Zic family member 1 [Source:HGNC Symbol;Acc:12872]	67.39	ENSG00000152977;ENSP00000282928;ENSP00000419664;7545;ZIC1;NP_003403;NM_003412;ZIC;ZNF201;Q15915;ZIC1_HUMAN;		http://www.ncbi.nlm.nih.gov/sites/entrez?db=gene&cmd=search&term=7545
PFDN1 	prefoldin subunit 1 [Source:HGNC Symbol;Acc:8866]	66.50	ENSG00000113068;ENSP00000261813;ENSP00000426383;ENSP00000428707;5201;PFDN1;NP_002613;NM_002622;PFD1;O60925;PFD1_HUMAN;		http://www.ncbi.nlm.nih.gov/sites/entrez?db=gene&cmd=search&term=5201
ACAT1 	acetyl-CoA acetyltransferase 1 [Source:HGNC Symbol;Acc:93]	66.44	ENSG00000075239;ENSP00000265838;ENSP00000299355;ENSP00000433568;ENSP00000435965;ENSP00000436096;38;ACAT1;NP_000010;NM_000019;THIL;P24752;THIL_HUMAN;	acetyltransferase activity	http://www.ncbi.nlm.nih.gov/sites/entrez?db=gene&cmd=search&term=38
UPF3A 	UPF3 regulator of nonsense transcripts homolog A (yeast) [Source:HGNC Symbol;Acc:20332]	66.38	ENSG00000169062;ENSP00000329592;ENSP00000364448;65110;UPF3A;NP_075387;NP_542418;NM_023011;NM_080687;HUPF3A;RENT3A;UPF3;Q9H1J1;REN3A_HUMAN;	mRNA catabolic process; nuclear-transcribed mRNA catabolic process; nuclear-transcribed mRNA catabolic process, nonsense-mediated decay; RNA catabolic process	http://www.ncbi.nlm.nih.gov/sites/entrez?db=gene&cmd=search&term=65110
TNFAIP1 	tumor necrosis factor, alpha-induced protein 1 (endothelial) [Source:HGNC Symbol;Acc:11894]	66.38	ENSG00000109079;ENSG00000262447;ENSP00000226225;ENSP00000440749;ENSP00000459080;ENSP00000460559;ENSP00000464099;ENSP00000464515;ENSP00000464622;ENSP00000464637;ENSP00000464736;ENSP00000466301;7126;TNFAIP1;NP_066960;NM_021137;B61;BTBD34;EDP1;MGC2317;BACD2_HUMAN;Q13829;	acid-amino acid ligase activity; ligase activity, forming carbon-nitrogen bonds	http://www.ncbi.nlm.nih.gov/sites/entrez?db=gene&cmd=search&term=7126
RTN1 	reticulon 1 [Source:HGNC Symbol;Acc:10467]	66.08	ENSG00000139970;ENSP00000267484;ENSP00000340716;ENSP00000378525;6252;RTN1;NP_066959;NP_996734;NM_021136;NM_206852;Q16799;RTN1_HUMAN;		http://www.ncbi.nlm.nih.gov/sites/entrez?db=gene&cmd=search&term=6252
LSM5 	LSM5 homolog, U6 small nuclear RNA associated (S. cerevisiae) [Source:HGNC Symbol;Acc:17162]	65.95	ENSG00000106355;ENSP00000223084;ENSP00000386275;ENSP00000386363;ENSP00000386707;ENSP00000386814;ENSP00000387109;ENSP00000387126;ENSP00000410758;23658;LSM5;NP_001124182;NP_001132971;NP_036454;NM_001130710;NM_001139499;NM_012322;YER146W;LSM5_HUMAN;Q9Y4Y9;	mRNA catabolic process; nuclear-transcribed mRNA catabolic process; RNA catabolic process	http://www.ncbi.nlm.nih.gov/sites/entrez?db=gene&cmd=search&term=23658
WBSCR22 	Williams Beuren syndrome chromosome region 22 [Source:HGNC Symbol;Acc:16405]	65.83	ENSG00000071462;ENSG00000262030;ENSP00000265758;ENSP00000390048;ENSP00000390136;ENSP00000391410;ENSP00000391761;ENSP00000392039;ENSP00000394852;ENSP00000397056;ENSP00000398314;ENSP00000398732;ENSP00000401191;ENSP00000404981;ENSP00000415387;ENSP00000458140;ENSP00000458176;ENSP00000458744;ENSP00000459315;ENSP00000459652;ENSP00000459881;ENSP00000460714;ENSP00000460874;ENSP00000461046;ENSP00000461229;ENSP00000461378;ENSP00000461650;ENSP00000461671;114049;WBSCR22;NP_001189489;NP_059998;NM_001202560;NM_017528;MERM1;MGC19709;MGC2022;MGC5140;PP3381;WBMT;O43709;WBS22_HUMAN;		http://www.ncbi.nlm.nih.gov/sites/entrez?db=gene&cmd=search&term=114049
MSL3 	male-specific lethal 3 homolog (Drosophila) [Source:HGNC Symbol;Acc:7370]	65.81	ENSG00000005302;ENSP00000312244;ENSP00000338078;ENSP00000354562;ENSP00000370067;ENSP00000370068;ENSP00000370069;ENSP00000381538;ENSP00000401809;ENSP00000418673;ENSP00000419976;10943;MSL3;NP_001180199;NP_001269103;NP_006791;NP_523352;NP_523353;NM_001193270;NM_006800;NM_078628;NM_078629;MSL3L1;MS3L1_HUMAN;Q8N5Y2;		http://www.ncbi.nlm.nih.gov/sites/entrez?db=gene&cmd=search&term=10943
PRKD1 	protein kinase D1 [Source:HGNC Symbol;Acc:9407]	65.65	ENSG00000184304;ENSP00000333568;ENSP00000390535;ENSP00000446866;ENSP00000447333;ENSP00000447723;5587;PRKD1;NP_002733;NM_002742;PKC-mu;PKCM;PKD;PRKCM;KPCD1_HUMAN;Q15139;	regulation of nervous system development; regulation of neurogenesis	http://www.ncbi.nlm.nih.gov/sites/entrez?db=gene&cmd=search&term=5587
DMD 	dystrophin [Source:HGNC Symbol;Acc:2928]	65.55	ENSG00000198947;ENSP00000288447;ENSP00000340057;ENSP00000350765;ENSP00000352894;ENSP00000354464;ENSP00000354923;ENSP00000367948;ENSP00000367951;ENSP00000367974;ENSP00000367977;ENSP00000367979;ENSP00000367997;ENSP00000388559;ENSP00000395904;ENSP00000399897;ENSP00000417075;ENSP00000417123;ENSP00000417725;ENSP00000444119;1756;DMD;NP_000100;NP_003997;NP_004000;NP_004001;NP_004002;NP_004003;NP_004004;NP_004005;NP_004006;NP_004007;NP_004008;NP_004009;NP_004010;NP_004011;NP_004012;NP_004013;NP_004014;NM_000109;NM_004006;NM_004007;NM_004009;NM_004010;NM_004011;NM_004012;NM_004013;NM_004014;NM_004015;NM_004016;NM_004017;NM_004018;NM_004020;NM_004021;NM_004022;NM_004023;DXS142;DXS164;DXS206;DXS230;DXS239;DXS268;DXS269;DXS270;DXS272;DMD_HUMAN;P11532;	regulation of nervous system development; regulation of neurogenesis	http://www.ncbi.nlm.nih.gov/sites/entrez?db=gene&cmd=search&term=1756
GTF2I 	general transcription factor IIi [Source:HGNC Symbol;Acc:4659]	65.49	ENSG00000077809;ENSG00000263001;ENSP00000322542;ENSP00000322599;ENSP00000322671;ENSP00000387651;ENSP00000404240;ENSP00000405022;ENSP00000460070;2969;GTF2I;NP_001157108;NP_001267729;NP_001509;NP_127492;NP_127493;NP_127494;NM_001163636;NM_001518;NM_032999;NM_033000;NM_033001;BAP-135;BAP135;BTKAP1;DIWS;IB291;TFII-I;WBSCR6;GTF2I_HUMAN;P78347;		http://www.ncbi.nlm.nih.gov/sites/entrez?db=gene&cmd=search&term=2969
MARS 	methionyl-tRNA synthetase [Source:HGNC Symbol;Acc:6898]	64.93	ENSG00000166986;ENSP00000262027;ENSP00000314653;ENSP00000439307;ENSP00000446168;ENSP00000446729;ENSP00000447145;ENSP00000447258;ENSP00000447335;ENSP00000447914;ENSP00000448378;ENSP00000448576;ENSP00000448910;ENSP00000449071;ENSP00000449787;ENSP00000450018;4141;MARS;NP_004981;NM_004990;MetRS;P56192;SYMC_HUMAN;	ncRNA metabolic process	http://www.ncbi.nlm.nih.gov/sites/entrez?db=gene&cmd=search&term=4141
CDK16 	cyclin-dependent kinase 16 [Source:HGNC Symbol;Acc:8749]	64.68	ENSG00000102225;ENSG00000270633;ENSP00000276052;ENSP00000349762;ENSP00000405798;ENSP00000428349;ENSP00000428351;ENSP00000429044;ENSP00000429259;ENSP00000429751;ENSP00000429985;ENSP00000430486;ENSP00000430824;ENSP00000430966;ENSP00000430988;ENSP00000431085;ENSP00000473717;ENSP00000473731;ENSP00000473915;ENSP00000474193;ENSP00000474196;ENSP00000474278;ENSP00000474455;ENSP00000474587;ENSP00000474718;ENSP00000474747;ENSP00000474779;ENSP00000474867;ENSP00000474975;ENSP00000475112;5127;CDK16;NP_001163931;NP_006192;NP_148978;NM_001170460;NM_006201;NM_033018;FLJ16665;PCTAIRE;PCTAIRE1;PCTGAIRE;PCTK1;CDK16_HUMAN;Q00536;		http://www.ncbi.nlm.nih.gov/sites/entrez?db=gene&cmd=search&term=5127
RPL17-C18orf32 	RPL17-C18orf32 readthrough [Source:HGNC Symbol;Acc:44661]	64.66	ENSG00000215472;ENSP00000352143;ENSP00000463338;ENSP00000463379;100526842;6139;RPL17-C18orf32;NP_001186284;NP_001186285;NM_001199355;NM_001199356;		http://www.ncbi.nlm.nih.gov/sites/entrez?db=gene&cmd=search&term=100526842
STOM 	stomatin [Source:HGNC Symbol;Acc:3383]	64.45	ENSG00000148175;ENSP00000286713;ENSP00000339607;ENSP00000445764;2040;STOM;NP_001257455;NP_001257456;NP_004090;NP_937837;NM_001270526;NM_004099;NM_198194;BND7;EPB7;EPB72;P27105;STOM_HUMAN;		http://www.ncbi.nlm.nih.gov/sites/entrez?db=gene&cmd=search&term=2040
RPLP2 	ribosomal protein, large, P2 [Source:HGNC Symbol;Acc:10377]	64.16	ENSG00000177600;ENSP00000322419;ENSP00000431240;ENSP00000433443;6181;619565;RPLP2;NP_000995;NM_001004;D11S2243E;LP2;MGC71408;P05387;RLA2_HUMAN;	cellular protein complex disassembly; cotranslational protein targeting to membrane; cytosolic large ribosomal subunit; cytosolic part; cytosolic ribosome; establishment of protein localization to endoplasmic reticulum; establishment of protein localization to membrane; large ribosomal subunit; macromolecular complex disassembly; mRNA catabolic process; multi-organism metabolic process; nuclear-transcribed mRNA catabolic process; nuclear-transcribed mRNA catabolic process, nonsense-mediated decay; protein complex disassembly; protein localization to endoplasmic reticulum; protein localization to membrane; protein targeting; protein targeting to ER; protein targeting to membrane; ribosomal subunit; ribosome; RNA catabolic process; single-organism cellular localization; single-organism localization; SRP-dependent cotranslational protein targeting to membrane; structural constituent of ribosome; translational elongation; translational initiation; translational termination; viral gene expression; viral life cycle; viral transcription	http://www.ncbi.nlm.nih.gov/sites/entrez?db=gene&cmd=search&term=6181
MTR 	5-methyltetrahydrofolate-homocysteine methyltransferase [Source:HGNC Symbol;Acc:7468]	64.01	ENSG00000116984;ENSP00000355535;ENSP00000355536;ENSP00000402255;ENSP00000441845;4548;MTR;NP_000245;NM_000254;cblG;METH_HUMAN;Q99707;		http://www.ncbi.nlm.nih.gov/sites/entrez?db=gene&cmd=search&term=4548
BPTF 	bromodomain PHD finger transcription factor [Source:HGNC Symbol;Acc:3581]	63.86	ENSG00000171634;ENSG00000262858;ENSP00000307208;ENSP00000315454;ENSP00000334351;ENSP00000343837;ENSP00000388405;ENSP00000440854;ENSP00000443949;ENSP00000458864;ENSP00000459251;ENSP00000459309;ENSP00000459656;ENSP00000461014;ENSP00000462424;ENSP00000462486;ENSP00000462535;ENSP00000462703;ENSP00000462913;ENSP00000463373;ENSP00000463408;ENSP00000463736;ENSP00000463776;ENSP00000463845;2186;BPTF;NP_004450;NP_872579;NM_004459;NM_182641;FAC1;FALZ;NURF301;BPTF_HUMAN;Q12830;		http://www.ncbi.nlm.nih.gov/sites/entrez?db=gene&cmd=search&term=2186
CST3 	cystatin C [Source:HGNC Symbol;Acc:2475]	63.80	ENSG00000101439;ENSP00000366124;ENSP00000381446;ENSP00000381448;1471;CST3;NP_000090;NM_000099;CYTC_HUMAN;P01034;		http://www.ncbi.nlm.nih.gov/sites/entrez?db=gene&cmd=search&term=1471
GTF3C2 	general transcription factor IIIC, polypeptide 2, beta 110kDa [Source:HGNC Symbol;Acc:4665]	63.80	ENSG00000115207;ENSP00000264720;ENSP00000352536;ENSP00000389518;ENSP00000393429;ENSP00000399339;ENSP00000408174;ENSP00000409043;ENSP00000414422;2976;GTF3C2;NP_001030598;NP_001512;NM_001035521;NM_001521;KIAA0011;TFIIIC110;Q8WUA4;TF3C2_HUMAN;		http://www.ncbi.nlm.nih.gov/sites/entrez?db=gene&cmd=search&term=2976
RSRC2 	arginine/serine-rich coiled-coil 2 [Source:HGNC Symbol;Acc:30559]	63.66	ENSG00000111011;ENSP00000330188;ENSP00000343315;ENSP00000346678;ENSP00000412148;ENSP00000432725;ENSP00000436515;ENSP00000444159;ENSP00000445664;ENSP00000446470;65117;RSRC2;NP_075388;NM_023012;FLJ11021;Q7L4I2;RSRC2_HUMAN;		http://www.ncbi.nlm.nih.gov/sites/entrez?db=gene&cmd=search&term=65117
TANK 	TRAF family member-associated NFKB activator [Source:HGNC Symbol;Acc:11562]	63.65	ENSG00000136560;ENSP00000259075;ENSP00000376505;ENSP00000384235;ENSP00000384492;ENSP00000385487;ENSP00000385983;ENSP00000387439;ENSP00000388930;ENSP00000392776;ENSP00000398157;ENSP00000399934;ENSP00000410259;ENSP00000411041;ENSP00000412556;ENSP00000412622;ENSP00000415276;10010;TANK;NP_001186064;NP_004171;NP_597841;NM_001199135;NM_004180;NM_133484;I-TRAF;Q92844;TANK_HUMAN;		http://www.ncbi.nlm.nih.gov/sites/entrez?db=gene&cmd=search&term=10010
NUTF2 	nuclear transport factor 2 [Source:HGNC Symbol;Acc:13722]	63.57	ENSG00000102898;ENSP00000219169;ENSP00000456428;ENSP00000457022;ENSP00000457989;10204;128322;NUTF2;NP_005787;NM_005796;NTF2;PP15;NTF2_HUMAN;P61970;		http://www.ncbi.nlm.nih.gov/sites/entrez?db=gene&cmd=search&term=10204
RPS6 	ribosomal protein S6 [Source:HGNC Symbol;Acc:10429]	63.47	ENSG00000137154;ENSP00000369741;ENSP00000369743;ENSP00000369745;ENSP00000369757;6194;RPS6;NP_001001;NM_001010;P62753;RS6_HUMAN;	cellular protein complex disassembly; cotranslational protein targeting to membrane; cytosolic part; cytosolic ribosome; cytosolic small ribosomal subunit; establishment of protein localization to endoplasmic reticulum; establishment of protein localization to membrane; macromolecular complex disassembly; mRNA catabolic process; multi-organism metabolic process; ncRNA metabolic process; ncRNA processing; nuclear-transcribed mRNA catabolic process; nuclear-transcribed mRNA catabolic process, nonsense-mediated decay; protein complex disassembly; protein localization to endoplasmic reticulum; protein localization to membrane; protein targeting; protein targeting to ER; protein targeting to membrane; ribonucleoprotein complex biogenesis; ribosomal small subunit biogenesis; ribosomal subunit; ribosome; ribosome biogenesis; RNA catabolic process; rRNA metabolic process; rRNA processing; single-organism cellular localization; single-organism localization; small ribosomal subunit; SRP-dependent cotranslational protein targeting to membrane; translational elongation; translational initiation; translational termination; viral gene expression; viral life cycle; viral transcription	http://www.ncbi.nlm.nih.gov/sites/entrez?db=gene&cmd=search&term=6194
