Symbol	Description	Score	Synonyms	GO annotations	Links
NMRK1 	nicotinamide riboside kinase 1 [Source:HGNC Symbol;Acc:26057]	80.10	ENSG00000106733;ENSP00000354387;ENSP00000366004;ENSP00000366007;ENSP00000435736;54981;NMRK1;NP_001121075;NP_060351;NM_001127603;NM_017881;bA235O14.2;C9orf95;FLJ20559;NRK1;NRK1_HUMAN;Q9NWW6;		http://www.ncbi.nlm.nih.gov/sites/entrez?db=gene&cmd=search&term=54981
WDR78 	WD repeat domain 78 [Source:HGNC Symbol;Acc:26252]	79.96	ENSG00000152763;ENSP00000360061;ENSP00000360062;ENSP00000360065;ENSP00000393182;ENSP00000432461;ENSP00000432979;ENSP00000433037;ENSP00000433682;ENSP00000434351;ENSP00000435836;ENSP00000436463;79819;WDR78;NP_079039;NP_996897;NM_024763;NM_207014;DIC4;FLJ23129;Q5VTH9;WDR78_HUMAN;		http://www.ncbi.nlm.nih.gov/sites/entrez?db=gene&cmd=search&term=79819
RNF130 	ring finger protein 130 [Source:HGNC Symbol;Acc:18280]	79.86	ENSG00000113269;ENSP00000261947;ENSP00000429509;ENSP00000430237;ENSP00000430999;55819;RNF130;NP_001267730;NP_060904;NM_001280801;NM_018434;G1RZFP;GOLIATH;GP;GOLI_HUMAN;Q86XS8;		http://www.ncbi.nlm.nih.gov/sites/entrez?db=gene&cmd=search&term=55819
TMEM183A 	transmembrane protein 183A [Source:HGNC Symbol;Acc:20173]	78.95	ENSG00000163444;ENSP00000356211;653659;92703;TMEM183A;NP_001073277;NP_612400;NM_001079809;NM_138391;C1orf37;Q8IXX5;T183A_HUMAN;		http://www.ncbi.nlm.nih.gov/sites/entrez?db=gene&cmd=search&term=653659
SYNM 	synemin, intermediate filament protein [Source:HGNC Symbol;Acc:24466]	77.98	ENSG00000182253;ENSP00000330469;ENSP00000336775;ENSP00000453040;23336;SYNM;NP_056101;NP_663780;NM_015286;NM_145728;DMN;KIAA0353;O15061;SYNEM_HUMAN;	vinculin binding	http://www.ncbi.nlm.nih.gov/sites/entrez?db=gene&cmd=search&term=23336
SPRED2 	sprouty-related, EVH1 domain containing 2 [Source:HGNC Symbol;Acc:17722]	77.97	ENSG00000198369;ENSP00000348753;ENSP00000390595;ENSP00000393148;ENSP00000393697;ENSP00000406481;ENSP00000407627;ENSP00000414551;200734;SPRED2;NP_001121682;NP_861449;NM_001128210;NM_181784;FLJ21897;FLJ31917;Spred-2;Q7Z698;SPRE2_HUMAN;	protein kinase binding	http://www.ncbi.nlm.nih.gov/sites/entrez?db=gene&cmd=search&term=200734
RBM15 	RNA binding motif protein 15 [Source:HGNC Symbol;Acc:14959]	77.52	ENSG00000162775;ENSP00000358799;ENSP00000473552;ENSP00000473638;64783;RBM15;NP_001188474;NP_073605;NM_001201545;NM_022768;OTT;OTT1;Q96T37;RBM15_HUMAN;		http://www.ncbi.nlm.nih.gov/sites/entrez?db=gene&cmd=search&term=64783
COX20 	COX20 cytochrome C oxidase assembly factor [Source:HGNC Symbol;Acc:26970]	77.18	ENSG00000203667;ENSP00000355486;ENSP00000406327;116228;COX20;NP_932342;NM_198076;FAM36A;FLJ43269;COX20_HUMAN;Q5RI15;		http://www.ncbi.nlm.nih.gov/sites/entrez?db=gene&cmd=search&term=116228
SUPT7L 	suppressor of Ty 7 (S. cerevisiae)-like [Source:HGNC Symbol;Acc:30632]	76.93	ENSG00000119760;ENSP00000336750;ENSP00000384469;ENSP00000385218;ENSP00000385436;ENSP00000441110;9913;SUPT7L;NP_001269658;NP_001269659;NP_001269660;NP_001269661;NP_055675;NM_001282729;NM_014860;gamma;KIAA0764;SPT7L;STAF65;O94864;ST65G_HUMAN;		http://www.ncbi.nlm.nih.gov/sites/entrez?db=gene&cmd=search&term=9913
PSPH 	phosphoserine phosphatase [Source:HGNC Symbol;Acc:9577]	76.47	ENSG00000146733;ENSP00000275605;ENSP00000378854;ENSP00000390452;ENSP00000390952;ENSP00000398653;ENSP00000399660;ENSP00000401639;ENSP00000403431;ENSP00000404674;ENSP00000405538;5723;PSPH;NP_004568;NM_004577;P78330;SERB_HUMAN;		http://www.ncbi.nlm.nih.gov/sites/entrez?db=gene&cmd=search&term=5723
PLEKHB1 	pleckstrin homology domain containing, family B (evectins) member 1 [Source:HGNC Symbol;Acc:19079]	76.09	ENSG00000021300;ENSP00000227214;ENSP00000346127;ENSP00000381505;ENSP00000381507;ENSP00000438809;ENSP00000439714;ENSP00000440102;ENSP00000440122;ENSP00000441224;ENSP00000441558;ENSP00000442136;ENSP00000442616;ENSP00000443899;ENSP00000444453;ENSP00000445807;ENSP00000445990;58473;PLEKHB1;NP_001123505;NP_001123506;NP_001123507;NP_001123508;NP_067023;NM_001130033;NM_001130034;NM_001130035;NM_001130036;NM_021200;KPL1;PHR1;PHRET1;PKHB1_HUMAN;Q9UF11;		http://www.ncbi.nlm.nih.gov/sites/entrez?db=gene&cmd=search&term=58473
MAP3K13 	mitogen-activated protein kinase kinase kinase 13 [Source:HGNC Symbol;Acc:6852]	75.80	ENSG00000073803;ENSP00000265026;ENSP00000389495;ENSP00000389798;ENSP00000390323;ENSP00000392223;ENSP00000399910;ENSP00000403561;ENSP00000405163;ENSP00000405233;ENSP00000407361;ENSP00000409325;ENSP00000411483;ENSP00000412037;ENSP00000415712;ENSP00000439257;9175;MAP3K13;NP_001229243;NP_001229246;NP_004712;NM_001242314;NM_001242317;NM_004721;LZK;MEKK13;M3K13_HUMAN;O43283;	cytosolic part; protein kinase binding	http://www.ncbi.nlm.nih.gov/sites/entrez?db=gene&cmd=search&term=9175
CDK5R1 	cyclin-dependent kinase 5, regulatory subunit 1 (p35) [Source:HGNC Symbol;Acc:1775]	75.79	ENSG00000176749;ENSP00000318486;ENSP00000463654;ENSP00000464129;8851;CDK5R1;NP_003876;NM_003885;Nck5a;p35nck5a;CD5R1_HUMAN;Q15078;	protein kinase binding	http://www.ncbi.nlm.nih.gov/sites/entrez?db=gene&cmd=search&term=8851
COX6A1 	cytochrome c oxidase subunit VIa polypeptide 1 [Source:HGNC Symbol;Acc:2277]	75.75	ENSG00000111775;ENSP00000229379;1337;COX6A1;NP_004364;NM_004373;COX6A;CX6A1_HUMAN;P12074;		http://www.ncbi.nlm.nih.gov/sites/entrez?db=gene&cmd=search&term=1337
TRO 	trophinin [Source:HGNC Symbol;Acc:12326]	75.46	ENSG00000067445;ENSP00000173898;ENSP00000318278;ENSP00000364162;ENSP00000364181;ENSP00000382641;ENSP00000387676;ENSP00000388947;ENSP00000392841;ENSP00000404645;ENSP00000404767;ENSP00000404794;ENSP00000405043;ENSP00000405126;ENSP00000405311;ENSP00000406574;ENSP00000407996;ENSP00000411717;ENSP00000412588;7216;TRO;NP_001034794;NP_001258112;NP_001258113;NP_057241;NP_808224;NP_808225;NM_001039705;NM_001271183;NM_001271184;NM_016157;NM_177556;NM_177557;KIAA1114;MAGE-D3;MAGED3;Q12816;TROP_HUMAN;		http://www.ncbi.nlm.nih.gov/sites/entrez?db=gene&cmd=search&term=7216
DCN 	decorin [Source:HGNC Symbol;Acc:2705]	74.82	ENSG00000011465;ENSP00000052754;ENSP00000228329;ENSP00000302031;ENSP00000376862;ENSP00000398514;ENSP00000399815;ENSP00000401021;ENSP00000413723;ENSP00000446527;ENSP00000446530;ENSP00000447654;ENSP00000447674;ENSP00000447886;ENSP00000448057;ENSP00000448274;ENSP00000448853;ENSP00000448857;ENSP00000449014;ENSP00000449408;ENSP00000449438;ENSP00000449782;1634;DCN;NP_001911;NP_598010;NP_598011;NP_598012;NP_598013;NP_598014;NM_001920;NM_133503;NM_133504;NM_133505;NM_133506;NM_133507;DSPG2;SLRR1B;P07585;PGS2_HUMAN;		http://www.ncbi.nlm.nih.gov/sites/entrez?db=gene&cmd=search&term=1634
ADRBK2 	adrenergic, beta, receptor kinase 2 [Source:HGNC Symbol;Acc:290]	73.63	ENSG00000100077;ENSP00000317578;ENSP00000393688;157;ADRBK2;NP_005151;NM_005160;BARK2;GRK3;ARBK2_HUMAN;P35626;		http://www.ncbi.nlm.nih.gov/sites/entrez?db=gene&cmd=search&term=157
CDS2 	CDP-diacylglycerol synthase (phosphatidate cytidylyltransferase) 2 [Source:HGNC Symbol;Acc:1801]	73.07	ENSG00000101290;ENSP00000368352;ENSP00000403205;ENSP00000419879;ENSP00000440555;8760;CDS2;NP_003809;NM_003818;CDS2_HUMAN;O95674;		http://www.ncbi.nlm.nih.gov/sites/entrez?db=gene&cmd=search&term=8760
FBXL14 	F-box and leucine-rich repeat protein 14 [Source:HGNC Symbol;Acc:28624]	73.04	ENSG00000171823;ENSP00000344855;144699;FBXL14;NP_689654;NM_152441;Fbl14;MGC40195;FXL14_HUMAN;Q8N1E6;		http://www.ncbi.nlm.nih.gov/sites/entrez?db=gene&cmd=search&term=144699
RAB40B 	RAB40B, member RAS oncogene family [Source:HGNC Symbol;Acc:18284]	73.02	ENSG00000141542;ENSP00000269347;ENSP00000438897;ENSP00000458638;ENSP00000461785;10966;RAB40B;NP_006813;NM_006822;SEC4L;Q12829;RB40B_HUMAN;		http://www.ncbi.nlm.nih.gov/sites/entrez?db=gene&cmd=search&term=10966
LDLRAD4 	low density lipoprotein receptor class A domain containing 4 [Source:HGNC Symbol;Acc:1224]	72.97	ENSG00000168675;ENSP00000352420;ENSP00000354753;ENSP00000382741;ENSP00000465244;ENSP00000465573;ENSP00000466178;ENSP00000466490;ENSP00000466771;ENSP00000466772;ENSP00000474783;753;LDLRAD4;NP_001003674;NP_001003675;NP_001263178;NP_001263180;NP_852146;NP_852147;NM_001003674;NM_001003675;NM_001276249;NM_001276251;NM_181481;NM_181482;C18orf1;LRAD4_HUMAN;O15165;		http://www.ncbi.nlm.nih.gov/sites/entrez?db=gene&cmd=search&term=753
TCF25 	transcription factor 25 (basic helix-loop-helix) [Source:HGNC Symbol;Acc:29181]	72.93	ENSG00000141002;ENSP00000263346;ENSP00000263347;ENSP00000454414;ENSP00000455471;ENSP00000455611;ENSP00000456080;ENSP00000456344;ENSP00000456592;ENSP00000456803;ENSP00000456840;ENSP00000457329;22980;TCF25;NP_055787;NM_014972;KIAA1049;Nulp1;Q9BQ70;TCF25_HUMAN;		http://www.ncbi.nlm.nih.gov/sites/entrez?db=gene&cmd=search&term=22980
SLC4A7 	solute carrier family 4, sodium bicarbonate cotransporter, member 7 [Source:HGNC Symbol;Acc:11033]	72.80	ENSG00000033867;ENSP00000295736;ENSP00000373429;ENSP00000388703;ENSP00000390394;ENSP00000394252;ENSP00000395336;ENSP00000401949;ENSP00000406605;ENSP00000406804;ENSP00000407304;ENSP00000407382;ENSP00000408323;ENSP00000409418;ENSP00000411031;ENSP00000414797;ENSP00000416368;9497;SLC4A7;NP_001245308;NP_001245309;NP_003606;NM_001258379;NM_001258380;NM_003615;SBC2;SLC4A6;Q9Y6M7;S4A7_HUMAN;		http://www.ncbi.nlm.nih.gov/sites/entrez?db=gene&cmd=search&term=9497
KPNA6 	karyopherin alpha 6 (importin alpha 7) [Source:HGNC Symbol;Acc:6399]	72.39	ENSG00000025800;ENSP00000362728;ENSP00000415677;ENSP00000440609;ENSP00000444930;ENSP00000474234;23633;KPNA6;NP_036448;NM_012316;FLJ11249;IPOA7;MGC17918;IMA7_HUMAN;O60684;	protein targeting	http://www.ncbi.nlm.nih.gov/sites/entrez?db=gene&cmd=search&term=23633
PLEKHM1 	pleckstrin homology domain containing, family M (with RUN domain) member 1 [Source:HGNC Symbol;Acc:29017]	72.27	ENSG00000225190;ENSG00000257339;ENSP00000389913;ENSP00000394344;ENSP00000414352;ENSP00000447445;ENSP00000448053;ENSP00000448185;ENSP00000462065;ENSP00000462160;ENSP00000462282;ENSP00000464766;ENSP00000466589;ENSP00000467356;ENSP00000467695;9842;PLEKHM1;NP_055613;NM_014798;KIAA0356;PKHM1_HUMAN;Q9Y4G2;		http://www.ncbi.nlm.nih.gov/sites/entrez?db=gene&cmd=search&term=9842
WASL 	Wiskott-Aldrich syndrome-like [Source:HGNC Symbol;Acc:12735]	72.25	ENSG00000106299;ENSP00000223023;8976;WASL;NP_003932;NM_003941;N-WASP;NWASP;O00401;WASL_HUMAN;		http://www.ncbi.nlm.nih.gov/sites/entrez?db=gene&cmd=search&term=8976
ORAI2 	ORAI calcium release-activated calcium modulator 2 [Source:HGNC Symbol;Acc:21667]	72.25	ENSG00000160991;ENSP00000348752;ENSP00000385489;ENSP00000417407;ENSP00000417928;ENSP00000418140;ENSP00000418464;ENSP00000419416;ENSP00000420178;80228;ORAI2;NP_001119812;NP_001258747;NP_001258748;NP_116220;NM_001126340;NM_001271818;NM_001271819;NM_032831;C7orf19;CBCIP2;FLJ12474;FLJ14733;H_NH0514P08.8;TMEM142B;ORAI2_HUMAN;Q96SN7;		http://www.ncbi.nlm.nih.gov/sites/entrez?db=gene&cmd=search&term=80228
NKTR 	natural killer-tumor recognition sequence [Source:HGNC Symbol;Acc:7833]	72.21	ENSG00000114857;ENSP00000232978;ENSP00000390259;ENSP00000404802;ENSP00000408660;4820;NKTR;NP_005376;NM_005385;p104;NKTR_HUMAN;P30414;		http://www.ncbi.nlm.nih.gov/sites/entrez?db=gene&cmd=search&term=4820
ICMT 	isoprenylcysteine carboxyl methyltransferase [Source:HGNC Symbol;Acc:5350]	72.14	ENSG00000116237;ENSP00000343552;ENSP00000354894;ENSP00000466222;ENSP00000467999;23463;ICMT;NP_036537;NM_012405;HSTE14;PCCMT;PPMT;ICMT_HUMAN;O60725;	establishment of protein localization to membrane; protein localization to membrane; protein targeting; protein targeting to membrane; single-organism cellular localization; single-organism localization	http://www.ncbi.nlm.nih.gov/sites/entrez?db=gene&cmd=search&term=23463
PHACTR2 	phosphatase and actin regulator 2 [Source:HGNC Symbol;Acc:20956]	71.74	ENSG00000112419;ENSP00000305530;ENSP00000356554;ENSP00000356556;ENSP00000381067;ENSP00000391763;ENSP00000402449;ENSP00000417038;ENSP00000442153;9749;PHACTR2;NP_001093634;NP_001093635;NP_001093636;NP_055536;NM_001100164;NM_001100165;NM_001100166;NM_014721;C6orf56;KIAA0680;O75167;PHAR2_HUMAN;		http://www.ncbi.nlm.nih.gov/sites/entrez?db=gene&cmd=search&term=9749
EFS 	embryonal Fyn-associated substrate [Source:HGNC Symbol;Acc:16898]	71.74	ENSG00000100842;ENSP00000216733;ENSP00000340607;ENSP00000416684;10278;EFS;NP_001264103;NP_005855;NP_115835;NM_005864;NM_032459;CASS3;EFS1;EFS2;HEFS;EFS_HUMAN;O43281;		http://www.ncbi.nlm.nih.gov/sites/entrez?db=gene&cmd=search&term=10278
MCAM 	melanoma cell adhesion molecule [Source:HGNC Symbol;Acc:6934]	71.48	ENSG00000076706;ENSP00000264036;ENSP00000376561;4162;MCAM;NP_006491;NM_006500;CD146;MUC18;MUC18_HUMAN;P43121;		http://www.ncbi.nlm.nih.gov/sites/entrez?db=gene&cmd=search&term=4162
UBN1 	ubinuclein 1 [Source:HGNC Symbol;Acc:12506]	71.42	ENSG00000118900;ENSP00000262376;ENSP00000379894;ENSP00000442379;ENSP00000465309;ENSP00000467942;ENSP00000468143;ENSP00000468740;ENSP00000468776;29855;UBN1;NP_001072982;NP_058632;NM_001079514;NM_016936;Q9NPG3;UBN1_HUMAN;		http://www.ncbi.nlm.nih.gov/sites/entrez?db=gene&cmd=search&term=29855
CERS6 	ceramide synthase 6 [Source:HGNC Symbol;Acc:23826]	71.33	ENSG00000172292;ENSP00000306579;ENSP00000376453;253782;CERS6;NP_001243055;NP_982288;NM_001256126;NM_203463;LASS6;CERS6_HUMAN;Q6ZMG9;		http://www.ncbi.nlm.nih.gov/sites/entrez?db=gene&cmd=search&term=253782
DHRS7 	dehydrogenase/reductase (SDR family) member 7 [Source:HGNC Symbol;Acc:21524]	71.11	ENSG00000100612;ENSP00000216500;ENSP00000442993;ENSP00000450899;ENSP00000451321;ENSP00000451882;ENSP00000452026;ENSP00000452375;51635;DHRS7;NP_057113;NM_016029;retDSR4;SDR34C1;DHRS7_HUMAN;Q9Y394;		http://www.ncbi.nlm.nih.gov/sites/entrez?db=gene&cmd=search&term=51635
MPHOSPH9 	M-phase phosphoprotein 9 [Source:HGNC Symbol;Acc:7215]	71.04	ENSG00000051825;ENSP00000303597;ENSP00000304096;ENSP00000376220;ENSP00000440007;ENSP00000440664;ENSP00000441298;ENSP00000441764;ENSP00000442663;ENSP00000445859;ENSP00000446249;ENSP00000446334;ENSP00000446362;ENSP00000475489;ENSP00000475578;ENSP00000475785;ENSP00000475923;10198;MPHOSPH9;NP_073619;NM_022782;MPP9;MPP9_HUMAN;Q99550;		http://www.ncbi.nlm.nih.gov/sites/entrez?db=gene&cmd=search&term=10198
C14orf1 	chromosome 14 open reading frame 1 [Source:HGNC Symbol;Acc:1187]	70.71	ENSG00000133935;ENSP00000256319;11161;C14orf1;NP_009107;NM_007176;ERG28;NET51;ERG28_HUMAN;Q9UKR5;		http://www.ncbi.nlm.nih.gov/sites/entrez?db=gene&cmd=search&term=11161
ZBTB43 	zinc finger and BTB domain containing 43 [Source:HGNC Symbol;Acc:17908]	70.63	ENSG00000169155;ENSP00000362556;ENSP00000362563;ENSP00000390344;ENSP00000412145;23099;ZBTB43;NP_001129248;NP_054726;NM_001135776;NM_014007;FLJ22470;KIAA0414;ZBTB22B;ZNF-X;ZNF297B;O43298;ZBT43_HUMAN;		http://www.ncbi.nlm.nih.gov/sites/entrez?db=gene&cmd=search&term=23099
TAF5L 	TAF5-like RNA polymerase II, p300/CBP-associated factor (PCAF)-associated factor, 65kDa [Source:HGNC Symbol;Acc:17304]	70.57	ENSG00000135801;ENSP00000258281;ENSP00000355634;ENSP00000355635;ENSP00000355636;27097;TAF5L;NP_001020418;NP_055224;NM_001025247;NM_014409;PAF65B;O75529;TAF5L_HUMAN;		http://www.ncbi.nlm.nih.gov/sites/entrez?db=gene&cmd=search&term=27097
SLC25A13 	solute carrier family 25 (aspartate/glutamate carrier), member 13 [Source:HGNC Symbol;Acc:10983]	70.37	ENSG00000004864;ENSP00000265631;ENSP00000400101;ENSP00000440484;ENSP00000473505;10165;SLC25A13;NP_001153682;NP_055066;NM_001160210;NM_014251;ARALAR2;CITRIN;CTLN2;CMC2_HUMAN;Q9UJS0;		http://www.ncbi.nlm.nih.gov/sites/entrez?db=gene&cmd=search&term=10165
SPOCK3 	sparc/osteonectin, cwcv and kazal-like domains proteoglycan (testican) 3 [Source:HGNC Symbol;Acc:13565]	70.23	ENSG00000196104;ENSP00000349677;ENSP00000350153;ENSP00000411344;ENSP00000420920;ENSP00000420928;ENSP00000422170;ENSP00000422336;ENSP00000423176;ENSP00000423367;ENSP00000423421;ENSP00000423606;ENSP00000424168;ENSP00000424674;ENSP00000424677;ENSP00000424980;ENSP00000425407;ENSP00000425502;ENSP00000425570;ENSP00000425712;ENSP00000425859;ENSP00000426177;ENSP00000426318;ENSP00000426716;ENSP00000426995;ENSP00000438142;ENSP00000441396;ENSP00000444789;ENSP00000445430;50859;SPOCK3;NP_001035249;NP_001191281;NP_001191282;NP_001191283;NP_001191284;NP_001191285;NP_001191287;NP_001238896;NP_058646;NM_001040159;NM_001204352;NM_001204353;NM_001204354;NM_001204355;NM_001204356;NM_001204358;NM_001251967;NM_016950;testican-3;Q9BQ16;TICN3_HUMAN;		http://www.ncbi.nlm.nih.gov/sites/entrez?db=gene&cmd=search&term=50859
CELF1 	CUGBP, Elav-like family member 1 [Source:HGNC Symbol;Acc:2549]	70.21	ENSG00000149187;ENSP00000308386;ENSP00000351409;ENSP00000354639;ENSP00000378705;ENSP00000378706;ENSP00000433986;ENSP00000435320;ENSP00000435423;ENSP00000435926;ENSP00000436191;ENSP00000436864;ENSP00000438044;ENSP00000438862;ENSP00000442415;ENSP00000444825;10658;CELF1;NP_001020767;NP_001166110;NP_001166111;NP_006551;NP_941989;NM_001025596;NM_001172639;NM_001172640;NM_006560;NM_198700;BRUNOL2;CUG-BP;CUGBP;CUGBP1;EDEN-BP;hNab50;NAB50;NAPOR;CELF1_HUMAN;Q92879;	mRNA binding; ribonucleoprotein complex biogenesis	http://www.ncbi.nlm.nih.gov/sites/entrez?db=gene&cmd=search&term=10658
