GeneMANIA Results		
Plugin Version	3.4.0 (20150529-1245)	
RPS6	0.95	ribosomal protein S6 [Source:HGNC Symbol;Acc:10429]
RPS29	0.95	ribosomal protein S29 [Source:HGNC Symbol;Acc:10419]
RPL11	0.95	ribosomal protein L11 [Source:HGNC Symbol;Acc:10301]
RPS18	0.94	ribosomal protein S18 [Source:HGNC Symbol;Acc:10401]
RPL24	0.93	ribosomal protein L24 [Source:HGNC Symbol;Acc:10325]
RPS16	0.93	ribosomal protein S16 [Source:HGNC Symbol;Acc:10396]
RPS3A	0.93	ribosomal protein S3A [Source:HGNC Symbol;Acc:10421]
RPL27A	0.92	ribosomal protein L27a [Source:HGNC Symbol;Acc:10329]
RPL21	0.92	ribosomal protein L21 [Source:HGNC Symbol;Acc:10313]
RPL19	0.91	ribosomal protein L19 [Source:HGNC Symbol;Acc:10312]
RPL7A	0.91	ribosomal protein L7a [Source:HGNC Symbol;Acc:10364]
RPS13	0.9	ribosomal protein S13 [Source:HGNC Symbol;Acc:10386]
RPL4	0.89	ribosomal protein L4 [Source:HGNC Symbol;Acc:10353]
RPL35	0.89	ribosomal protein L35 [Source:HGNC Symbol;Acc:10344]
RPL6	0.88	ribosomal protein L6 [Source:HGNC Symbol;Acc:10362]
RPL5	0.88	ribosomal protein L5 [Source:HGNC Symbol;Acc:10360]
RPL37A	0.88	ribosomal protein L37a [Source:HGNC Symbol;Acc:10348]
RPL23A	0.87	ribosomal protein L23a [Source:HGNC Symbol;Acc:10317]
RPS3	0.87	ribosomal protein S3 [Source:HGNC Symbol;Acc:10420]
RPS10	0.86	ribosomal protein S10 [Source:HGNC Symbol;Acc:10383]
RPL13A	0.85	ribosomal protein L13a [Source:HGNC Symbol;Acc:10304]
PFDN5	0.85	prefoldin subunit 5 [Source:HGNC Symbol;Acc:8869]
RPL34	0.85	ribosomal protein L34 [Source:HGNC Symbol;Acc:10340]
CCT7	0.84	"chaperonin containing TCP1, subunit 7 (eta) [Source:HGNC Symbol;Acc:1622]"
DDX17	0.84	DEAD (Asp-Glu-Ala-Asp) box helicase 17 [Source:HGNC Symbol;Acc:2740]
SQSTM1	0.83	sequestosome 1 [Source:HGNC Symbol;Acc:11280]
EEF1G	0.83	eukaryotic translation elongation factor 1 gamma [Source:HGNC Symbol;Acc:3213]
RPL30	0.83	ribosomal protein L30 [Source:HGNC Symbol;Acc:10333]
RPS19	0.83	ribosomal protein S19 [Source:HGNC Symbol;Acc:10402]
RPS28	0.82	ribosomal protein S28 [Source:HGNC Symbol;Acc:10418]
RPL38	0.82	ribosomal protein L38 [Source:HGNC Symbol;Acc:10349]
PPP2R2A	0.82	"protein phosphatase 2, regulatory subunit B, alpha [Source:HGNC Symbol;Acc:9304]"
RPL14	0.81	ribosomal protein L14 [Source:HGNC Symbol;Acc:10305]
RPS15A	0.81	ribosomal protein S15a [Source:HGNC Symbol;Acc:10389]
RPL13	0.8	ribosomal protein L13 [Source:HGNC Symbol;Acc:10303]
RPL22	0.79	ribosomal protein L22 [Source:HGNC Symbol;Acc:10315]
RPSA	0.79	ribosomal protein SA [Source:HGNC Symbol;Acc:6502]
RPL8	0.78	ribosomal protein L8 [Source:HGNC Symbol;Acc:10368]
RPS9	0.77	ribosomal protein S9 [Source:HGNC Symbol;Acc:10442]
RPS27A	0.77	ribosomal protein S27a [Source:HGNC Symbol;Acc:10417]
RPL23	0.76	ribosomal protein L23 [Source:HGNC Symbol;Acc:10316]
PPP2R5D	0.75	"protein phosphatase 2, regulatory subunit B', delta [Source:HGNC Symbol;Acc:9312]"
RPS8	0.75	ribosomal protein S8 [Source:HGNC Symbol;Acc:10441]
PSMB4	0.75	"proteasome (prosome, macropain) subunit, beta type, 4 [Source:HGNC Symbol;Acc:9541]"
RPS27	0.75	ribosomal protein S27 [Source:HGNC Symbol;Acc:10416]
RPL36A	0.74	ribosomal protein L36a [Source:HGNC Symbol;Acc:10359]
RPL10A	0.74	ribosomal protein L10a [Source:HGNC Symbol;Acc:10299]
CCT4	0.74	"chaperonin containing TCP1, subunit 4 (delta) [Source:HGNC Symbol;Acc:1617]"
DDX21	0.74	DEAD (Asp-Glu-Ala-Asp) box helicase 21 [Source:HGNC Symbol;Acc:2744]
TUBB3	0.73	"tubulin, beta 3 class III [Source:HGNC Symbol;Acc:20772]"
EMP1	0.72	epithelial membrane protein 1 [Source:HGNC Symbol;Acc:3333]
COL3A1	0.72	"collagen, type III, alpha 1 [Source:HGNC Symbol;Acc:2201]"
RPL3	0.72	ribosomal protein L3 [Source:HGNC Symbol;Acc:10332]
RPL31	0.72	ribosomal protein L31 [Source:HGNC Symbol;Acc:10334]
EEF1D	0.72	eukaryotic translation elongation factor 1 delta (guanine nucleotide exchange protein) [Source:HGNC Symbol;Acc:3211]
EIF3E	0.72	"eukaryotic translation initiation factor 3, subunit E [Source:HGNC Symbol;Acc:3277]"
RPS4X	0.72	"ribosomal protein S4, X-linked [Source:HGNC Symbol;Acc:10424]"
FOS	0.71	FBJ murine osteosarcoma viral oncogene homolog [Source:HGNC Symbol;Acc:3796]
RPS14	0.71	ribosomal protein S14 [Source:HGNC Symbol;Acc:10387]
KIAA0907	0.7	KIAA0907 [Source:HGNC Symbol;Acc:29145]
HSPA8	0.69	heat shock 70kDa protein 8 [Source:HGNC Symbol;Acc:5241]
PFDN2	0.69	prefoldin subunit 2 [Source:HGNC Symbol;Acc:8867]
PRRC2C	0.69	proline-rich coiled-coil 2C [Source:HGNC Symbol;Acc:24903]
PPP2R5E	0.69	"protein phosphatase 2, regulatory subunit B', epsilon isoform [Source:HGNC Symbol;Acc:9313]"
NCL	0.69	nucleolin [Source:HGNC Symbol;Acc:7667]
LUC7L3	0.69	LUC7-like 3 (S. cerevisiae) [Source:HGNC Symbol;Acc:24309]
DAP3	0.69	death associated protein 3 [Source:HGNC Symbol;Acc:2673]
SEPT2	0.69	septin 2 [Source:HGNC Symbol;Acc:7729]
NACA	0.68	nascent polypeptide-associated complex alpha subunit [Source:HGNC Symbol;Acc:7629]
PABPC3	0.68	"poly(A) binding protein, cytoplasmic 3 [Source:HGNC Symbol;Acc:8556]"
RPL41	0.68	ribosomal protein L41 [Source:HGNC Symbol;Acc:10354]
TUBB	0.68	"tubulin, beta class I [Source:HGNC Symbol;Acc:20778]"
MGST3	0.68	microsomal glutathione S-transferase 3 [Source:HGNC Symbol;Acc:7064]
RPL17-C18orf32	0.68	RPL17-C18orf32 readthrough [Source:HGNC Symbol;Acc:44661]
FAU	0.67	Finkel-Biskis-Reilly murine sarcoma virus (FBR-MuSV) ubiquitously expressed [Source:HGNC Symbol;Acc:3597]
EEF2	0.67	eukaryotic translation elongation factor 2 [Source:HGNC Symbol;Acc:3214]
GNB2L1	0.66	"guanine nucleotide binding protein (G protein), beta polypeptide 2-like 1 [Source:HGNC Symbol;Acc:4399]"
EEF1B2	0.66	eukaryotic translation elongation factor 1 beta 2 [Source:HGNC Symbol;Acc:3208]
TPT1	0.66	"tumor protein, translationally-controlled 1 [Source:HGNC Symbol;Acc:12022]"
VDAC3	0.66	voltage-dependent anion channel 3 [Source:HGNC Symbol;Acc:12674]
RPS5	0.65	ribosomal protein S5 [Source:HGNC Symbol;Acc:10426]
RPL15	0.65	ribosomal protein L15 [Source:HGNC Symbol;Acc:10306]
MAD2L2	0.65	MAD2 mitotic arrest deficient-like 2 (yeast) [Source:HGNC Symbol;Acc:6764]
NPM1	0.65	"nucleophosmin (nucleolar phosphoprotein B23, numatrin) [Source:HGNC Symbol;Acc:7910]"
CEP72	0.65	centrosomal protein 72kDa [Source:HGNC Symbol;Acc:25547]
NUB1	0.65	negative regulator of ubiquitin-like proteins 1 [Source:HGNC Symbol;Acc:17623]
AHNAK	0.64	AHNAK nucleoprotein [Source:HGNC Symbol;Acc:347]
CCT6A	0.63	"chaperonin containing TCP1, subunit 6A (zeta 1) [Source:HGNC Symbol;Acc:1620]"
WDR77	0.63	WD repeat domain 77 [Source:HGNC Symbol;Acc:29652]
UBC	0.63	ubiquitin C [Source:HGNC Symbol;Acc:12468]
RPL28	0.62	ribosomal protein L28 [Source:HGNC Symbol;Acc:10330]
ZC3H11A	0.62	zinc finger CCCH-type containing 11A [Source:HGNC Symbol;Acc:29093]
RPL18	0.61	ribosomal protein L18 [Source:HGNC Symbol;Acc:10310]
RPL36	0.61	ribosomal protein L36 [Source:HGNC Symbol;Acc:13631]
RPL10	0.61	ribosomal protein L10 [Source:HGNC Symbol;Acc:10298]
EEF1A1	0.61	eukaryotic translation elongation factor 1 alpha 1 [Source:HGNC Symbol;Acc:3189]
TUBA1C	0.61	"tubulin, alpha 1c [Source:HGNC Symbol;Acc:20768]"
MAP7D1	0.6	MAP7 domain containing 1 [Source:HGNC Symbol;Acc:25514]
DDB1	0.6	"damage-specific DNA binding protein 1, 127kDa [Source:HGNC Symbol;Acc:2717]"
HNRNPA2B1	0.6	heterogeneous nuclear ribonucleoprotein A2/B1 [Source:HGNC Symbol;Acc:5033]
DUSP1	0.6	dual specificity phosphatase 1 [Source:HGNC Symbol;Acc:3064]
PPP2R5B	0.6	"protein phosphatase 2, regulatory subunit B', beta [Source:HGNC Symbol;Acc:9310]"
LTBP1	0.6	latent transforming growth factor beta binding protein 1 [Source:HGNC Symbol;Acc:6714]
RPL26	0.59	ribosomal protein L26 [Source:HGNC Symbol;Acc:10327]
EIF3H	0.59	"eukaryotic translation initiation factor 3, subunit H [Source:HGNC Symbol;Acc:3273]"
SHOC2	0.59	soc-2 suppressor of clear homolog (C. elegans) [Source:HGNC Symbol;Acc:15454]
THOC1	0.59	THO complex 1 [Source:HGNC Symbol;Acc:19070]
RBM25	0.59	RNA binding motif protein 25 [Source:HGNC Symbol;Acc:23244]
PPP2R1A	0.59	"protein phosphatase 2, regulatory subunit A, alpha [Source:HGNC Symbol;Acc:9302]"
JUNB	0.59	jun B proto-oncogene [Source:HGNC Symbol;Acc:6205]
DYNLL1	0.59	"dynein, light chain, LC8-type 1 [Source:HGNC Symbol;Acc:15476]"
VBP1	0.59	von Hippel-Lindau binding protein 1 [Source:HGNC Symbol;Acc:12662]
COL6A2	0.59	"collagen, type VI, alpha 2 [Source:HGNC Symbol;Acc:2212]"
CCT5	0.59	"chaperonin containing TCP1, subunit 5 (epsilon) [Source:HGNC Symbol;Acc:1618]"
PKN2	0.58	protein kinase N2 [Source:HGNC Symbol;Acc:9406]
RPL39	0.58	ribosomal protein L39 [Source:HGNC Symbol;Acc:10350]
HNRNPR	0.58	heterogeneous nuclear ribonucleoprotein R [Source:HGNC Symbol;Acc:5047]
VIM	0.58	vimentin [Source:HGNC Symbol;Acc:12692]
RSRC2	0.58	arginine/serine-rich coiled-coil 2 [Source:HGNC Symbol;Acc:30559]
TCP1	0.58	t-complex 1 [Source:HGNC Symbol;Acc:11655]
KMT2A	0.58	lysine (K)-specific methyltransferase 2A [Source:HGNC Symbol;Acc:7132]
CCT8	0.57	"chaperonin containing TCP1, subunit 8 (theta) [Source:HGNC Symbol;Acc:1623]"
PSMD1	0.57	"proteasome (prosome, macropain) 26S subunit, non-ATPase, 1 [Source:HGNC Symbol;Acc:9554]"
PCBP1	0.57	poly(rC) binding protein 1 [Source:HGNC Symbol;Acc:8647]
ZNF638	0.57	zinc finger protein 638 [Source:HGNC Symbol;Acc:17894]
NHP2L1	0.57	NHP2 non-histone chromosome protein 2-like 1 (S. cerevisiae) [Source:HGNC Symbol;Acc:7819]
C1orf63	0.56	chromosome 1 open reading frame 63 [Source:HGNC Symbol;Acc:25234]
MTDH	0.56	metadherin [Source:HGNC Symbol;Acc:29608]
HNRNPM	0.56	heterogeneous nuclear ribonucleoprotein M [Source:HGNC Symbol;Acc:5046]
PNISR	0.56	PNN-interacting serine/arginine-rich protein [Source:HGNC Symbol;Acc:21222]
FBLN1	0.56	fibulin 1 [Source:HGNC Symbol;Acc:3600]
SF1	0.56	splicing factor 1 [Source:HGNC Symbol;Acc:12950]
LARP1	0.56	"La ribonucleoprotein domain family, member 1 [Source:HGNC Symbol;Acc:29531]"
YBX1	0.56	Y box binding protein 1 [Source:HGNC Symbol;Acc:8014]
EIF4G3	0.56	"eukaryotic translation initiation factor 4 gamma, 3 [Source:HGNC Symbol;Acc:3298]"
SGOL2	0.55	shugoshin-like 2 (S. pombe) [Source:HGNC Symbol;Acc:30812]
PARK7	0.55	parkinson protein 7 [Source:HGNC Symbol;Acc:16369]
YBX3	0.55	Y box binding protein 3 [Source:HGNC Symbol;Acc:2428]
PABPC4	0.55	"poly(A) binding protein, cytoplasmic 4 (inducible form) [Source:HGNC Symbol;Acc:8557]"
SRRM1	0.55	serine/arginine repetitive matrix 1 [Source:HGNC Symbol;Acc:16638]
PDCD5	0.55	programmed cell death 5 [Source:HGNC Symbol;Acc:8764]
DMTF1	0.55	cyclin D binding myb-like transcription factor 1 [Source:HGNC Symbol;Acc:14603]
SSB	0.54	Sjogren syndrome antigen B (autoantigen La) [Source:HGNC Symbol;Acc:11316]
RPS15	0.54	ribosomal protein S15 [Source:HGNC Symbol;Acc:10388]
PMF1	0.54	polyamine-modulated factor 1 [Source:HGNC Symbol;Acc:9112]
CCT2	0.54	"chaperonin containing TCP1, subunit 2 (beta) [Source:HGNC Symbol;Acc:1615]"
ITFG1	0.54	integrin alpha FG-GAP repeat containing 1 [Source:HGNC Symbol;Acc:30697]
EIF3A	0.54	"eukaryotic translation initiation factor 3, subunit A [Source:HGNC Symbol;Acc:3271]"
SMC3	0.54	structural maintenance of chromosomes 3 [Source:HGNC Symbol;Acc:2468]
PRPF8	0.54	pre-mRNA processing factor 8 [Source:HGNC Symbol;Acc:17340]
SRSF4	0.54	serine/arginine-rich splicing factor 4 [Source:HGNC Symbol;Acc:10786]
NR4A1	0.54	"nuclear receptor subfamily 4, group A, member 1 [Source:HGNC Symbol;Acc:7980]"
PPME1	0.54	protein phosphatase methylesterase 1 [Source:HGNC Symbol;Acc:30178]
HNRNPA0	0.53	heterogeneous nuclear ribonucleoprotein A0 [Source:HGNC Symbol;Acc:5030]
CEBPD	0.53	"CCAAT/enhancer binding protein (C/EBP), delta [Source:HGNC Symbol;Acc:1835]"
PPWD1	0.53	peptidylprolyl isomerase domain and WD repeat containing 1 [Source:HGNC Symbol;Acc:28954]
PPP2R5C	0.53	"protein phosphatase 2, regulatory subunit B', gamma [Source:HGNC Symbol;Acc:9311]"
PPP1R15A	0.53	"protein phosphatase 1, regulatory subunit 15A [Source:HGNC Symbol;Acc:14375]"
PTMA	0.53	"prothymosin, alpha [Source:HGNC Symbol;Acc:9623]"
TSC1	0.53	tuberous sclerosis 1 [Source:HGNC Symbol;Acc:12362]
TPI1	0.53	triosephosphate isomerase 1 [Source:HGNC Symbol;Acc:12009]
U2SURP	0.53	U2 snRNP-associated SURP domain containing [Source:HGNC Symbol;Acc:30855]
VPS72	0.53	vacuolar protein sorting 72 homolog (S. cerevisiae) [Source:HGNC Symbol;Acc:11644]
HNRNPL	0.52	heterogeneous nuclear ribonucleoprotein L [Source:HGNC Symbol;Acc:5045]
AGO2	0.52	argonaute RISC catalytic component 2 [Source:HGNC Symbol;Acc:3263]
WDR45B	0.52	WD repeat domain 45B [Source:HGNC Symbol;Acc:25072]
ILF2	0.52	interleukin enhancer binding factor 2 [Source:HGNC Symbol;Acc:6037]
BRE	0.52	brain and reproductive organ-expressed (TNFRSF1A modulator) [Source:HGNC Symbol;Acc:1106]
HNRNPUL1	0.52	heterogeneous nuclear ribonucleoprotein U-like 1 [Source:HGNC Symbol;Acc:17011]
IER2	0.52	immediate early response 2 [Source:HGNC Symbol;Acc:28871]
UGCG	0.52	UDP-glucose ceramide glucosyltransferase [Source:HGNC Symbol;Acc:12524]
ICAM1	0.52	intercellular adhesion molecule 1 [Source:HGNC Symbol;Acc:5344]
WISP1	0.52	WNT1 inducible signaling pathway protein 1 [Source:HGNC Symbol;Acc:12769]
DENND4B	0.52	DENN/MADD domain containing 4B [Source:HGNC Symbol;Acc:29044]
TAGLN	0.52	transgelin [Source:HGNC Symbol;Acc:11553]
PUM1	0.52	pumilio RNA-binding family member 1 [Source:HGNC Symbol;Acc:14957]
FBN1	0.51	fibrillin 1 [Source:HGNC Symbol;Acc:3603]
ALMS1	0.51	Alstrom syndrome 1 [Source:HGNC Symbol;Acc:428]
BNIP3L	0.51	BCL2/adenovirus E1B 19kDa interacting protein 3-like [Source:HGNC Symbol;Acc:1085]
UHMK1	0.51	U2AF homology motif (UHM) kinase 1 [Source:HGNC Symbol;Acc:19683]
RPL29	0.51	ribosomal protein L29 [Source:HGNC Symbol;Acc:10331]
HNRNPA3	0.51	heterogeneous nuclear ribonucleoprotein A3 [Source:HGNC Symbol;Acc:24941]
CSAD	0.51	cysteine sulfinic acid decarboxylase [Source:HGNC Symbol;Acc:18966]
RNPS1	0.51	"RNA binding protein S1, serine-rich domain [Source:HGNC Symbol;Acc:10080]"
NDUFS3	0.51	"NADH dehydrogenase (ubiquinone) Fe-S protein 3, 30kDa (NADH-coenzyme Q reductase) [Source:HGNC Symbol;Acc:7710]"
HNRNPAB	0.51	heterogeneous nuclear ribonucleoprotein A/B [Source:HGNC Symbol;Acc:5034]
ANP32B	0.51	"acidic (leucine-rich) nuclear phosphoprotein 32 family, member B [Source:HGNC Symbol;Acc:16677]"
UBA52	0.51	ubiquitin A-52 residue ribosomal protein fusion product 1 [Source:HGNC Symbol;Acc:12458]
MYH9	0.51	"myosin, heavy chain 9, non-muscle [Source:HGNC Symbol;Acc:7579]"
ITGA5	0.5	"integrin, alpha 5 (fibronectin receptor, alpha polypeptide) [Source:HGNC Symbol;Acc:6141]"
COL4A2	0.5	"collagen, type IV, alpha 2 [Source:HGNC Symbol;Acc:2203]"
PLS3	0.5	plastin 3 [Source:HGNC Symbol;Acc:9091]
FN1	0.5	fibronectin 1 [Source:HGNC Symbol;Acc:3778]
DPYSL3	0.5	dihydropyrimidinase-like 3 [Source:HGNC Symbol;Acc:3015]
CSNK1E	0.5	"casein kinase 1, epsilon [Source:HGNC Symbol;Acc:2453]"
RPS12	0.5	ribosomal protein S12 [Source:HGNC Symbol;Acc:10385]
HNRNPC	0.5	heterogeneous nuclear ribonucleoprotein C (C1/C2) [Source:HGNC Symbol;Acc:5035]
PPP2R2C	0.5	"protein phosphatase 2, regulatory subunit B, gamma [Source:HGNC Symbol;Acc:9306]"
FLNA	0.5	"filamin A, alpha [Source:HGNC Symbol;Acc:3754]"
FOSB	0.5	FBJ murine osteosarcoma viral oncogene homolog B [Source:HGNC Symbol;Acc:3797]
STRN3	0.5	"striatin, calmodulin binding protein 3 [Source:HGNC Symbol;Acc:15720]"
UBR5	0.5	ubiquitin protein ligase E3 component n-recognin 5 [Source:HGNC Symbol;Acc:16806]
SF3A1	0.5	"splicing factor 3a, subunit 1, 120kDa [Source:HGNC Symbol;Acc:10765]"
DRG1	0.49	developmentally regulated GTP binding protein 1 [Source:HGNC Symbol;Acc:3029]
CEP350	0.49	centrosomal protein 350kDa [Source:HGNC Symbol;Acc:24238]
EIF4B	0.49	eukaryotic translation initiation factor 4B [Source:HGNC Symbol;Acc:3285]
COX7C	0.49	cytochrome c oxidase subunit VIIc [Source:HGNC Symbol;Acc:2292]
HSPA9	0.49	heat shock 70kDa protein 9 (mortalin) [Source:HGNC Symbol;Acc:5244]
KPNB1	0.49	karyopherin (importin) beta 1 [Source:HGNC Symbol;Acc:6400]
C1orf123	0.49	chromosome 1 open reading frame 123 [Source:HGNC Symbol;Acc:26059]
SRSF11	0.49	serine/arginine-rich splicing factor 11 [Source:HGNC Symbol;Acc:10782]
LUM	0.49	lumican [Source:HGNC Symbol;Acc:6724]
PPIA	0.49	peptidylprolyl isomerase A (cyclophilin A) [Source:HGNC Symbol;Acc:9253]
TMEM260	0.49	transmembrane protein 260 [Source:HGNC Symbol;Acc:20185]
PFDN6	0.49	prefoldin subunit 6 [Source:HGNC Symbol;Acc:4926]
PPP2R3B	0.49	"protein phosphatase 2, regulatory subunit B'', beta [Source:HGNC Symbol;Acc:13417]"
COL6A1	0.48	"collagen, type VI, alpha 1 [Source:HGNC Symbol;Acc:2211]"
GAS1	0.48	growth arrest-specific 1 [Source:HGNC Symbol;Acc:4165]
XRCC5	0.48	X-ray repair complementing defective repair in Chinese hamster cells 5 (double-strand-break rejoining) [Source:HGNC Symbol;Acc:12833]
PRPF40A	0.48	PRP40 pre-mRNA processing factor 40 homolog A (S. cerevisiae) [Source:HGNC Symbol;Acc:16463]
PHGDH	0.48	phosphoglycerate dehydrogenase [Source:HGNC Symbol;Acc:8923]
COL15A1	0.48	"collagen, type XV, alpha 1 [Source:HGNC Symbol;Acc:2192]"
PURA	0.48	purine-rich element binding protein A [Source:HGNC Symbol;Acc:9701]
