GRM2,GRIN3A,ITPR2,MAPK10,CREB3L1,GRIN1,GRM5,RASD1,CASP10,RHOA,GRIN2D,CREB3L2,RHOA,CREB3,PPP3CB,ITPR2,CREB3L2,MAP2K7,GRIN1,HTR2A,GRIN2A,ITPR2,IKBKB,,GNAI3,NDUFS6,PLCD1,MAP2K7,VAMP2,FLOT2,CD36,CASP3,EPHB4,MAPK10,TNFSF10,CASP10,MYL12A,TICAM1,TNF,TNF,CAMK2G,CREB3L1,,,MAPK10,,,GNAO1,,,,RHOA,,TUBA8,NFATC4,,,,,,,,,,,,,,,,,
GRIN3B,DLG4,ADRB2,IKBKB,CREB3L2,SLC8A2,GRIN2A,GNAQ,CREB3L1,NFATC4,GRIN1,CAMK1,GNA13,RPS6KA3,CREB3L1,NOS1,FYN,CAMK2G,,DRD1,PPP3CB,PPARGC1A,RPS6KA3,,ITPR2,CREB3L1,MED13L,CAMK2G,,PPARGC1A,PPARGC1A,LEPR,NFATC4,IKBKB,NLK,CASP3,RHOA,TNF,,,CACNG3,CREB3L2,,,GNA13,,,GRIN2A,,,,,,ATP6V0A1,,,,,,,,,,,,,,,,,,
GRIN2A,CREB3L1,ATP1B1,TUBA3D,DRD1,GRIN2A,GNAQ,NOS1AP,CASP3,GNAO1,MAPK10,CAMK2G,STIM1,CREB3L1,GNAQ,,GNB5,MAP3K4,,TUBA8,NDUFS6,CAMK2G,PPP3CB,,,GNAQ,MED17,RHOA,,EIF4E,FBP2,NDUFV3,RND1,TNFSF10,KLF2,LAMP2,MYH7,NFATC4,,,MYH7,GNB5,,,TRAF4,,,GNAQ,,,,,,,,,,,,,,,,,,,,,,,,
PPP3CB,CREB3L2,RHOA,AIFM1,CAMK2G,PPP3CB,CAMK2G,GNB5,CREB3L2,PPP3CB,LIPE,CAMK1G,GNAQ,CREB3L2,CREB3L2,,CAMK2G,,,,GNAQ,,PPP5C,,,CASP3,,,,FBP2,,CYP2E1,,TRIM25,,CAMK2G,,,,,,DRD1,,,TRAF3,,,TLN2,,,,,,,,,,,,,,,,,,,,,,,,
GRM5,DRD1,NFATC4,CASP6,STX1A,GRM5,,NOS1,TRAF5,GNAQ,CREB3,,FYN,CD36,GNB5,,,,,,CASP3,,MAPKAPK3,,,CREB3L2,,,,,,,,MAP2K7,,ATP6V0A1,,,,,,,,,STK36,,,TLN1,,,,,,,,,,,,,,,,,,,,,,,,
GRIN3A,,SLC8A2,CASP10,,STIM1,,CAMK2G,RIPK1,CAMK1,GRIN3B,,TLN2,PPARGC1A,DRD1,,,,,,NDUFV3,,CASP3,,,NDUFV3,,,,,,,,,,,,,,,,,,,GNAQ,,,,,,,,,,,,,,,,,,,,,,,,,,,
GRM7,,GNA13,CASP3,,GNAQ,,,MAP2K7,CACNG2,GRIN2A,,TLN1,,CAMK2G,,,,,,NOS1,,NF1,,,PPARGC1A,,,,,,,,,,,,,,,,,,,CASP3,,,,,,,,,,,,,,,,,,,,,,,,,,,
DLG4,,CREB3,TNFSF10,,GNA11,,,,CAMK2G,GRIN3A,,,,,,,,,,,,MAP2K7,,,,,,,,,,,,,,,,,,,,,,GNA11,,,,,,,,,,,,,,,,,,,,,,,,,,,
GNAQ,,PPP3CB,RIPK1,,DRD1,,,,CACNG3,CREB3L1,,,,,,,,,,,,CACNG2,,,,,,,,,,,,,,,,,,,,,,TRAF5,,,,,,,,,,,,,,,,,,,,,,,,,,,
GNB5,,CREB3L1,TUBA8,,NOS1,,,,CAMK1G,CREB3L2,,,,,,,,,,,,CACNG3,,,,,,,,,,,,,,,,,,,,,,TPR,,,,,,,,,,,,,,,,,,,,,,,,,,,
SHANK2,,GNAQ,MCL1,,CAMK2G,,,,,DRD1,,,,,,,,,,,,MAP3K4,,,,,,,,,,,,,,,,,,,,,,CCDC6,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,GNA11,,,PLCD1,,,,,CAMK2G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GNB5,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,CREB3L2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RUNX1T1,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,MYH7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
