,Gene,Function,Entrez Gene ID,Supportability,Hsa MR for VCP,Hsa2 MR for VCP,Hsa3 MR for VCP,Mmu MR for Vcp,Mmu2 MR for Vcp,Rno MR for Vcp,Cfa MR for VCP,Gga MR for VCP,Dre MR for vcp,Dme MR for TER94,Dme2 MR for TER94,Cel MR for cdc-48.2,Cel MR for cdc-48.1,Sce MR for CDC48,Spo MR for cdc48
10,DDOST,"dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit (non-catalytic)",1650,3,20.8,92.2 ,684.0 ,328.0 ,384.5 ,71.9 ,4273.3 ,1238.1 ,326.8 ,342.9 ,1306.5 ,83.1 ,51.1 ,,
11,SEC13,"SEC13 homolog (S. cerevisiae)",6396,3,21.6,68.5 ,448.9 ,174.4 ,3079.7 ,996.5 ,6907.0 ,138.2 ,113.5 ,1487.0 ,1749.7 ,1602.6 ,2816.5 ,1657.1 ,364.1 
12,PSMD11,"proteasome (prosome, macropain) 26S subunit, non-ATPase, 11",5717,3,22.9,8.9 ,411.9 ,50.0 ,474.3 ,623.7 ,944.2 ,,881.7 ,4.9 ,10.2 ,269.7 ,135.8 ,9.5 ,403.0 
13,KIAA0100,"KIAA0100",9703,3,23.3,22.6 ,605.8 ,339.0 ,590.4 ,177.7 ,9163.2 ,2758.2 ,,920.6 ,1117.9 ,1842.5 ,716.4 ,,
14,PSMD2,"proteasome (prosome, macropain) 26S subunit, non-ATPase, 2",5708,3,24.5,6.0 ,3.2 ,7.1 ,2.5 ,1.0 ,414.0 ,1573.5 ,267.6 ,6.9 ,4.9 ,86.8 ,8.2 ,5.5 ,7.3 
15,CDC37,"cell division cycle 37",11140,3,25.5,85.2 ,431.3 ,61.5 ,119.1 ,981.1 ,3262.0 ,,110.1 ,603.6 ,388.4 ,83.7 ,66.8 ,,
16,EWSR1,"EWS RNA-binding protein 1",2130,3,26.7,678.7 ,41.7 ,,,,,,1735.8 ,,,,,,
17,P4HB,"prolyl 4-hydroxylase, beta polypeptide",5034,3,27.4,65.3 ,82.0 ,38.1 ,197.5 ,109.5 ,7550.8 ,359.2 ,,3424.9 ,112.0 ,288.4 ,1145.8 ,15.3 ,213.8 
18,EIF4A1,"eukaryotic translation initiation factor 4A1",1973,3,28.5,67.2 ,4.8 ,69.9 ,64.8 ,122.4 ,,,357.9 1101.0 ,,,,,1393.0 ,1648.5 
19,PSMD3,"proteasome (prosome, macropain) 26S subunit, non-ATPase, 3",5709,3,30.3,46.5 ,56.2 ,95.9 ,119.3 ,34.9 ,1393.6 ,2185.2 ,56.0 ,4.4 ,6.6 ,120.8 ,15.5 ,44.3 ,247.1 
20,TUBB,"tubulin, beta class I",203068,3,31.0,,49.8 ,192.8 ,130.9 ,734.7 ,3110.4 ,715.8 ,1898.3 ,,,255.4 40.4 18.5 ,315.7 87.1 95.9 ,,
21,PGD,"phosphogluconate dehydrogenase",5226,3,31.6,22.2 ,609.6 ,93.0 ,12.2 ,,6667.8 ,174.0 ,143.4 ,3077.8 ,2794.5 ,635.2 ,648.2 ,602.6 2029.5 ,148.7 
22,FLII,"flightless I homolog (Drosophila)",2314,3,32.0,119.2 ,811.1 ,31.9 ,684.6 ,95.2 ,531.1 ,1274.7 ,4829.0 ,1796.6 ,4350.4 ,2368.9 ,1284.6 ,,
23,TUBB4B,"tubulin, beta 4B class IVb",10383,3,32.8,461.3 ,89.7 ,82.2 ,4083.9 ,688.0 ,,294.1 ,1308.8 ,26.3 ,35.9 ,9702.4 ,5029.9 ,341.7 ,2197.3 
24,AP2M1,"adaptor-related protein complex 2, mu 1 subunit",1173,3,33.0,133.3 ,38.1 ,314.6 ,103.8 ,43.2 ,8014.1 ,430.0 ,1434.1 634.6 ,52.6 ,432.4 ,3266.1 ,2680.0 ,,1481.4 
25,UBE2R2,"ubiquitin-conjugating enzyme E2R 2",54926,3,35.0,1676.0 ,3382.8 ,4731.6 ,1702.0 ,3268.1 ,208.6 ,404.0 ,4800.0 ,1956.8 ,2299.2 ,928.7 ,1145.1 ,1466.2 ,
26,TUBB3,"tubulin, beta 3 class III",10381,2,36.5,8773.6 ,474.1 ,4723.2 ,14820.9 ,5808.6 ,,,,,,,,,
27,HNRNPAB,"heterogeneous nuclear ribonucleoprotein A/B",3182,3,39.0,168.3 ,67.2 ,53.7 ,388.9 ,,,529.2 ,1908.9 209.3 ,,3270.4 ,,,,
28,HNRNPM,"heterogeneous nuclear ribonucleoprotein M",4670,3,39.9,106.0 ,18.5 ,156.1 ,11.8 ,34.1 ,,,,,,,,,
29,GCN1L1,"GCN1 general control of amino-acid synthesis 1-like 1 (yeast)",10985,3,40.0,64.5 ,303.5 ,1169.5 ,500.7 ,102.1 ,940.5 ,,,3139.0 ,6812.9 ,5832.3 ,9486.2 ,491.9 ,1228.6 
30,NRBP1,"nuclear receptor binding protein 1",29959,3,41.0,26.8 ,97.8 ,223.1 ,3547.9 ,2733.5 ,5496.2 ,5763.6 ,,2120.7 ,6372.0 ,3870.8 ,11584.3 ,,
31,PPP2R1A,"protein phosphatase 2, regulatory subunit A, alpha",5518,3,41.4,161.2 ,219.1 ,41.4 ,127.7 ,52.8 ,1976.8 ,,,7.9 ,19.5 ,80.5 ,11.8 ,18.8 ,323.3 
32,TOR1A,"torsin family 1, member A (torsin A)",1861,3,44.4,303.4 ,434.8 ,6174.8 ,16976.2 ,1827.3 ,6817.2 ,627.2 ,,818.3 ,3986.6 ,,,,
33,RRAGA,"Ras-related GTP binding A",10670,3,45.2,1882.3 ,538.5 ,1472.9 ,7650.8 ,2051.2 ,,503.0 ,,,,,,,4193.1 
34,SEC24C,"SEC24 family member C",9632,3,45.2,39.6 ,888.2 ,38.2 ,470.6 ,30.3 ,,263.7 ,2630.3 ,331.4 ,653.8 ,98.0 ,150.8 ,690.3 ,1346.4 
35,RPN2,"ribophorin II",6185,3,45.6,34.6 ,112.2 ,122.3 ,76.7 ,48.9 ,1632.5 ,340.0 ,241.4 ,104.0 ,885.6 ,1078.4 ,1790.9 ,,
36,EIF3B,"eukaryotic translation initiation factor 3, subunit B",8662,3,46.6,73.1 ,19.3 ,27.7 ,107.3 ,81.3 ,792.6 ,528.5 ,951.4 ,624.3 ,523.8 ,32.3 ,66.9 ,2580.8 ,1711.0 
37,PPM1G,"protein phosphatase, Mg2+/Mn2+ dependent, 1G",5496,3,46.7,406.6 ,159.0 ,258.2 ,94.5 ,437.9 ,612.0 ,2911.0 ,1828.9 ,389.5 ,5273.4 ,,,,
38,ACTR1A,"ARP1 actin-related protein 1 homolog A, centractin alpha (yeast)",10121,3,50.1,29.8 ,35.8 ,1172.8 ,9396.8 ,98.3 ,398.1 ,1029.3 ,,264.0 ,1501.2 ,501.9 ,219.2 ,,
39,TRIM27,"tripartite motif containing 27",5987,2,50.8,,290.2 ,1435.2 ,7810.6 ,1869.1 ,,2421.0 ,,,,,,,
40,ATP6V0D1,"ATPase, H+ transporting, lysosomal 38kDa, V0 subunit d1",9114,3,51.2,318.5 ,682.5 ,429.3 ,5220.2 ,221.0 ,4073.5 ,1801.1 ,3309.1 ,3432.9 ,9912.4 ,700.7 ,834.0 ,583.1 ,3438.6 
41,PMPCA,"peptidase (mitochondrial processing) alpha",23203,3,52.0,142.4 ,63.4 ,477.9 ,17.2 ,351.5 ,1113.2 ,544.0 ,1293.4 ,1013.2 ,979.7 ,413.0 ,1330.5 ,728.3 ,3620.4 
42,PSMD13,"proteasome (prosome, macropain) 26S subunit, non-ATPase, 13",5719,3,52.4,67.5 ,536.7 ,67.5 ,60.0 ,864.0 ,2096.3 ,,19.6 ,17.9 ,35.0 ,83.6 ,61.2 ,28.2 ,555.5 
43,TUBA1B,"tubulin, alpha 1b",10376,3,52.5,521.2 ,356.6 ,1219.7 ,131.4 ,,12239.2 ,10269.2 ,5011.0 ,,,7375.2 ,11575.4 ,,
44,SEC61A1,"Sec61 alpha 1 subunit (S. cerevisiae)",29927,3,55.9,25.0 ,24.0 ,296.8 ,413.2 ,357.0 ,1571.5 ,431.6 ,1454.0 853.1 ,,,,,819.8 ,1188.7 
45,TUBA1C,"tubulin, alpha 1c",84790,3,56.5,438.1 ,627.4 ,,177.8 ,,,,746.0 ,104.7 3615.7 ,8.1 94.9 ,69.0 13.6 1423.4 ,65.3 41.6 4338.6 ,309.0 ,1991.3 1675.2 
46,PCBP1,"poly(rC) binding protein 1",5093,3,60.5,505.0 ,2676.1 ,164.6 ,687.7 ,140.3 ,,,,,,,,,
47,GORASP2,"golgi reassembly stacking protein 2, 55kDa",26003,3,61.2,904.9 ,936.9 ,565.6 ,5327.5 ,159.8 ,5613.3 ,5411.8 ,596.8 ,643.3 ,1436.0 ,,,,
48,XRCC6,"X-ray repair complementing defective repair in Chinese hamster cells 6",2547,3,61.9,59.7 ,28.4 ,1629.0 ,1502.8 ,2582.3 ,1554.5 ,6447.0 ,1122.0 ,876.3 ,1554.0 ,1161.6 ,990.9 ,1301.4 ,453.4 
49,PSMC4,"proteasome (prosome, macropain) 26S subunit, ATPase, 4",5704,3,64.4,128.6 ,149.9 ,133.3 ,147.3 ,442.8 ,,,49.9 ,13.3 ,55.8 ,445.4 ,676.9 ,16.4 ,716.3 
50,ACLY,"ATP citrate lyase",47,3,64.9,22.1 ,469.7 ,476.2 ,133.9 ,1410.0 ,3589.4 ,253.9 ,4553.6 ,7018.9 ,408.6 ,334.4 111.2 ,431.0 191.4 ,,3053.0 
51,GBA2,"glucosidase, beta (bile acid) 2",57704,3,65.0,379.9 ,456.6 ,7549.8 ,11081.0 ,9813.0 ,1403.2 ,,,2853.9 ,7924.3 ,1377.1 8108.7 ,1120.4 11290.8 ,,
52,EIF4H,"eukaryotic translation initiation factor 4H",7458,3,65.8,71.2 ,28.1 ,29.1 ,41.2 ,293.5 ,684.1 ,,806.6 ,,,,,,
53,EFTUD2,"elongation factor Tu GTP binding domain containing 2",9343,3,66.3,7.9 ,30.6 ,304.4 ,84.0 ,22.4 ,3814.3 ,2161.8 ,136.4 ,746.9 ,1598.3 ,75.6 ,259.1 ,1191.9 ,1417.8 
54,RGP1,"RGP1 retrograde golgi transport homolog (S. cerevisiae)",9827,3,66.5,1381.9 ,1009.1 ,1269.9 ,7212.8 ,1762.8 ,,804.1 ,3698.1 ,3546.7 ,1992.5 ,,,,
55,C19orf10,"chromosome 19 open reading frame 10",56005,3,67.0,759.4 ,1102.8 ,1024.3 ,1941.0 ,4300.6 ,7987.3 ,920.0 ,2507.1 ,,,,,,
56,DNAJA1,"DnaJ (Hsp40) homolog, subfamily A, member 1",3301,3,67.0,225.2 ,471.5 ,1165.8 ,1005.1 ,1437.0 ,1726.7 ,42.8 ,754.6 ,,,,,,
57,NUDC,"nudC nuclear distribution protein",10726,3,68.3,283.1 ,218.4 ,245.9 ,730.5 ,514.4 ,6204.1 ,275.1 ,106.0 ,95.3 ,1107.6 ,446.3 ,1048.5 ,,4284.3 
58,HUWE1,"HECT, UBA and WWE domain containing 1, E3 ubiquitin protein ligase",10075,3,69.8,206.4 ,211.1 ,84.0 ,518.6 ,,868.6 ,,94.7 ,246.2 ,952.7 ,498.7 ,314.2 ,,
59,HSP90AB1,"heat shock protein 90kDa alpha (cytosolic), class B member 1",3326,3,71.2,78.0 ,415.4 ,6.0 ,18.4 ,7.5 ,12932.5 ,1130.7 ,1495.4 ,47.0 ,13.0 ,25.6 ,28.4 ,118.6 167.0 ,80.2 
60,ELOVL1,"ELOVL fatty acid elongase 1",64834,3,74.0,610.0 ,1157.3 ,945.9 ,7231.6 ,4452.4 ,,1069.9 ,2229.6 ,8719.9 ,12509.5 ,,,,
61,ABCF1,"ATP-binding cassette, sub-family F (GCN20), member 1",23,3,74.0,,203.0 ,464.1 ,295.3 ,83.2 ,501.6 ,,287.4 ,341.5 ,2520.1 ,1300.2 ,1563.7 ,,1638.9 
62,SNX17,"sorting nexin 17",9784,3,74.5,179.8 ,289.8 ,864.8 ,2738.2 ,2492.1 ,9738.0 ,893.4 ,6969.3 ,2436.0 ,3168.6 ,9901.3 ,5353.3 ,,
63,PDIA6,"protein disulfide isomerase family A, member 6",10130,3,74.6,30.0 ,184.1 ,99.4 ,242.1 ,387.4 ,2316.1 ,573.4 ,100.3 ,151.4 ,476.6 ,374.8 ,1279.6 ,,
64,PPP1CA,"protein phosphatase 1, catalytic subunit, alpha isozyme",5499,3,74.7,153.1 ,210.9 ,57.2 ,280.8 ,1246.6 ,6796.1 ,,1408.6 2464.8 ,,,1796.5 ,909.1 ,828.6 ,2343.0 
65,CCT7,"chaperonin containing TCP1, subunit 7 (eta)",10574,3,75.2,10.3 ,8.9 ,5.3 ,39.8 ,59.0 ,,447.2 ,24.0 ,81.2 ,465.4 ,51.5 ,36.5 ,198.3 ,1148.8 
66,PSMD8,"proteasome (prosome, macropain) 26S subunit, non-ATPase, 8",5714,3,76.1,280.1 ,53.3 ,311.9 ,1094.5 ,315.2 ,2045.0 ,,35.5 ,47.7 ,434.4 ,834.3 ,1224.9 ,53.9 ,229.8 
67,FARSA,"phenylalanyl-tRNA synthetase, alpha subunit",2193,3,76.5,788.9 ,837.4 ,417.5 ,551.5 ,722.1 ,977.0 ,,626.6 ,750.7 ,1662.2 ,91.1 ,84.3 ,1552.5 ,2870.4 
68,HSPA8,"heat shock 70kDa protein 8",3312,3,76.7,146.9 ,84.8 ,30.8 ,36.9 ,577.1 ,649.0 ,47.8 ,432.1 ,9489.7 ,7584.4 ,70.7 ,37.0 ,,
69,MARS,"methionyl-tRNA synthetase",4141,3,76.7,145.9 ,217.9 ,470.3 ,61.0 ,440.8 ,656.4 ,,252.4 ,697.2 ,89.9 ,,,2257.5 ,1914.4 
70,KEAP1,"kelch-like ECH-associated protein 1",9817,3,77.0,298.7 ,119.9 ,1456.3 ,3307.4 ,355.6 ,233.4 ,,,4493.7 ,9091.5 ,,,,
71,UBA1,"ubiquitin-like modifier activating enzyme 1",7317,3,79.5,15.9 ,8.9 ,41.2 ,118.1 ,26.4 ,668.8 ,,106.8 ,5.9 ,10.0 ,235.6 ,19.9 ,5.3 ,127.3 
72,BCAP31,"B-cell receptor-associated protein 31",10134,3,79.5,190.5 ,692.2 ,589.5 ,1648.9 ,1890.5 ,3971.1 ,,189.4 ,237.6 ,1226.4 ,908.6 ,1414.5 ,,
73,PI4KB,"phosphatidylinositol 4-kinase, catalytic, beta",5298,3,80.9,390.1 ,2350.2 ,5811.9 ,3088.1 ,591.9 ,1950.9 ,9296.6 ,,3616.9 ,4922.1 ,12071.9 ,5651.2 ,,
74,CFL1,"cofilin 1 (non-muscle)",1072,3,85.2,225.7 ,51.1 ,639.4 ,123.7 ,2120.2 ,2063.4 ,,,,,,,,
75,SDF4,"stromal cell derived factor 4",51150,3,86.5,1189.4 ,901.4 ,444.6 ,4199.3 ,1652.9 ,13470.3 ,833.4 ,2633.4 ,3952.3 ,12193.9 ,11382.5 ,6143.5 ,,
76,HMOX2,"heme oxygenase (decycling) 2",3163,3,86.6,880.9 ,627.5 ,1278.7 ,9365.8 ,3580.7 ,1264.4 ,3614.8 ,,,,,,,
77,OAZ1,"ornithine decarboxylase antizyme 1",4946,3,86.6,576.9 ,716.9 ,1198.6 ,5153.6 ,523.1 ,1392.4 ,68.2 ,520.6 ,,,,,,
78,DOLK,"dolichol kinase",22845,3,87.0,5413.5 ,404.2 ,1070.0 ,1890.7 ,1620.4 ,681.8 ,6643.3 ,,,,,,,
79,STIP1,"stress-induced phosphoprotein 1",10963,2,88.9,61.5 ,156.5 ,205.8 ,165.1 ,370.4 ,398.7 ,,,45.1 ,311.8 ,1019.8 ,1963.2 ,63.0 ,128.6 
80,ACO2,"aconitase 2, mitochondrial",50,3,89.8,361.0 ,247.9 ,139.3 ,517.6 ,120.3 ,1158.8 ,433.1 ,704.9 ,716.0 ,4801.9 ,147.9 ,467.6 ,37.3 ,36.3 
81,PDIA3,"protein disulfide isomerase family A, member 3",2923,3,91.3,49.8 ,238.9 ,82.0 ,165.3 ,64.9 ,7640.7 ,1341.5 ,505.0 ,24.8 ,20.0 ,72.0 ,68.0 ,,
82,SIGMAR1,"sigma non-opioid intracellular receptor 1",10280,3,93.0,3991.6 ,746.4 ,1443.1 ,4233.4 ,695.7 ,1801.9 ,,903.0 ,,,,,2662.7 ,3032.9 
83,GANAB,"glucosidase, alpha; neutral AB",23193,3,94.2,39.4 ,65.7 ,377.9 ,247.9 ,134.6 ,5082.9 ,,,14.7 ,71.0 ,215.2 1910.7 ,297.3 4833.5 ,425.7 ,379.7 
84,WDR1,"WD repeat domain 1",9948,3,98.6,16.5 ,85.4 ,654.0 ,1860.2 ,275.8 ,3458.1 ,1984.1 ,463.0 ,,1307.1 ,822.9 3325.1 ,320.9 3678.2 ,22.1 ,1570.0 
85,HARS,"histidyl-tRNA synthetase",3035,3,99.0,25.9 ,373.0 ,200.5 ,235.1 ,562.1 ,2168.3 ,197.7 ,624.4 ,2382.4 ,2172.3 ,771.5 ,464.1 ,1241.8 ,2763.4 
86,HSPA5,"heat shock 70kDa protein 5 (glucose-regulated protein, 78kDa)",3309,3,99.2,19.9 ,48.3 ,332.7 ,148.5 ,158.1 ,2516.8 ,231.7 ,191.0 ,97.4 ,90.3 ,17.1 147.3 ,77.2 506.2 ,148.4 ,292.2 
87,DPP3,"dipeptidyl-peptidase 3",10072,3,100.3,234.7 ,306.4 ,95.4 ,107.8 ,,835.2 ,,508.7 ,,5.2 ,2061.7 ,1356.2 ,651.5 ,
88,PSMB6,"proteasome (prosome, macropain) subunit, beta type, 6",5694,3,100.5,418.4 ,229.4 ,154.7 ,1381.7 ,,825.0 ,,105.2 ,,,,,13.4 ,487.0 
89,DCTN3,"dynactin 3 (p22)",11258,3,100.7,500.9 ,640.1 ,771.8 ,5772.4 ,3412.5 ,1020.6 ,137.2 ,,,,,,,
90,DDB1,"damage-specific DNA binding protein 1, 127kDa",1642,3,101.8,5.3 ,40.5 ,10.9 ,178.9 ,4.9 ,1215.0 ,1187.1 ,377.0 ,1840.8 ,1215.0 ,,,,
91,HNRNPF,"heterogeneous nuclear ribonucleoprotein F",3185,3,102.1,294.8 ,302.5 ,141.4 ,336.6 ,64.5 ,4397.6 ,,,,,497.6 ,399.1 ,,
92,NSFL1C,"NSFL1 (p97) cofactor (p47)",55968,3,102.9,13.9 ,213.2 ,54.3 ,193.4 ,324.9 ,,5846.9 ,35.1 ,185.7 ,225.5 ,21.2 ,22.6 ,87.4 ,329.0 
93,ACTG1,"actin, gamma 1",71,3,103.0,83.2 ,441.5 ,401.2 ,45.5 ,462.8 ,7014.5 ,121.7 ,404.2 412.3 ,29.6 ,112.7 ,2157.5 16397.8 ,3883.3 14527.0 ,58.6 ,725.6 
94,ABCF2,"ATP-binding cassette, sub-family F (GCN20), member 2",10061,3,103.2,485.4 ,143.3 ,613.8 ,1187.1 ,,79.7 ,538.4 ,790.7 ,4967.1 ,1881.6 ,250.6 ,151.7 ,2721.6 ,
95,NSDHL,"NAD(P) dependent steroid dehydrogenase-like",50814,3,104.1,255.7 ,556.5 ,5302.2 ,7854.7 ,1698.8 ,2151.0 ,1406.7 ,2552.1 ,,,,,791.5 ,1077.8 
96,PRPF4,"pre-mRNA processing factor 4",9128,3,105.7,157.0 ,2261.3 ,950.6 ,947.8 ,1310.9 ,998.6 ,2950.5 ,1129.6 ,595.2 ,2499.6 ,914.3 ,1507.5 ,869.3 ,427.0 
97,PITRM1,"pitrilysin metallopeptidase 1",10531,3,105.8,114.9 ,1265.1 ,801.0 ,157.6 ,366.8 ,900.6 ,1298.7 ,365.7 ,465.7 ,5316.4 ,,,,1952.6 
98,PSMC5,"proteasome (prosome, macropain) 26S subunit, ATPase, 5",5705,3,107.0,87.9 ,321.7 ,38.3 ,461.5 ,268.0 ,2139.7 ,299.6 ,28.4 ,20.4 ,22.4 ,3058.5 119.3 ,2307.0 100.3 ,42.1 ,28.8 
99,ALDOA,"aldolase A, fructose-bisphosphate",226,3,109.1,330.1 ,204.8 ,398.3 ,977.7 ,1327.2 ,892.4 ,,1205.3 4946.1 ,,,905.6 ,1108.8 ,,
100,OTUB1,"OTU deubiquitinase, ubiquitin aldehyde binding 1",55611,3,111.1,1183.0 ,2007.8 ,,,,1392.1 ,,,,,,,,
101,HM13,"histocompatibility (minor) 13",81502,3,113.7,869.0 ,1495.3 ,391.9 ,7897.1 ,2947.4 ,7750.0 ,,219.1 ,416.5 ,3149.6 ,,,,
102,DNAJB11,"DnaJ (Hsp40) homolog, subfamily B, member 11",51726,3,115.2,284.5 ,942.9 ,197.9 ,379.5 ,1890.0 ,581.0 ,3451.8 ,465.9 ,202.7 ,3254.1 ,6338.4 ,4129.9 ,,
103,PRMT1,"protein arginine methyltransferase 1",3276,3,116.3,419.3 ,606.3 ,418.1 ,99.4 ,894.0 ,162.9 ,,977.0 ,774.9 ,1577.4 ,79.9 ,29.0 ,3875.0 ,4569.9 
104,CAPNS1,"calpain, small subunit 1",826,3,117.2,245.2 ,898.7 ,438.7 ,3512.3 ,673.8 ,2044.1 ,,3127.8 ,,,,,,
105,ARCN1,"archain 1",372,3,117.8,388.1 ,3097.2 ,1438.5 ,139.2 ,251.1 ,9550.2 ,130.1 ,322.9 ,488.7 ,1733.1 ,1425.7 ,1223.0 ,,
106,HYOU1,"hypoxia up-regulated 1",10525,3,119.1,74.0 ,150.2 ,3684.1 ,534.4 ,454.7 ,3284.8 ,234.5 ,468.8 ,154.2 ,786.7 ,2033.8 933.6 ,2121.2 2620.8 ,,813.9 
107,2597,"&nbsp;",2597,0,120.0,108.1 ,309.0 ,,1268.0 778.5 ,,,347.4 ,7023.8 ,916.8 1983.8 ,3755.3 4375.7 ,2705.1 ,2667.5 ,141.8 649.4 ,
108,PGK1,"phosphoglycerate kinase 1",5230,3,120.1,71.8 ,399.0 ,277.2 ,1126.2 ,1036.9 ,1570.4 ,212.5 ,1320.7 ,,2729.0 ,42.2 ,308.5 ,317.8 ,117.9 
109,ATP1A1,"ATPase, Na+/K+ transporting, alpha 1 polypeptide",476,3,122.3,119.2 ,1067.6 ,757.5 ,202.4 ,207.9 ,3044.8 ,630.0 ,404.9 6615.7 4190.8 ,,,,,,
110,PFN1,"profilin 1",5216,3,122.8,4430.8 ,301.8 ,604.2 ,1237.0 ,558.7 ,,,,,,,,,
111,PRPF8,"pre-mRNA processing factor 8",10594,3,124.1,31.4 ,54.8 ,34.1 ,51.8 ,196.7 ,3522.7 ,210.9 ,288.0 ,716.4 ,1174.0 ,150.6 ,43.0 ,306.0 ,129.0 
112,ARIH2,"ariadne RBR E3 ubiquitin protein ligase 2",10425,1,124.8,754.1 ,669.1 ,3872.4 ,1999.6 ,1187.4 ,109.1 ,5316.9 ,6067.1 ,1741.8 ,4403.3 ,4440.7 ,1540.5 ,,
113,TM9SF1,"transmembrane 9 superfamily member 1",10548,3,125.5,499.7 ,2655.5 ,2873.4 ,229.3 ,302.3 ,9411.3 ,,,,,,,,
114,TNPO3,"transportin 3",23534,3,126.3,74.5 ,1516.4 ,250.3 ,137.0 ,3418.4 ,970.9 ,1894.5 ,2353.5 ,1422.5 ,3082.7 ,427.2 ,304.3 ,1993.4 ,3660.3 
115,GNB1,"guanine nucleotide binding protein (G protein), beta polypeptide 1",2782,3,127.6,90.3 ,2100.2 ,445.6 ,392.4 ,1866.0 ,4585.3 ,328.1 ,597.5 ,1018.9 ,6803.5 ,2279.4 ,1377.8 ,,
116,SLC35A4,"solute carrier family 35, member A4",113829,3,128.6,685.9 ,770.1 ,259.4 ,1572.3 ,1401.2 ,,8430.9 ,3945.3 ,,,,,,
117,HADHA,"hydroxyacyl-CoA dehydrogenase/3-ketoacyl-CoA thiolase/enoyl-CoA hydratase (trifunctional protein), alpha subunit",3030,3,128.7,153.5 ,351.4 ,325.1 ,1492.1 ,35.7 ,,,3864.6 940.1 ,179.4 ,177.4 ,204.8 5546.8 ,385.7 7181.4 ,,
118,PPIB,"peptidylprolyl isomerase B (cyclophilin B)",5479,3,129.3,691.0 ,688.6 ,176.9 ,1505.6 ,688.5 ,3499.2 ,281.0 ,32.0 ,63.9 ,328.5 ,3170.2 6001.5 ,4917.2 8777.0 ,232.0 ,3135.7 
119,PPP4C,"protein phosphatase 4, catalytic subunit",5531,3,129.5,386.6 ,692.0 ,375.4 ,2954.2 ,2097.3 ,8845.1 ,,,338.1 ,1255.1 ,497.5 ,353.3 ,3642.7 ,800.1 
120,CAPZB,"capping protein (actin filament) muscle Z-line, beta",832,3,131.3,108.4 ,564.6 ,987.9 ,587.6 ,1124.3 ,6124.0 ,290.9 ,1063.2 ,797.8 ,746.1 ,3573.5 ,1675.8 ,246.5 ,3408.9 
121,SRSF9,"serine/arginine-rich splicing factor 9",8683,3,131.6,367.4 ,670.5 ,202.2 ,1594.6 ,4745.6 ,10300.2 ,,,,,,,,
122,SLC52A2,"solute carrier family 52 (riboflavin transporter), member 2",79581,3,132.4,2269.1 ,403.4 ,6267.6 ,11970.0 ,1656.7 ,7783.1 ,,7361.4 ,,,,,,
123,DHX38,"DEAH (Asp-Glu-Ala-His) box polypeptide 38",9785,3,134.9,120.1 ,544.9 ,1513.9 ,2487.9 ,449.7 ,5668.9 ,856.2 ,,2790.1 ,2857.3 ,526.4 ,455.1 ,2666.1 ,1774.2 
