,Gene,Function,Entrez Gene ID,Supportability,Hsa MR for OPTN,Hsa2 MR for OPTN,Hsa3 MR for OPTN,Mcc MR for OPTN,Mmu MR for Optn,Mmu2 MR for Optn,Rno MR for Optn,Cfa MR for OPTN,Gga MR for OPTN,Dre MR for optn
39,C19orf66,"chromosome 19 open reading frame 66",55337,3,79.5,135.8 ,3622.0 ,,6151.6 ,5978.9 ,1185.8 ,,,
40,GBP3,"guanylate binding protein 3",2635,3,83.1,36.3 ,28.9 ,,4178.5 ,873.8 ,,,,
41,MARCH8,"membrane-associated ring finger (C3HC4) 8, E3 ubiquitin protein ligase",220972,3,83.5,144.5 ,360.6 ,3351.1 ,47.0 ,576.5 ,119.6 ,661.6 ,11743.8 ,
42,JAZF1,"JAZF zinc finger 1",221895,3,84.5,113.6 ,602.5 ,11958.8 ,3184.9 ,6178.6 ,2872.6 ,306.5 ,2001.2 ,
43,DDX58,"DEAD (Asp-Glu-Ala-Asp) box polypeptide 58",23586,3,85.1,72.8 ,303.1 ,991.5 ,3046.9 ,2760.6 ,,,,
44,IFIT3,"interferon-induced protein with tetratricopeptide repeats 3",3437,3,87.4,90.1 ,118.5 ,641.6 ,1295.2 ,3107.7 2139.2 ,5181.3 ,,,
45,BIRC3,"baculoviral IAP repeat containing 3",330,3,91.8,88.2 ,878.7 ,599.1 ,4972.4 ,2966.2 ,5339.6 ,11172.8 ,,
46,PARP14,"poly (ADP-ribose) polymerase family, member 14",54625,3,92.5,84.1 ,749.5 ,555.1 ,3060.1 ,1400.0 ,1026.8 ,3641.6 ,4488.6 492.8 ,
47,TMBIM1,"transmembrane BAX inhibitor motif containing 1",64114,3,92.6,150.6 ,101.5 ,1063.0 ,418.2 ,628.4 ,6893.5 ,,4301.7 ,5911.5 
48,BTN3A3,"butyrophilin, subfamily 3, member A3",10384,3,93.7,90.0 ,379.6 ,2782.1 ,,,,,,
49,IRF1,"interferon regulatory factor 1",3659,3,95.3,154.2 ,3393.0 ,515.4 ,3588.5 ,6409.4 ,4606.8 ,,688.9 ,192.6 
50,TMOD1,"tropomodulin 1",7111,3,96.9,131.2 ,1947.0 ,4175.3 ,674.7 ,3703.4 ,2212.3 ,2967.5 ,11001.2 ,
51,GBP4,"guanylate binding protein 4",115361,3,99.5,63.9 ,4903.3 ,,3268.0 ,1779.0 ,,,,
52,GYPC,"glycophorin C (Gerbich blood group)",2995,3,101.0,575.8 ,2209.5 ,,2060.7 ,6098.0 ,1303.6 ,,10246.7 ,
53,BPGM,"2,3-bisphosphoglycerate mutase",669,3,103.0,146.7 ,609.0 ,13634.8 ,1171.5 ,3578.9 ,5408.3 ,618.1 ,204.0 ,
54,CRIM1,"cysteine rich transmembrane BMP regulator 1 (chordin-like)",51232,3,107.0,241.8 ,240.6 ,,6949.0 ,5218.2 ,2543.2 ,7211.3 ,4410.6 ,4611.4 
55,DTX3L,"deltex 3 like, E3 ubiquitin ligase",151636,3,108.2,226.2 ,877.2 ,570.3 ,2137.7 ,4236.5 ,1112.6 ,2133.5 ,2697.0 ,
56,TLR3,"toll-like receptor 3",7098,3,108.3,110.9 ,739.4 ,622.0 ,1768.2 ,3379.2 ,,12575.9 ,2611.3 ,
57,ISG20,"interferon stimulated exonuclease gene 20kDa",3669,3,108.4,1993.4 ,3161.6 ,327.7 ,326.6 ,1086.0 ,10147.1 ,540.9 ,,
58,HCFC2,"host cell factor C2",29915,3,109.2,371.2 ,249.5 ,182.6 ,7019.7 ,1782.6 ,4929.5 ,990.2 ,2365.0 ,
59,NR3C1,"nuclear receptor subfamily 3, group C, member 1 (glucocorticoid receptor)",2908,3,110.7,912.5 ,497.2 ,1677.0 ,1819.9 ,2388.8 ,140.1 ,29.3 ,11447.8 ,1845.9 
60,IFIT2,"interferon-induced protein with tetratricopeptide repeats 2",3433,3,113.1,82.0 ,117.2 ,1135.2 ,3435.3 ,8147.0 ,3107.4 ,250.3 ,,
61,C10orf10,"chromosome 10 open reading frame 10",11067,3,117.1,748.0 ,164.8 ,7643.1 ,3855.1 ,3144.8 ,3344.5 ,11767.2 ,,
62,TDRD7,"tudor domain containing 7",23424,3,119.8,52.0 ,441.5 ,5.0 ,146.4 ,328.1 ,137.6 ,255.5 ,3898.9 ,6818.3 
63,PSMB9,"proteasome (prosome, macropain) subunit, beta type, 9",5698,3,120.4,,787.9 ,,3725.7 ,2628.3 ,3510.1 ,3606.0 ,,502.8 
64,MX1,"MX dynamin-like GTPase 1",4599,3,121.7,158.4 ,299.6 ,1466.5 ,,,2981.3 ,4549.1 ,,2366.9 
65,RSAD2,"radical S-adenosyl methionine domain containing 2",91543,3,128.6,134.6 ,2595.4 ,,243.1 ,1959.2 ,4091.7 ,1646.1 ,2265.9 ,
66,APOL6,"apolipoprotein L, 6",80830,3,129.6,53.6 ,462.3 ,,8861.2 ,10827.9 ,,10356.2 ,,
67,6772,"&nbsp;",6772,0,130.7,83.3 ,865.3 ,235.3 ,1526.2 ,2323.2 ,1237.0 ,2319.2 ,1135.8 ,140.0 
68,TNFAIP3,"tumor necrosis factor, alpha-induced protein 3",7128,3,135.3,224.0 ,1056.3 ,3612.0 ,1263.1 ,1560.4 ,,1075.6 ,1025.8 ,
69,WDR45,"WD repeat domain 45",11152,3,136.1,138.3 ,1651.3 ,1824.2 ,2053.1 ,14616.9 ,,1554.4 ,,3028.0 
70,GMPR,"guanosine monophosphate reductase",2766,3,137.3,201.1 ,1494.3 ,,,8507.8 ,5502.0 ,11149.0 ,8273.2 ,
71,IFIT1,"interferon-induced protein with tetratricopeptide repeats 1",3434,3,139.0,122.3 ,146.3 ,683.0 ,662.0 2896.7 ,845.7 2239.5 ,,718.5 ,,
72,ZNFX1,"zinc finger, NFX1-type containing 1",57169,3,143.0,77.7 ,33.2 ,115.1 ,586.3 ,1814.0 ,12046.0 ,936.4 ,2390.7 ,
73,SLC41A2,"solute carrier family 41 (magnesium transporter), member 2",84102,3,144.7,154.4 ,2696.8 ,,2089.2 ,1332.6 ,103.0 ,3317.9 ,414.5 ,
74,IL6ST,"interleukin 6 signal transducer",3572,3,144.8,120.5 ,38.8 ,,2745.2 ,6753.8 ,1807.7 ,433.3 ,12628.0 ,
75,RTP4,"receptor (chemosensory) transporter protein 4",64108,3,149.0,150.9 ,869.8 ,1716.8 ,2189.7 ,5431.3 ,3557.9 ,1042.6 ,,
76,LACC1,"laccase (multicopper oxidoreductase) domain containing 1",144811,3,151.1,396.1 ,138.8 ,1163.8 ,2358.1 ,4677.1 ,10172.5 ,3930.7 ,9599.8 ,
77,APOL1,"apolipoprotein L, 1",8542,3,152.1,86.0 ,1808.4 ,,,,,,,
78,EPSTI1,"epithelial stromal interaction 1 (breast)",94240,3,152.4,111.9 ,439.6 ,1460.3 ,11131.5 ,2067.3 ,8064.1 ,4060.2 ,2305.9 ,
79,TRIM22,"tripartite motif containing 22",10346,3,152.6,186.7 ,608.7 ,4460.6 ,,,,1744.9 ,,
80,RARRES3,"retinoic acid receptor responder (tazarotene induced) 3",5920,3,153.2,69.9 ,730.0 ,3045.1 ,,,,899.3 ,,263.3 
81,BNIP3L,"BCL2/adenovirus E1B 19kDa interacting protein 3-like",665,3,153.9,381.9 ,525.7 ,,2116.0 ,4934.9 12155.4 ,781.8 ,353.5 ,2155.7 ,1805.3 
82,SERINC1,"serine incorporator 1",57515,3,155.5,510.6 ,28.9 ,2122.1 ,1641.3 ,11332.0 ,2121.2 ,474.4 ,360.7 ,776.9 
83,PINK1,"PTEN induced putative kinase 1",65018,3,155.7,15.2 ,419.2 ,,,9069.6 ,756.5 ,,1432.6 ,
84,RNF14,"ring finger protein 14",9604,3,157.2,918.0 ,410.2 ,3360.9 ,430.8 ,2942.1 ,1645.6 ,124.0 ,,
85,TUBB2A,"tubulin, beta 2A class IIa",7280,2,158.6,,6516.1 ,,6155.9 ,17434.0 ,10058.8 ,,,6693.9 
86,IRF9,"interferon regulatory factor 9",10379,3,159.3,144.6 ,281.3 ,,3170.7 ,12858.4 ,4567.3 ,883.9 ,,207.5 
87,HEG1,"heart development protein with EGF-like domains 1",57493,3,160.1,187.4 ,120.6 ,,10265.4 ,5918.3 ,,7166.7 ,,
88,NLRC5,"NLR family, CARD domain containing 5",84166,3,160.8,553.0 ,610.6 ,1613.1 ,,3032.9 ,,973.2 ,,
89,UBE2L6,"ubiquitin-conjugating enzyme E2L 6",9246,3,165.6,150.2 ,1869.5 ,,338.8 ,2931.8 ,5534.8 ,1185.7 ,,
90,RRAGC,"Ras-related GTP binding C",64121,3,167.0,132.1 ,638.6 ,47.0 ,2627.9 ,5325.1 ,879.7 ,,2043.1 ,275.4 
91,XRN1,"5'-3' exoribonuclease 1",54464,3,167.5,662.4 ,611.8 ,,7184.8 ,11163.5 ,4661.8 ,3750.5 ,938.5 ,7243.7 
92,NCOA7,"nuclear receptor coactivator 7",135112,3,168.4,273.3 ,203.3 ,,11877.0 ,5865.2 ,6033.3 ,11439.6 ,3722.0 ,
93,SGTB,"small glutamine-rich tetratricopeptide repeat (TPR)-containing, beta",54557,3,169.1,440.2 ,1344.2 ,6074.8 ,11188.3 ,5842.0 ,6267.9 ,435.5 ,1859.2 ,1202.9 
94,PHYH,"phytanoyl-CoA 2-hydroxylase",5264,3,169.7,418.8 ,1127.6 ,7464.7 ,231.7 ,425.8 ,223.1 ,4288.1 9071.6 ,1099.7 ,
95,YPEL4,"yippee-like 4 (Drosophila)",219539,3,170.0,6791.8 ,362.7 ,,2326.0 ,6764.4 ,8856.2 ,3756.2 ,,3114.5 
96,STAT4,"signal transducer and activator of transcription 4",6775,3,170.2,234.2 ,226.8 ,,15379.9 ,6297.6 ,,3654.6 ,,
97,CREBRF,"CREB3 regulatory factor",153222,3,172.4,232.3 ,151.8 ,5814.7 ,1609.0 ,6789.5 ,579.8 ,133.9 ,5668.2 ,
98,FAM69A,"family with sequence similarity 69, member A",388650,3,173.7,584.0 ,950.1 ,,13935.7 ,16262.0 ,2003.4 ,,861.9 ,
99,LBH,"limb bud and heart development",81606,3,174.6,390.6 ,1804.4 ,8278.2 ,18176.9 ,16311.8 ,7021.5 ,1082.2 ,2690.1 ,2651.2 
100,TPRG1L,"tumor protein p63 regulated 1-like",127262,3,177.6,159.8 ,132.8 ,974.5 ,2656.0 ,3087.2 ,841.7 ,,785.7 ,
101,EIF2AK2,"eukaryotic translation initiation factor 2-alpha kinase 2",5610,3,178.6,1710.6 ,3678.8 ,,1825.2 ,5408.4 ,1436.7 ,7556.5 ,328.1 ,
102,HIVEP2,"human immunodeficiency virus type I enhancer binding protein 2",3097,3,179.8,298.3 ,238.2 ,4793.6 ,10968.4 ,10116.7 ,2077.7 ,3283.8 ,1250.4 ,
103,CCL5,"chemokine (C-C motif) ligand 5",6352,3,184.2,337.9 ,5055.3 ,1251.5 ,5463.3 ,6015.9 ,4733.5 ,1758.1 ,,
104,FAS,"Fas cell surface death receptor",355,3,185.2,190.3 ,407.1 ,570.0 ,422.3 ,1508.3 ,8952.4 ,4873.8 ,2268.6 ,1652.6 
105,HLA-B,"major histocompatibility complex, class I, B",3106,3,185.5,,423.7 ,2803.8 ,,,,1030.0 3924.3 1891.6 ,,3314.2 
106,ZC3H12C,"zinc finger CCCH-type containing 12C",85463,3,185.9,358.0 ,50.0 ,4295.3 ,5020.1 ,13449.9 ,,14657.0 ,12223.0 ,
107,RAB2B,"RAB2B, member RAS oncogene family",84932,3,186.5,1313.4 ,5445.5 ,,5855.1 ,15057.3 ,2913.6 ,1468.6 ,,
108,RELB,"v-rel avian reticuloendotheliosis viral oncogene homolog B",5971,3,187.3,538.2 ,1106.6 ,2252.8 ,2161.4 ,4285.6 ,,1520.7 ,,
109,ZBTB4,"zinc finger and BTB domain containing 4",57659,3,187.9,160.5 ,338.4 ,7218.4 ,4686.1 ,2983.8 ,1220.6 ,6213.2 ,,
110,GBP5,"guanylate binding protein 5",115362,3,192.9,216.8 ,7783.8 ,,,2986.3 ,,527.0 ,,
111,EPS15,"epidermal growth factor receptor pathway substrate 15",2060,3,193.0,964.6 ,1891.9 ,,1058.6 ,3325.7 ,374.2 ,,50.4 ,
112,DNAJB2,"DnaJ (Hsp40) homolog, subfamily B, member 2",3300,3,193.4,115.8 ,114.4 ,5458.7 ,47.5 ,409.4 ,1153.2 ,,5121.4 ,
113,EPB42,"erythrocyte membrane protein band 4.2",2038,3,194.2,777.8 ,8367.4 ,12617.4 ,2320.8 ,11140.7 ,8909.0 ,10509.2 ,9808.6 ,
114,ARMCX1,"armadillo repeat containing, X-linked 1",51309,3,194.8,651.5 ,1105.9 ,4670.5 ,13589.5 ,15311.3 ,,,,
115,MAF,"v-maf avian musculoaponeurotic fibrosarcoma oncogene homolog",4094,3,195.6,1518.5 ,1048.8 ,,5452.1 ,9301.3 ,931.1 ,,,
116,C5orf56,"chromosome 5 open reading frame 56",441108,3,195.9,422.9 ,1943.0 ,445.6 ,,,,,,
117,100130506,"&nbsp;",100130506,0,196.9,,,,,,,,,
118,XAF1,"XIAP associated factor 1",54739,3,197.4,114.6 ,1523.7 ,1220.0 ,2173.3 ,10586.0 ,,,10933.2 ,
119,ETS1,"v-ets avian erythroblastosis virus E26 oncogene homolog 1",2113,3,198.3,584.3 ,170.3 ,7010.3 ,14839.8 ,12564.6 ,4810.5 ,,649.3 ,5513.4 
120,DRAM1,"DNA-damage regulated autophagy modulator 1",55332,3,201.5,165.8 ,40.8 ,1749.5 ,2949.6 ,765.5 ,9789.8 ,681.3 ,2402.3 ,
121,OASL,"2'-5'-oligoadenylate synthetase-like",8638,3,203.5,358.3 ,1554.3 ,529.7 ,1082.6 ,868.8 ,7470.3 ,,,
122,TAP2,"transporter 2, ATP-binding cassette, sub-family B (MDR/TAP)",6891,3,204.9,1223.9 ,2997.6 ,2694.8 ,1337.0 ,2082.6 ,985.2 ,3800.9 ,4725.0 ,
123,DMTN,"dematin actin binding protein",2039,3,206.4,452.1 ,1862.1 ,14652.2 ,6424.8 ,14895.9 ,3766.4 ,5240.0 ,,2112.8 
124,TBCEL,"tubulin folding cofactor E-like",219899,2,207.4,277.5 ,661.6 ,6350.0 ,740.5 ,2033.5 ,,6195.6 ,,
125,CTSL,"cathepsin L",1514,3,208.9,201.4 ,2284.2 ,655.6 ,,,,,,
126,PARP9,"poly (ADP-ribose) polymerase family, member 9",83666,3,209.0,114.2 ,715.0 ,441.4 ,1062.1 ,4917.4 ,1354.2 ,1230.8 ,2118.5 ,
127,PHF11,"PHD finger protein 11",51131,3,209.2,117.3 ,1568.1 ,,7168.5 ,8551.4 10393.4 8352.4 5437.7 ,,1528.4 ,1843.7 ,
128,IRF2,"interferon regulatory factor 2",3660,3,209.2,521.9 ,2029.6 ,3869.6 ,1986.6 ,2298.3 ,1907.0 ,1270.8 ,4736.8 ,6861.9 
129,STOM,"stomatin",2040,3,209.6,568.4 ,118.0 ,603.0 ,223.8 ,171.6 ,3260.9 ,626.1 ,3868.3 ,2606.3 
130,ZBTB38,"zinc finger and BTB domain containing 38",253461,3,210.0,290.3 ,96.0 ,4040.6 ,9771.3 ,3347.9 ,,934.7 ,4965.8 ,2806.3 
131,MVP,"major vault protein",9961,3,210.6,52.0 ,5.7 ,,91.7 ,1499.2 ,1250.4 ,45.7 ,5455.5 ,230.0 
132,N4BP2L1,"NEDD4 binding protein 2-like 1",90634,3,210.6,682.7 ,1377.7 ,,2293.8 ,1490.7 ,1467.9 ,1868.4 ,7350.8 ,
133,IFI44,"interferon-induced protein 44",10561,3,214.2,144.6 ,141.8 ,,5531.3 ,4535.4 ,3076.7 ,2588.8 ,,1838.1 363.0 
134,KDSR,"3-ketodihydrosphingosine reductase",2531,2,216.2,1695.8 ,1306.5 ,2962.1 ,5004.6 ,16954.4 ,6891.0 ,3361.0 ,,6227.6 
135,PNRC1,"proline-rich nuclear receptor coactivator 1",10957,3,217.8,818.0 ,343.9 ,,8205.6 ,2987.4 ,1128.5 ,,2117.2 ,
136,CREBL2,"cAMP responsive element binding protein-like 2",1389,3,218.1,905.9 ,1808.7 ,,,3631.4 ,114.5 ,1852.3 ,893.5 ,
137,CD47,"CD47 molecule",961,3,218.3,1279.4 ,1256.3 ,1306.1 ,2904.4 ,4406.1 ,5193.9 ,1741.5 ,1155.8 ,
138,UBXN6,"UBX domain protein 6",80700,3,218.4,34.8 ,833.3 ,1582.0 ,1186.5 ,1174.0 ,4144.7 ,1230.8 ,159.3 ,1947.7 
139,CR1L,"complement component (3b/4b) receptor 1-like",1379,3,218.9,3896.6 ,16454.4 ,,5505.7 ,8807.5 ,2542.1 ,,,
140,SSPN,"sarcospan",8082,3,219.0,938.9 ,406.6 ,,3116.7 ,6409.3 ,7782.4 ,,,
141,HEMGN,"hemogen",55363,3,219.9,787.2 ,13416.2 ,11226.9 ,1492.3 ,2973.2 ,11451.6 ,6527.5 ,,
142,PXDC1,"PX domain containing 1",221749,3,220.4,251.2 ,63.5 ,,1147.3 ,853.5 ,1939.0 ,3683.1 ,3411.9 ,
143,HLA-G,"major histocompatibility complex, class I, G",3135,3,222.7,,3302.7 ,847.1 ,9898.8 ,4498.4 ,12375.8 ,,,
144,LGALS3,"lectin, galactoside-binding, soluble, 3",3958,3,222.7,64.8 ,124.4 ,17.9 ,2474.7 ,6958.0 ,7971.7 ,74.4 ,5304.2 ,1721.6 
145,ISG15,"ISG15 ubiquitin-like modifier",9636,3,227.6,402.6 ,5259.6 ,757.9 ,,4094.6 ,5230.7 ,,,
146,IL7,"interleukin 7",3574,3,227.8,378.5 ,1511.5 ,4940.5 ,6248.1 ,3779.7 ,4780.0 ,2808.6 ,,
147,HERC5,"HECT and RLD domain containing E3 ubiquitin protein ligase 5",51191,3,229.4,436.3 ,4616.7 ,,,,,4810.8 ,,
148,PPP3CC,"protein phosphatase 3, catalytic subunit, gamma isozyme",5533,3,230.7,41.4 ,191.5 ,733.4 ,2413.9 ,1734.9 ,5334.2 ,986.2 ,,7817.4 
149,VAMP5,"vesicle-associated membrane protein 5",10791,3,231.0,220.4 ,487.8 ,1785.1 ,50.8 ,2641.6 ,5806.1 ,6899.4 ,,
150,HCP5,"HLA complex P5 (non-protein coding)",10866,3,237.4,338.2 ,3067.7 ,,,,,,,
151,TSPAN5,"tetraspanin 5",10098,3,239.3,193.5 ,485.2 ,,6930.3 ,12433.3 ,5634.1 ,835.6 ,11579.9 ,
152,IFITM1,"interferon induced transmembrane protein 1",8519,3,241.2,810.6 ,9647.5 ,3140.9 ,,,,6990.5 7563.1 ,,
153,TNS1,"tensin 1",7145,3,241.4,419.5 ,252.3 ,916.8 ,1324.8 ,3390.0 ,3268.3 ,9152.5 ,7355.3 ,2329.3 
154,PIP4K2A,"phosphatidylinositol-5-phosphate 4-kinase, type II, alpha",5305,3,241.9,651.4 ,2645.8 ,,12450.0 ,8598.1 ,7120.9 ,2150.7 ,6097.7 ,
155,RRAS,"related RAS viral (r-ras) oncogene homolog",6237,3,243.3,183.2 ,991.3 ,1223.4 ,2267.1 ,2923.9 ,5851.8 ,850.4 ,,1198.6 
156,MAMLD1,"mastermind-like domain containing 1",10046,3,244.1,1162.9 ,608.3 ,5871.8 ,,,,,,
157,YPEL5,"yippee-like 5 (Drosophila)",51646,3,244.3,228.9 ,117.7 ,2777.5 ,578.8 ,1775.5 ,370.1 ,32.2 ,141.0 ,
158,APOL2,"apolipoprotein L, 2",23780,1,245.3,75.7 ,186.2 ,1225.1 ,2131.8 ,5678.7 ,,,,
159,LPIN2,"lipin 2",9663,3,248.4,564.2 ,3239.0 ,1446.2 ,175.8 ,3333.7 ,1000.2 ,12103.0 ,4733.0 ,242.2 
160,RNF11,"ring finger protein 11",26994,3,248.6,19.1 ,66.6 ,3882.1 ,764.3 ,3783.5 ,,,540.7 ,
161,PLSCR1,"phospholipid scramblase 1",5359,3,249.9,999.1 ,4644.0 ,182.3 ,314.8 ,4693.1 ,6922.5 ,2036.5 ,1053.0 ,864.3 
162,PTPRM,"protein tyrosine phosphatase, receptor type, M",5797,3,250.8,95.7 ,122.8 ,,5133.6 ,3045.1 ,1722.2 ,2610.9 ,4455.3 ,
163,HLA-C,"major histocompatibility complex, class I, C",3107,3,254.6,450.6 ,1961.0 ,5912.3 ,,,,,,
164,IFI44L,"interferon-induced protein 44-like",10964,3,255.0,244.3 ,238.5 ,,15883.3 ,6821.2 ,1796.8 ,1910.4 ,,
165,LINC00294,"long intergenic non-protein coding RNA 294",283267,0,255.5,,6211.0 ,,,,,,,
166,ISCU,"iron-sulfur cluster assembly enzyme",23479,3,256.7,211.2 ,904.8 ,2663.0 ,387.9 ,1332.0 ,1358.3 ,3962.6 ,3689.4 ,378.5 
167,PDZK1IP1,"PDZK1 interacting protein 1",10158,3,257.3,1141.9 ,4178.7 ,9256.2 ,3017.5 ,5406.7 ,12334.5 ,8210.9 ,11212.3 ,
168,CMPK2,"cytidine monophosphate (UMP-CMP) kinase 2, mitochondrial",129607,3,261.6,561.4 ,4738.7 ,1007.4 ,498.0 ,806.0 ,7518.4 ,1084.0 ,3928.2 ,
169,GPR155,"G protein-coupled receptor 155",151556,3,262.4,1330.5 ,2572.7 ,8650.9 ,3853.3 ,3802.1 ,286.3 ,2054.1 ,246.9 ,
170,NMRK1,"nicotinamide riboside kinase 1",54981,3,262.7,212.6 ,618.8 ,1809.7 ,1402.0 ,13991.8 ,2231.4 ,5660.3 ,3460.7 ,
