,Gene,Function,Entrez Gene ID,Supportability,Hsa MR for HNRNPA1,Hsa2 MR for HNRNPA1,Hsa3 MR for HNRNPA1,Mcc MR for HNRNPA1,Rno MR for Hnrnpa1
39,YWHAQ,"tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein, theta",10971,3,48.8,2440.6 ,215.1 ,,601.0 
40,RPL14,"ribosomal protein L14",9045,3,50.8,30.3 ,136.9 ,1509.9 ,572.4 
41,SUPV3L1,"suppressor of var1, 3-like 1 (S. cerevisiae)",6832,3,51.0,2403.8 ,998.7 ,7425.7 ,4426.7 
42,HNRNPDL,"heterogeneous nuclear ribonucleoprotein D-like",9987,3,51.2,8.5 ,46.0 ,538.8 ,
43,RSRC2,"arginine/serine-rich coiled-coil 2",65117,3,52.4,32.5 ,431.1 ,,
44,EPB41L4A-AS1,"EPB41L4A antisense RNA 1",114915,3,52.5,207.8 ,645.4 ,,
45,RPL9,"ribosomal protein L9",6133,3,53.3,,136.2 ,,
46,RPS16,"ribosomal protein S16",6217,3,53.6,151.2 ,284.0 ,15017.2 ,287.4 
47,RPS7,"ribosomal protein S7",6201,3,54.4,169.0 ,153.2 ,405.9 ,668.9 
48,TOMM20,"translocase of outer mitochondrial membrane 20 homolog (yeast)",9804,3,54.5,202.8 ,126.1 ,908.9 ,318.0 
49,SFPQ,"splicing factor proline/glutamine-rich",6421,3,56.1,47.1 ,89.3 ,,3.3 
50,RPL41,"ribosomal protein L41",6171,3,56.1,,166.9 ,,
51,LETMD1,"LETM1 domain containing 1",25875,3,56.3,2335.4 ,1438.6 ,,9244.2 
52,RPLP0,"ribosomal protein, large, P0",6175,3,56.4,614.8 ,95.5 ,,831.9 
53,RPL37A,"ribosomal protein L37a",6168,3,56.9,75.3 ,432.4 ,,
54,RPL17,"ribosomal protein L17",6139,3,58.9,34.6 ,84.3 ,,448.0 
55,EIF4B,"eukaryotic translation initiation factor 4B",1975,3,59.0,25.1 ,41.1 ,,1960.8 
56,EIF3E,"eukaryotic translation initiation factor 3, subunit E",3646,3,59.4,18.4 ,126.9 ,1549.9 ,952.9 
57,RPL37,"ribosomal protein L37",6167,3,59.7,32.9 ,289.3 ,,991.8 
58,RPS12,"ribosomal protein S12",6206,3,60.8,103.1 ,148.8 ,,318.6 
59,SNHG12,"small nucleolar RNA host gene 12 (non-protein coding)",85028,3,61.0,110.8 ,982.4 ,,
60,EIF2S3,"eukaryotic translation initiation factor 2, subunit 3 gamma, 52kDa",1968,3,61.4,36.7 ,206.6 ,1941.7 ,989.6 
61,RPL10A,"ribosomal protein L10a",4736,3,63.8,95.9 ,65.0 ,1932.6 ,379.6 
62,EEF1B2,"eukaryotic translation elongation factor 1 beta 2",1933,3,65.5,2699.1 ,118.3 ,,479.4 
63,HMGN3,"high mobility group nucleosomal binding domain 3",9324,3,70.4,629.7 ,643.2 ,337.4 ,324.5 
64,RPL3P7,"ribosomal protein L3 pseudogene 7",642741,0,70.7,,,,
65,RPL12,"ribosomal protein L12",6136,3,71.0,87.6 ,216.5 ,2178.0 ,552.1 
66,EEF1G,"eukaryotic translation elongation factor 1 gamma",1937,3,74.5,395.2 ,76.8 ,,218.4 
67,EPB41L4A,"erythrocyte membrane protein band 4.1 like 4A",64097,3,75.0,10998.6 ,5783.9 ,9572.1 ,
68,NACAP1,"nascent-polypeptide-associated complex alpha polypeptide pseudogene 1",83955,3,76.1,1441.3 ,2443.0 ,,
69,RPL27,"ribosomal protein L27",6155,3,76.2,362.4 ,388.1 ,,707.9 
70,HNRNPM,"heterogeneous nuclear ribonucleoprotein M",4670,3,78.7,19.0 ,13.8 ,375.6 ,17.5 
71,ATP5A1,"ATP synthase, H+ transporting, mitochondrial F1 complex, alpha subunit 1, cardiac muscle",498,3,78.8,193.9 ,543.5 ,,4654.4 
72,RPL31,"ribosomal protein L31",6160,3,79.2,125.5 ,196.9 ,467.0 ,417.3 
73,HNRNPA0,"heterogeneous nuclear ribonucleoprotein A0",10949,2,81.2,213.0 ,37.4 ,,
74,RPS25,"ribosomal protein S25",6230,3,81.3,118.8 ,297.1 ,1054.7 ,412.4 
75,RPS8,"ribosomal protein S8",6202,3,82.7,54.8 ,121.7 ,,158.5 
76,EEF2,"eukaryotic translation elongation factor 2",1938,3,84.1,755.6 ,389.1 ,10409.2 ,2993.1 
77,IP6K2,"inositol hexakisphosphate kinase 2",51447,3,84.4,377.1 ,883.7 ,,285.7 
78,RABGGTB,"Rab geranylgeranyltransferase, beta subunit",5876,3,85.0,28.5 ,877.9 ,152.7 ,30.0 
79,RPL32,"ribosomal protein L32",6161,3,85.6,274.8 ,321.6 ,3684.8 ,
80,ACTG1,"actin, gamma 1",71,3,86.8,617.5 ,100.7 ,4444.5 ,1459.8 
81,RPS17,"ribosomal protein S17",6218,3,86.8,,292.3 ,,
82,SUMO2,"small ubiquitin-like modifier 2",6613,3,87.9,146.7 ,69.2 ,,519.1 
83,RPS28,"ribosomal protein S28",6234,3,88.5,2201.5 ,1343.0 ,2522.8 ,1204.1 
84,SMARCE1,"SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily e, member 1",6605,3,89.0,59.0 ,88.5 ,679.4 ,621.5 
85,RPS15A,"ribosomal protein S15a",6210,3,89.7,129.4 ,164.7 ,3072.4 ,570.7 
86,NCL,"nucleolin",4691,3,89.9,2.5 ,9.5 ,14137.6 ,42.0 
87,NSA2,"NSA2 ribosome biogenesis homolog (S. cerevisiae)",10412,3,90.8,98.0 ,301.8 ,,384.2 
88,RPL13A,"ribosomal protein L13a",23521,3,91.2,155.2 ,176.2 ,,175.1 
89,RPS3,"ribosomal protein S3",6188,3,91.2,65.8 ,91.5 ,1577.3 ,213.3 
90,EIF3F,"eukaryotic translation initiation factor 3, subunit F",8665,3,91.6,1131.8 ,714.4 ,5990.1 ,1559.7 
91,RPL30,"ribosomal protein L30",6156,3,92.1,281.7 ,182.2 ,479.8 ,849.8 
92,RPS2,"ribosomal protein S2",6187,3,92.6,182.8 ,244.6 ,5219.9 ,1170.5 
93,TPT1,"tumor protein, translationally-controlled 1",7178,3,92.9,563.4 ,179.4 ,,582.2 
94,CEP95,"centrosomal protein 95kDa",90799,3,93.3,494.5 ,1538.5 ,3645.6 ,34.3 
95,RBM39,"RNA binding motif protein 39",9584,3,96.9,46.6 ,966.2 ,,
96,SNORD104,"small nucleolar RNA, C/D box 104",692227,3,97.5,1869.9 ,14185.6 ,,
97,RPL39,"ribosomal protein L39",6170,3,98.1,,278.6 ,,185.3 
98,PNN,"pinin, desmosome associated protein",5411,3,100.2,45.9 ,55.8 ,4016.4 ,4.5 
99,RPS29,"ribosomal protein S29",6235,3,101.7,450.4 ,1066.3 ,,1117.8 
100,EIF4A2,"eukaryotic translation initiation factor 4A2",1974,2,102.8,68.9 ,420.2 ,803.8 ,56.4 
101,TCERG1,"transcription elongation regulator 1",10915,3,103.5,242.7 ,494.2 ,1073.5 ,66.1 
102,ZCCHC8,"zinc finger, CCHC domain containing 8",55596,3,103.7,1932.2 ,5038.6 ,877.0 ,
103,MSL2,"male-specific lethal 2 homolog (Drosophila)",55167,3,105.1,3909.8 ,3360.0 ,,1048.3 
104,HMGN1,"high mobility group nucleosome binding domain 1",3150,3,106.2,69.3 ,38.5 ,1465.4 ,29.5 
105,RPS27,"ribosomal protein S27",6232,3,107.2,362.2 ,316.9 ,,1064.2 
106,1195,"&nbsp;",1195,0,107.6,110.8 ,5180.7 ,502.9 ,10.7 
107,CIRBP,"cold inducible RNA binding protein",1153,3,108.0,266.5 ,4318.0 ,6217.1 ,474.3 
108,RPS21,"ribosomal protein S21",6227,3,108.6,322.2 ,482.9 ,1158.8 ,523.8 
109,HNRNPA3,"heterogeneous nuclear ribonucleoprotein A3",220988,3,108.7,,4.5 ,,
110,RPS24,"ribosomal protein S24",6229,3,110.0,182.7 ,131.9 ,,64.1 
111,NONO,"non-POU domain containing, octamer-binding",4841,3,110.3,71.7 ,85.7 ,4044.7 ,252.7 
112,PABPC3,"poly(A) binding protein, cytoplasmic 3",5042,3,110.8,164.8 ,500.7 ,1708.5 52.3 ,
113,EIF3M,"eukaryotic translation initiation factor 3, subunit M",10480,3,113.1,86.5 ,223.8 ,126.4 ,433.8 
114,EIF3A,"eukaryotic translation initiation factor 3, subunit A",8661,3,115.0,141.1 ,234.1 ,1370.4 ,650.2 
115,FUBP1,"far upstream element (FUSE) binding protein 1",8880,3,116.6,67.5 ,59.7 ,1751.5 ,40.8 
116,HUWE1,"HECT, UBA and WWE domain containing 1, E3 ubiquitin protein ligase",10075,3,118.4,4645.4 ,2754.3 ,5995.4 ,
117,PRPF39,"pre-mRNA processing factor 39",55015,3,118.6,317.5 ,2095.2 ,2125.7 ,15.0 
118,HNRNPH3,"heterogeneous nuclear ribonucleoprotein H3 (2H9)",3189,3,119.2,33.5 ,9.2 ,134.6 ,325.5 
119,TAF1D,"TATA box binding protein (TBP)-associated factor, RNA polymerase I, D, 41kDa",79101,3,119.5,49.8 ,3012.9 ,1687.4 ,4.5 
120,RPL34,"ribosomal protein L34",6164,3,120.0,199.0 ,239.7 ,,
121,TOP2B,"topoisomerase (DNA) II beta 180kDa",7155,3,120.0,200.8 ,442.7 ,117.8 ,566.6 
122,SRSF6,"serine/arginine-rich splicing factor 6",6431,3,120.5,178.7 ,239.4 ,,95.0 
123,RPL10,"ribosomal protein L10",6134,3,122.5,606.7 ,408.0 ,,1036.9 
124,SLC25A3,"solute carrier family 25 (mitochondrial carrier; phosphate carrier), member 3",5250,3,123.4,299.3 ,602.5 ,1848.1 ,2016.3 
125,DHX15,"DEAH (Asp-Glu-Ala-His) box helicase 15",1665,3,124.0,65.7 ,71.6 ,1805.2 ,1156.2 
126,RPL24,"ribosomal protein L24",6152,3,124.4,62.6 ,236.1 ,14367.9 ,519.9 
127,CCT8,"chaperonin containing TCP1, subunit 8 (theta)",10694,3,124.9,76.8 ,108.2 ,440.1 ,79.6 
128,RPS10,"ribosomal protein S10",6204,3,125.8,478.7 ,454.0 ,1824.8 ,659.9 
129,UIMC1,"ubiquitin interaction motif containing 1",51720,2,126.1,,2750.8 ,6694.2 ,527.9 
130,RPS14,"ribosomal protein S14",6208,3,126.1,1451.2 ,295.6 ,,1156.1 
131,BCLAF1,"BCL2-associated transcription factor 1",9774,3,126.8,366.3 ,443.4 ,,225.9 
132,SNHG8,"small nucleolar RNA host gene 8 (non-protein coding)",100093630,3,128.1,,1155.9 ,,
133,RPL7AP36,"ribosomal protein L7a pseudogene 36",728179,0,129.2,,,,
134,C6orf48,"chromosome 6 open reading frame 48",50854,3,131.5,,800.0 ,,
135,FNBP4,"formin binding protein 4",23360,3,132.1,490.4 ,2456.8 ,,23.4 
136,RPL13,"ribosomal protein L13",6137,3,132.4,3584.5 ,1582.0 ,4074.6 ,372.7 
137,CCNG1,"cyclin G1",900,3,132.6,1626.1 ,511.4 ,2237.3 ,2271.1 
138,EIF2A,"eukaryotic translation initiation factor 2A, 65kDa",83939,3,133.9,228.7 ,1895.1 ,,737.4 
139,EIF4G2,"eukaryotic translation initiation factor 4 gamma, 2",1982,3,136.9,761.6 ,420.9 ,401.1 ,5384.4 
140,SNHG6,"small nucleolar RNA host gene 6 (non-protein coding)",641638,3,137.7,,573.4 ,,
141,RPL19,"ribosomal protein L19",6143,3,142.5,3611.5 ,249.2 ,600.8 ,359.0 
142,GAS5,"growth arrest-specific 5 (non-protein coding)",60674,3,143.2,,206.6 ,,
143,PABPC1,"poly(A) binding protein, cytoplasmic 1",26986,3,143.3,84.4 ,8.8 ,,3954.7 
144,ATF4,"activating transcription factor 4",468,3,145.2,1679.3 ,732.2 ,8646.5 ,560.9 
145,RBBP7,"retinoblastoma binding protein 7",5931,3,147.0,799.8 ,422.8 ,740.5 ,82.0 
146,OLA1,"Obg-like ATPase 1",29789,3,147.1,1591.0 ,510.2 ,1645.0 ,449.9 
147,HMGN2,"high mobility group nucleosomal binding domain 2",3151,3,148.4,118.8 ,14.8 ,,
148,THOC1,"THO complex 1",9984,3,148.5,531.3 ,472.4 ,,
149,RPL26P37,"ribosomal protein L26 pseudogene 37",441533,0,149.1,,,,
150,C14orf166,"chromosome 14 open reading frame 166",51637,3,149.5,408.6 ,708.6 ,595.9 ,767.3 
151,MORF4L1,"mortality factor 4 like 1",10933,3,151.7,264.3 ,293.1 ,,533.5 
152,SLC25A38,"solute carrier family 25, member 38",54977,3,153.7,5645.0 ,1633.2 ,,9664.6 
153,GNB2L1,"guanine nucleotide binding protein (G protein), beta polypeptide 2-like 1",10399,3,155.5,277.0 ,175.1 ,3414.6 ,208.8 
154,RPS19,"ribosomal protein S19",6223,3,156.5,1232.7 ,542.0 ,,118.2 
155,HNRNPH1,"heterogeneous nuclear ribonucleoprotein H1 (H)",3187,3,157.2,8.1 ,37.4 ,49.4 ,
156,RSL24D1,"ribosomal L24 domain containing 1",51187,3,158.2,49.4 ,419.6 ,,4131.2 
157,SAFB,"scaffold attachment factor B",6294,3,159.5,210.6 ,193.0 ,4792.3 ,946.0 
158,RPS11,"ribosomal protein S11",6205,3,160.8,253.9 ,293.9 ,4446.1 ,778.0 
159,CCNB1IP1,"cyclin B1 interacting protein 1, E3 ubiquitin protein ligase",57820,3,161.1,348.2 ,290.2 ,2087.9 ,
160,PMPCB,"peptidase (mitochondrial processing) beta",9512,3,163.2,524.2 ,367.2 ,,1279.6 
161,ANP32A,"acidic (leucine-rich) nuclear phosphoprotein 32 family, member A",8125,3,164.6,35.5 ,101.0 ,,
162,RPL35A,"ribosomal protein L35a",6165,3,165.7,270.5 ,297.1 ,3818.0 ,402.9 
163,HNRNPC,"heterogeneous nuclear ribonucleoprotein C (C1/C2)",3183,3,165.9,16.1 ,6.0 ,1360.7 ,1575.4 
164,ZFAS1,"ZNFX1 antisense RNA 1",441951,3,166.1,77.5 ,506.0 ,,
165,DDX47,"DEAD (Asp-Glu-Ala-Asp) box polypeptide 47",51202,3,167.5,924.6 ,574.1 ,219.8 ,1401.7 
166,PTGES3,"prostaglandin E synthase 3 (cytosolic)",10728,3,168.7,114.1 ,72.4 ,10865.5 ,1742.3 
167,STARD7,"StAR-related lipid transfer (START) domain containing 7",56910,3,175.2,682.7 ,1665.0 ,2078.8 ,2732.5 
168,SRSF5,"serine/arginine-rich splicing factor 5",6430,3,176.2,50.2 ,452.7 ,,
169,SNORA72,"small nucleolar RNA, H/ACA box 72",26775,2,176.8,,9376.0 ,,
170,FBL,"fibrillarin",2091,3,178.5,126.9 ,121.4 ,1634.0 ,266.1 
171,RPL11,"ribosomal protein L11",6135,3,178.5,109.3 ,95.3 ,,194.8 
172,DDX5,"DEAD (Asp-Glu-Ala-Asp) box helicase 5",1655,3,179.2,86.6 ,143.1 ,,46.0 
173,RBM25,"RNA binding motif protein 25",58517,3,180.4,163.2 ,758.2 ,3261.2 ,
174,EIF3H,"eukaryotic translation initiation factor 3, subunit H",8667,3,182.0,76.0 ,226.2 ,437.1 ,1193.0 
175,PAPD7,"PAP associated domain containing 7",11044,3,183.7,4966.3 ,6638.4 ,2450.1 ,3998.5 
176,CCNL1,"cyclin L1",57018,3,184.6,177.2 ,4086.0 ,,14.0 
177,LOC285074,"anaphase promoting complex subunit 1 pseudogene",285074,1,186.6,,8074.4 ,,
178,THUMPD2,"THUMP domain containing 2",80745,3,187.3,1025.4 ,805.2 ,6987.4 ,342.8 
179,DDX46,"DEAD (Asp-Glu-Ala-Asp) box polypeptide 46",9879,3,187.8,161.5 ,121.6 ,549.1 ,521.4 
180,RPL38,"ribosomal protein L38",6169,3,190.3,404.9 ,580.0 ,2893.8 ,
181,RPS15,"ribosomal protein S15",6209,3,193.5,1835.0 ,1209.6 ,829.9 ,1249.5 
182,SNHG17,"small nucleolar RNA host gene 17 (non-protein coding)",388796,3,195.3,1342.6 ,1521.5 ,,
183,SNRPE,"small nuclear ribonucleoprotein polypeptide E",6635,3,195.4,51.2 ,250.1 ,1774.9 ,243.4 
184,HNRNPA2B1,"heterogeneous nuclear ribonucleoprotein A2/B1",3181,3,196.3,26.5 ,4.2 ,,
185,HNRNPU,"heterogeneous nuclear ribonucleoprotein U (scaffold attachment factor A)",3192,3,197.6,16.2 ,25.8 ,879.9 ,54.5 
186,TTC19,"tetratricopeptide repeat domain 19",54902,3,199.0,1459.3 ,2577.4 ,,5524.3 
187,QARS,"glutaminyl-tRNA synthetase",5859,3,200.8,2527.1 ,950.3 ,,
188,TARDBP,"TAR DNA binding protein",23435,3,202.4,70.8 ,13.4 ,581.0 ,
189,CPSF6,"cleavage and polyadenylation specific factor 6, 68kDa",11052,3,203.8,165.3 ,68.1 ,,283.7 
190,SPIN1,"spindlin 1",10927,3,206.1,4816.2 ,2510.3 ,,
191,SRSF2,"serine/arginine-rich splicing factor 2",6427,3,213.9,84.6 ,432.9 ,,385.5 
192,EIF1,"eukaryotic translation initiation factor 1",10209,3,217.2,833.7 ,681.8 ,4205.8 ,
193,SF3B1,"splicing factor 3b, subunit 1, 155kDa",23451,3,219.4,679.3 ,304.7 ,,36.2 
194,ADNP2,"ADNP homeobox 2",22850,3,219.5,2341.8 ,746.9 ,,3378.0 
195,KARS,"lysyl-tRNA synthetase",3735,3,223.4,544.1 ,402.4 ,1413.0 ,166.7 
196,HTATSF1,"HIV-1 Tat specific factor 1",27336,3,229.8,317.4 ,1116.4 ,217.5 ,136.7 
197,MRPS27,"mitochondrial ribosomal protein S27",23107,3,232.2,563.9 ,598.4 ,2097.4 ,1869.0 
198,YTHDC1,"YTH domain containing 1",91746,3,232.5,241.0 ,402.7 ,692.1 ,91.8 
199,POLG2,"polymerase (DNA directed), gamma 2, accessory subunit",11232,3,234.3,270.9 ,670.7 ,,1931.7 
200,RPL36A,"ribosomal protein L36a",6173,3,237.4,87.0 ,205.7 ,,
201,HINT1,"histidine triad nucleotide binding protein 1",3094,3,238.6,1687.1 ,654.8 ,4972.5 ,3677.3 
202,LDHB,"lactate dehydrogenase B",3945,3,238.8,146.8 ,350.4 ,,4164.2 
203,OGT,"O-linked N-acetylglucosamine (GlcNAc) transferase",8473,3,240.6,1026.4 ,2475.1 ,,113.1 
204,MDM4,"MDM4, p53 regulator",4194,3,241.5,473.9 ,12497.6 ,772.0 ,735.7 
205,SEC31A,"SEC31 homolog A (S. cerevisiae)",22872,3,242.9,4083.0 ,8580.0 ,3872.6 ,6229.3 
206,KRR1,"KRR1, small subunit (SSU) processome component, homolog (yeast)",11103,2,243.9,433.6 ,1947.0 ,,823.6 
207,SRSF7,"serine/arginine-rich splicing factor 7",6432,3,249.6,41.8 ,12.2 ,,1001.2 
208,SLC25A6,"solute carrier family 25 (mitochondrial carrier; adenine nucleotide translocator), member 6",293,3,251.9,,1279.6 ,3390.6 ,
209,RPUSD4,"RNA pseudouridylate synthase domain containing 4",84881,3,252.7,673.1 ,1642.3 ,3279.9 ,1203.5 
210,UBA2,"ubiquitin-like modifier activating enzyme 2",10054,3,254.3,1233.5 ,241.9 ,28.0 ,450.2 
211,PCNP,"PEST proteolytic signal containing nuclear protein",57092,3,255.2,302.1 ,650.4 ,7948.7 ,722.1 
212,SNHG15,"small nucleolar RNA host gene 15 (non-protein coding)",285958,3,256.4,,2532.8 ,,
213,NOP58,"NOP58 ribonucleoprotein",51602,3,260.6,59.6 ,151.7 ,,290.7 
214,PTMAP7,"prothymosin, alpha pseudogene 7",326626,0,262.2,,,,
215,HSP90AA1,"heat shock protein 90kDa alpha (cytosolic), class A member 1",3320,3,262.5,386.3 ,104.2 ,14647.4 ,3243.4 
216,YTHDF2,"YTH N(6)-methyladenosine RNA binding protein 2",51441,3,264.4,2125.3 ,192.6 ,,2370.2 
217,RPAIN,"RPA interacting protein",84268,2,265.0,1508.2 ,744.6 ,12080.8 ,2520.6 
218,CNOT2,"CCR4-NOT transcription complex, subunit 2",4848,3,265.9,1423.6 ,861.2 ,1215.9 ,332.9 
219,LUC7L,"LUC7-like (S. cerevisiae)",55692,3,266.3,161.0 ,1764.7 ,,154.6 
220,WDR82,"WD repeat domain 82",80335,3,268.2,1290.7 ,662.6 ,880.6 ,
221,SERBP1,"SERPINE1 mRNA binding protein 1",26135,3,270.8,60.5 ,27.3 ,,
222,SYNCRIP,"synaptotagmin binding, cytoplasmic RNA interacting protein",10492,3,271.5,212.6 ,100.0 ,332.8 ,506.7 
223,POLR2B,"polymerase (RNA) II (DNA directed) polypeptide B, 140kDa",5431,3,272.1,297.6 ,772.5 ,,1083.6 
224,PSMG2,"proteasome (prosome, macropain) assembly chaperone 2",56984,3,275.0,2723.2 ,2277.5 ,1429.2 ,1150.3 
225,RPL18P11,"ribosomal protein L18 pseudogene 11",390612,0,275.0,,,,
226,RBM3,"RNA binding motif (RNP1, RRM) protein 3",5935,3,275.1,35.9 ,235.2 ,466.9 ,77.1 
227,DHX9,"DEAH (Asp-Glu-Ala-His) box helicase 9",1660,3,275.2,98.6 ,52.8 ,128.5 ,419.3 
228,RPL23,"ribosomal protein L23",9349,3,276.0,56.9 ,134.7 ,350.7 ,213.4 
229,RPLP2,"ribosomal protein, large, P2",6181,3,277.9,455.9 ,723.7 ,3450.8 ,
230,COX7C,"cytochrome c oxidase subunit VIIc",1350,3,278.4,956.8 ,741.0 ,,
231,METAP2,"methionyl aminopeptidase 2",10988,3,279.6,22.6 ,179.8 ,,968.3 
232,SEPT7,"septin 7",989,3,279.8,819.3 ,1461.0 ,1557.8 ,629.1 
233,KIAA1143,"KIAA1143",57456,2,280.7,,2599.1 ,1314.7 ,3098.6 
234,SRP72,"signal recognition particle 72kDa",6731,3,281.7,602.5 ,252.9 ,,2054.3 
235,PAN3,"PAN3 poly(A) specific ribonuclease subunit",255967,3,281.9,2067.9 ,8111.5 ,1043.9 ,324.3 
236,BRD1,"bromodomain containing 1",23774,3,283.2,6243.6 ,11344.1 ,2047.4 ,1745.3 
237,UHRF2,"ubiquitin-like with PHD and ring finger domains 2, E3 ubiquitin protein ligase",115426,3,285.4,1031.9 ,4001.9 ,,1050.8 
238,LSM14A,"LSM14A, SCD6 homolog A (S. cerevisiae)",26065,3,286.4,111.9 ,27.4 ,122.0 ,1041.4 
239,PUM1,"pumilio RNA-binding family member 1",9698,3,286.7,1543.5 ,796.6 ,680.4 ,377.3 
240,DUT,"deoxyuridine triphosphatase",1854,3,288.9,521.9 ,660.6 ,,48.9 
241,BUB3,"BUB3 mitotic checkpoint protein",9184,3,290.0,178.1 ,181.4 ,10638.3 ,539.3 
242,QRICH1,"glutamine-rich 1",54870,3,290.4,7054.2 ,1063.1 ,,9945.0 
243,GLTSCR2,"glioma tumor suppressor candidate region gene 2",29997,1,292.9,651.3 ,2150.6 ,7061.3 ,943.5 
244,SRP14,"signal recognition particle 14kDa (homologous Alu RNA binding protein)",6727,3,294.9,1122.4 ,737.7 ,,1956.8 
245,IPO7,"importin 7",10527,3,295.2,373.7 ,734.7 ,,950.0 
246,CNOT7,"CCR4-NOT transcription complex, subunit 7",29883,2,297.5,443.3 ,704.2 ,556.0 ,725.9 
247,DAZAP1,"DAZ associated protein 1",26528,3,298.0,2277.9 ,1398.2 ,1422.5 ,
248,PAN2,"PAN2 poly(A) specific ribonuclease subunit",9924,3,298.2,3230.2 ,8929.4 ,4398.6 ,7620.5 
249,AFG3L2,"AFG3-like AAA ATPase 2",10939,3,298.4,751.1 ,1734.2 ,8909.0 ,2572.3 
250,ZBTB5,"zinc finger and BTB domain containing 5",9925,3,299.6,2557.0 ,1901.4 ,8771.1 ,3124.5 
