,Gene,Function,Entrez Gene ID,Supportability,Hsa MR for TBK1,Hsa2 MR for TBK1,Hsa3 MR for TBK1,Mcc MR for TBK1,Mmu MR for Tbk1,Mmu2 MR for Tbk1,Rno MR for Tbk1,Cfa MR for TBK1,Gga MR for TBK1,Dre MR for tbk1,Dme MR for ik2,Dme2 MR for ik2
35,CAND1,"cullin-associated and neddylation-dissociated 1",55832,3,110.1,115.5 ,656.5 ,,898.9 ,7697.0 ,728.5 ,258.0 ,1664.2 ,8518.0 ,4032.9 ,3441.3 
36,LOC440330,"uncharacterized LOC440330",440330,0,114.7,,,,,,,,,,,
37,FOXN4,"forkhead box N4",121643,1,115.2,19715.5 ,,14349.1 ,19294.9 ,,,15925.3 ,,1349.8 ,,
38,WDFY1,"WD repeat and FYVE domain containing 1",57590,3,116.6,353.4 ,847.5 ,,2045.5 ,10233.7 ,,14893.9 ,1024.0 ,832.5 ,,
39,SLK,"STE20-like kinase",9748,3,117.8,139.8 ,54.5 ,593.0 ,458.5 ,189.8 ,108.7 ,1681.0 ,292.5 ,4452.7 ,,
40,KIAA1033,"KIAA1033",23325,3,120.0,12.0 ,527.0 ,16.9 ,15.4 ,1046.2 ,27.4 ,780.9 ,9.9 ,,3148.1 ,787.1 
41,COPB1,"coatomer protein complex, subunit beta 1",1315,3,121.3,107.1 ,65.2 ,,38.1 ,29.6 ,956.5 ,1143.3 ,2136.0 ,6580.1 ,9913.4 ,4823.1 
42,SOGA3,"SOGA family member 3",387104,1,122.3,11320.8 ,14348.2 ,,14920.8 ,8532.0 ,,14490.1 ,11821.0 ,,,
43,SPOPL,"speckle-type POZ protein-like",339745,3,125.5,16.3 ,163.7 ,33.2 ,831.5 ,1789.7 ,,2944.4 ,325.2 ,,,
44,CNEP1R1,"CTD nuclear envelope phosphatase 1 regulatory subunit 1",255919,3,129.9,534.5 ,6372.1 ,620.4 ,248.1 ,223.4 ,817.6 ,,3590.6 ,,2503.9 ,2526.4 
45,NOTCH3,"notch 3",4854,1,137.2,17558.4 ,17771.8 ,13448.9 ,17224.5 ,16645.9 ,13497.2 ,14460.6 ,,,,
46,LCNL1,"lipocalin-like 1",401562,0,140.8,19541.2 ,,,,,,15631.4 ,,,,
47,PAPD4,"PAP associated domain containing 4",167153,3,142.1,273.7 ,6.7 ,83.8 ,72.1 ,283.6 ,828.0 ,8.8 ,4843.5 ,,,
48,ASB10,"ankyrin repeat and SOCS box containing 10",136371,0,142.7,19004.7 ,,,19548.7 ,17196.0 ,,,,,,
49,SPEM1,"spermatid maturation 1",374768,2,145.3,19231.3 ,,14871.1 ,20016.5 ,17299.2 ,,15727.0 ,,,,
50,HTR4,"5-hydroxytryptamine (serotonin) receptor 4, G protein-coupled",3360,1,145.9,18259.7 ,,13428.9 ,15730.6 ,,13528.8 ,12860.4 ,11324.5 ,,7448.8 ,9516.4 
51,CUL2,"cullin 2",8453,3,146.0,70.9 ,571.3 ,752.9 ,2479.3 ,1461.3 ,2822.6 ,1674.1 ,1003.3 ,,747.3 ,3731.9 
52,CDK17,"cyclin-dependent kinase 17",5128,3,148.2,235.6 ,660.8 ,659.7 ,868.3 ,4610.2 ,276.9 ,,2427.7 ,,,
53,TMEM132A,"transmembrane protein 132A",54972,1,149.4,17380.6 ,14868.8 ,10624.1 ,17951.7 ,12762.2 ,6725.0 ,12768.3 ,,,,
54,MTF1,"metal-regulatory transcription factor 1",4520,3,150.2,559.9 ,9659.9 ,2105.9 ,4241.6 ,13221.5 ,3151.6 ,1705.3 ,231.6 ,1229.4 ,,
55,USP8,"ubiquitin specific peptidase 8",9101,3,150.8,25.9 ,93.1 ,,4040.5 ,5014.3 ,4111.0 ,202.9 ,2203.0 ,42.4 ,3050.5 ,4521.6 
56,AFG3L1P,"AFG3-like AAA ATPase 1, pseudogene",172,3,151.6,15605.2 ,11426.4 ,,,,,,,,,
57,MAPT-AS1,"MAPT antisense RNA 1",100128977,0,151.9,,,,,,,,,,,
58,TES,"testis derived transcript (3 LIM domains)",26136,0,153.1,831.6 ,3664.6 ,6719.0 ,1527.1 ,10007.7 ,2862.9 ,4572.0 ,4639.4 ,6916.6 ,742.1 ,612.3 
59,CHUK,"conserved helix-loop-helix ubiquitous kinase",1147,3,156.7,10.9 ,2.2 ,,29.5 ,1015.6 ,69.6 ,108.3 ,4303.6 ,9230.6 ,,
60,FGF6,"fibroblast growth factor 6",2251,1,158.7,18997.5 ,,14961.0 ,19393.8 ,,13565.6 ,15540.2 ,10237.8 ,,,
61,BOD1L1,"biorientation of chromosomes in cell division 1-like 1",259282,3,159.8,485.0 ,1123.2 ,641.0 ,553.6 ,452.1 ,4839.7 ,939.7 ,478.8 ,,,
62,SLC12A4,"solute carrier family 12 (potassium/chloride transporter), member 4",6560,1,165.1,14693.3 ,18736.4 ,15461.3 ,8165.2 ,12042.8 ,9115.8 ,7582.5 ,340.0 ,1489.4 ,4577.6 ,10606.4 
63,SRP54,"signal recognition particle 54kDa",6729,3,166.8,21.9 ,67.2 ,217.7 ,6009.4 ,1719.0 1760.8 ,569.2 ,304.6 ,1837.6 ,8996.3 ,1731.1 ,2470.3 
64,FAM126B,"family with sequence similarity 126, member B",285172,3,167.3,393.2 ,5444.3 ,1258.2 ,794.8 ,2165.5 ,632.2 ,941.8 ,9485.3 ,2218.1 ,,
65,LOC440028,"uncharacterized LOC440028",440028,0,168.5,,17165.5 ,,,,,,,,,
66,PLK5,"polo-like kinase 5",126520,1,168.6,19700.9 ,,,19076.2 ,12014.4 ,11340.8 ,,,,,
67,PIK3CD-AS1,"PIK3CD antisense RNA 1",644997,0,176.1,18748.0 ,10026.3 ,,,,,,,,,
68,TSSK2,"testis-specific serine kinase 2",23617,1,178.3,17893.0 ,,14649.1 ,20112.0 ,17902.7 ,13071.5 ,,,,,
69,NPBWR1,"neuropeptides B/W receptor 1",2831,1,179.6,19132.6 ,,15008.0 ,,,,16200.5 ,12095.1 ,,,
70,GJD3,"gap junction protein, delta 3, 31.9kDa",125111,1,180.2,19467.0 ,12240.8 ,9708.4 ,,,,,,,,
71,AFTPH,"aftiphilin",54812,3,180.9,121.7 ,532.2 ,,132.6 ,121.8 ,157.0 ,101.5 ,485.5 ,2868.0 ,,
72,UHRF1BP1L,"UHRF1 binding protein 1-like",23074,3,181.4,36.1 ,177.1 ,801.0 ,239.7 ,578.7 ,1975.8 ,1183.1 ,3246.6 ,,5768.6 ,6000.7 
73,PSMD12,"proteasome (prosome, macropain) 26S subunit, non-ATPase, 12",5718,3,181.7,243.0 ,40.0 ,,2377.2 ,3625.4 ,437.3 ,1618.7 ,2132.4 ,6571.8 ,2040.5 ,423.5 
74,ARFGEF2,"ADP-ribosylation factor guanine nucleotide-exchange factor 2 (brefeldin A-inhibited)",10564,3,181.8,1016.6 ,712.2 ,161.0 ,1485.4 ,1098.0 ,2970.0 ,8628.3 ,469.5 ,,,
75,FAM91A1,"family with sequence similarity 91, member A1",157769,3,182.5,66.3 ,75.6 ,161.8 ,182.8 ,3456.6 ,130.0 ,989.9 ,544.2 ,,6951.7 ,5147.2 
76,NANOS3,"nanos homolog 3 (Drosophila)",342977,1,182.9,19356.1 ,,14960.1 ,,,13263.8 ,15582.8 ,,6994.3 ,,
77,PTCH2,"patched 2",8643,1,183.5,12450.9 ,18194.7 ,,17103.3 ,17614.0 ,,12736.9 ,,,,
78,PHTF1,"putative homeodomain transcription factor 1",10745,3,183.8,28.8 ,578.2 ,267.2 ,3345.9 ,7629.4 ,3519.2 ,,2073.8 ,,,
79,POLR2B,"polymerase (RNA) II (DNA directed) polypeptide B, 140kDa",5431,3,185.2,305.7 ,406.9 ,,845.6 ,3880.3 ,1536.7 ,619.2 ,3553.4 ,,2760.9 ,359.9 
80,ABO,"ABO blood group (transferase A, alpha 1-3-N-acetylgalactosaminyltransferase; transferase B, alpha 1-3-galactosyltransferase)",28,0,191.8,18299.5 ,17373.5 ,7880.5 ,18393.5 ,,9243.4 ,13974.0 ,,,,
81,PPP4R2,"protein phosphatase 4, regulatory subunit 2",151987,3,192.1,44.7 ,66.9 ,,237.8 ,1075.8 ,149.2 ,199.8 ,2330.1 ,9600.6 ,2419.1 ,962.0 
82,KLHL17,"kelch-like family member 17",339451,0,192.3,19741.5 ,18021.4 ,,7265.6 ,5749.9 ,,13529.7 ,11044.6 ,3325.3 ,3326.3 ,7369.1 
83,LKAAEAR1,"LKAAEAR motif containing 1",198437,1,194.0,19657.3 ,,,19167.7 ,17893.9 ,,,,,,
84,PTPN12,"protein tyrosine phosphatase, non-receptor type 12",5782,3,196.2,59.4 ,530.6 ,,325.8 ,53.0 ,91.0 ,1139.8 ,1800.3 ,503.9 ,,
85,ARL8B,"ADP-ribosylation factor-like 8B",55207,3,198.2,364.2 ,224.4 ,304.1 ,389.3 ,3225.4 ,501.3 ,13314.9 ,1010.0 ,4703.4 ,,
86,NPAS3,"neuronal PAS domain protein 3",64067,1,198.7,17120.8 ,15277.8 ,,13468.0 ,11487.8 ,,,12599.0 ,,,
87,TXNRD1,"thioredoxin reductase 1",7296,3,198.8,423.3 ,453.1 ,,1518.7 ,3814.7 ,1639.5 ,3009.4 ,5958.0 ,,,
88,KLHL2,"kelch-like family member 2",11275,3,199.5,166.2 ,402.2 ,776.1 ,918.8 ,1657.3 ,,3036.3 ,11606.9 ,,,
89,PTH2,"parathyroid hormone 2",113091,1,202.4,19738.5 ,,15712.0 ,20221.0 ,,,,,,,
90,ZBTB11,"zinc finger and BTB domain containing 11",27107,3,203.1,356.0 ,347.8 ,574.4 ,230.4 ,3442.3 ,47.9 ,44.7 ,1550.2 ,,,
91,RRAGC,"Ras-related GTP binding C",64121,3,203.3,213.6 ,1286.6 ,268.7 ,57.8 ,1257.7 ,934.3 ,,3803.9 ,6893.2 ,8583.9 ,928.5 
92,EML3,"echinoderm microtubule associated protein like 3",256364,3,203.5,15645.8 ,14694.7 ,11295.6 ,5701.1 ,12227.7 ,,4486.5 ,,,,
93,RPS9,"ribosomal protein S9",6203,3,211.2,13965.3 ,15939.7 ,12100.0 ,2484.6 ,15817.3 ,8569.1 ,5789.3 ,,6668.2 ,11220.1 ,2900.2 
94,TRIM11,"tripartite motif containing 11",81559,2,212.7,18196.7 ,11868.1 ,8870.5 ,2754.8 ,4736.1 ,,,,,,
95,ACTL7A,"actin-like 7A",10881,2,214.0,17917.2 ,,,20163.4 ,16984.9 ,,14637.4 ,,,,
96,PNPLA8,"patatin-like phospholipase domain containing 8",50640,3,215.5,21.8 ,509.4 ,1251.9 ,259.8 ,717.5 ,5244.9 ,792.7 ,770.5 ,,,
97,NBN,"nibrin",4683,3,215.5,6.0 ,4.5 ,,2098.4 ,11876.3 ,279.4 ,1589.1 ,2144.5 ,5107.7 ,,
98,CNOT2,"CCR4-NOT transcription complex, subunit 2",4848,3,215.5,140.3 ,229.3 ,2761.8 ,1754.8 ,427.2 ,110.5 ,72.2 ,1528.7 ,4373.4 ,1164.2 ,215.4 
99,JPH2,"junctophilin 2",57158,2,216.6,18769.3 ,16440.8 ,13293.4 ,19902.5 ,17913.5 ,,,,,,
100,CASP3,"caspase 3, apoptosis-related cysteine peptidase",836,3,218.2,195.9 ,174.1 ,2639.3 ,4180.7 ,6191.6 ,2645.3 ,1077.2 ,3897.3 ,,,
101,FBXO30,"F-box protein 30",84085,3,220.3,178.5 ,522.4 ,729.4 ,908.1 ,4432.4 ,209.9 ,674.2 ,826.5 ,4778.8 ,,
102,GNRH2,"gonadotropin-releasing hormone 2",2797,1,221.0,19035.9 ,,15721.0 ,,,,,,,,
103,ADM2,"adrenomedullin 2",79924,1,221.5,19719.5 ,19261.4 ,,18691.5 ,16531.1 ,,15981.9 ,,,,
104,HNRNPH2,"heterogeneous nuclear ribonucleoprotein H2 (H')",3188,3,221.6,349.7 ,422.3 ,432.9 ,156.8 ,392.2 ,742.2 ,1104.2 ,,,,
105,ACBD3,"acyl-CoA binding domain containing 3",64746,3,223.2,842.7 ,309.6 ,98.7 ,453.6 ,2173.2 ,350.7 ,4452.0 ,1892.4 ,4619.2 ,4892.3 ,8486.5 
106,GAS2L2,"growth arrest-specific 2 like 2",246176,1,224.3,19577.9 ,,15693.0 ,19722.3 ,,,14836.5 ,,,,
107,LSMEM2,"leucine-rich single-pass membrane protein 2",132228,0,225.5,,18171.8 ,15340.1 ,,,13670.9 ,14860.1 ,,,,
108,RAI1,"retinoic acid induced 1",10743,1,227.2,17428.8 ,14316.1 ,11573.3 ,7174.8 ,6318.9 ,4331.2 ,14492.0 ,12584.4 ,,,
109,C1orf127,"chromosome 1 open reading frame 127",148345,1,227.3,18824.2 ,,14517.9 ,,,,,,,,
110,WDR26,"WD repeat domain 26",80232,3,231.8,523.2 ,604.4 ,614.5 ,1195.5 ,1541.0 ,871.1 ,847.0 ,1711.7 ,2825.2 ,2449.7 ,2083.0 
111,RAB22A,"RAB22A, member RAS oncogene family",57403,3,232.0,435.4 ,2544.0 ,,2869.3 ,3409.3 ,3856.7 ,2964.0 ,1742.9 ,3277.7 ,,
112,PPM1B,"protein phosphatase, Mg2+/Mn2+ dependent, 1B",5495,3,234.4,397.4 ,3585.3 ,2265.6 ,826.5 ,3581.7 ,219.4 ,372.9 ,1781.3 ,639.8 ,1781.0 ,961.5 
113,MORC3,"MORC family CW-type zinc finger 3",23515,3,234.7,60.0 ,307.8 ,178.6 ,40.6 ,895.9 ,9.8 ,52.3 ,10174.3 ,1330.5 ,,
114,CDK7,"cyclin-dependent kinase 7",1022,2,237.2,,422.5 ,1279.7 ,1445.4 ,5536.5 ,485.2 ,72.5 ,6931.5 ,8243.1 ,2843.5 ,493.5 
115,IL27,"interleukin 27",246778,1,238.9,18635.0 ,,,,,,15685.2 ,,,,
116,ZNF598,"zinc finger protein 598",90850,1,242.8,19074.0 ,14127.8 ,13687.2 ,7253.7 ,7291.1 ,3147.2 ,12861.4 ,2907.5 ,6204.9 ,3729.0 ,4275.5 
117,NXNL1,"nucleoredoxin-like 1",115861,0,246.3,19667.0 ,18597.2 ,15741.5 ,20128.7 ,14037.9 ,13658.7 ,15672.4 ,11679.0 ,,,
118,DSCR9,"Down syndrome critical region 9 (non-protein coding)",257203,1,246.5,17536.8 ,13164.6 ,,,,,,,,,
119,GPBP1,"GC-rich promoter binding protein 1",65056,3,247.1,112.8 ,24.3 ,108.2 ,1083.0 ,1217.4 ,124.1 ,1.4 ,2010.5 ,,,
120,B4GALT5,"UDP-Gal:betaGlcNAc beta 1,4- galactosyltransferase, polypeptide 5",9334,3,250.3,1350.2 ,2466.7 ,303.1 ,2686.2 ,3315.0 ,,8424.6 ,2958.9 ,,,
121,KIF26B,"kinesin family member 26B",55083,1,251.8,17388.6 ,13189.1 ,,9236.6 ,12981.4 ,11366.6 ,11419.8 ,,,,
122,TRIP12,"thyroid hormone receptor interactor 12",9320,3,252.1,181.9 ,1031.9 ,,1683.7 ,764.7 ,883.0 ,821.4 ,621.0 ,3325.2 ,,
123,CYP26B1,"cytochrome P450, family 26, subfamily B, polypeptide 1",56603,1,252.3,15700.3 ,14372.3 ,13922.1 ,14592.6 ,14639.5 ,7840.5 ,15549.2 ,4416.2 ,2121.4 ,,
124,ZNF316,"zinc finger protein 316",100131017,2,255.3,,19158.8 ,,17367.0 ,18821.7 ,11501.8 ,,,,,
125,LOC339539,"uncharacterized LOC339539",339539,0,256.0,,,,,,,,,,,
126,NPTXR,"neuronal pentraxin receptor",23467,1,257.2,19328.0 ,18940.8 ,,,13834.3 ,8849.5 ,,,,,
127,GOLT1B,"golgi transport 1B",51026,3,258.1,301.9 ,218.1 ,578.9 ,2845.3 ,13917.4 ,2363.8 ,4062.2 ,3439.1 ,8794.5 ,611.8 ,10676.0 
128,DIP2C,"DIP2 disco-interacting protein 2 homolog C (Drosophila)",22982,0,259.9,16175.8 ,12727.9 ,8462.8 ,2672.9 ,1014.3 ,3649.2 ,14175.8 ,6806.4 ,2657.4 ,585.0 ,2593.1 
129,SCAF11,"SR-related CTD-associated factor 11",9169,2,261.3,59.2 ,254.7 ,1315.3 ,1377.7 ,3154.9 ,4.5 ,91.3 ,629.6 ,,,
130,XRN1,"5'-3' exoribonuclease 1",54464,3,262.4,155.0 ,441.5 ,,4027.3 ,2023.5 ,2878.6 ,590.5 ,87.0 ,7042.6 ,1097.2 ,2236.3 
131,USP47,"ubiquitin specific peptidase 47",55031,3,263.1,101.9 ,342.3 ,2410.2 ,2578.1 ,3805.4 ,1849.8 ,,464.1 ,,4831.2 ,6883.0 
132,CHDH,"choline dehydrogenase",55349,0,263.6,15557.2 ,16260.2 ,12063.1 ,11706.6 ,7294.2 ,8097.8 ,15534.0 ,6838.5 ,,,
133,BHLHE23,"basic helix-loop-helix family, member e23",128408,2,264.9,19753.5 ,,,19805.0 ,,,,12721.4 ,,,
134,TDRD7,"tudor domain containing 7",23424,3,265.6,314.4 ,449.4 ,161.3 ,1206.5 ,2173.1 ,603.7 ,1397.4 ,2999.5 ,5869.9 ,,
135,GHRHR,"growth hormone releasing hormone receptor",2692,1,266.9,18793.9 ,,,20275.5 ,,13528.0 ,15431.2 ,7673.8 ,,,
136,CMTM6,"CKLF-like MARVEL transmembrane domain containing 6",54918,3,267.5,428.3 ,237.6 ,,489.2 ,3993.0 ,567.9 ,683.3 ,1880.2 ,2650.6 ,,
137,C9orf173,"chromosome 9 open reading frame 173",441476,1,270.3,18797.0 ,,,20148.4 ,,,,,,,
138,LRRC43,"leucine rich repeat containing 43",254050,0,271.5,18209.7 ,,10809.5 ,,15715.8 ,,,10160.5 ,,,
139,LINC00527,"long intergenic non-protein coding RNA 527",54748,1,272.8,17900.6 ,,,,,,,,,,
140,NLGN3,"neuroligin 3",54413,1,273.5,18465.4 ,15673.1 ,,,4920.8 ,13064.5 ,14709.4 ,11409.6 ,,4743.6 ,7355.2 
141,NECAP1,"NECAP endocytosis associated 1",25977,3,274.1,1509.2 ,1045.7 ,,174.2 ,1734.6 ,2292.8 ,2554.1 ,1854.2 ,,5239.4 ,2608.9 
142,100133142,"&nbsp;",100133142,1,274.1,18799.8 ,,,,,,,,,,
143,MIER1,"mesoderm induction early response 1, transcriptional regulator",57708,3,274.2,46.1 ,438.0 ,,309.9 ,1721.5 ,237.7 ,,,9037.7 ,,
144,100134089,"&nbsp;",100134089,0,275.3,,,,,,,,,,,
145,NKX1-1,"NK1 homeobox 1",54729,0,276.3,,,,,,,,,,,
146,LBX1,"ladybird homeobox 1",10660,1,276.4,19550.0 ,,15547.2 ,19237.0 ,,,14680.3 ,,,,
147,C20orf166-AS1,"C20orf166 antisense RNA 1",253868,1,276.7,19375.9 ,18883.9 ,,,,,,,,,
148,ZC3H7A,"zinc finger CCCH-type containing 7A",29066,3,281.3,309.0 ,550.1 ,2640.0 ,8.5 ,376.4 ,113.3 ,29.5 ,1574.8 ,8462.3 ,,
149,TEF,"thyrotrophic embryonic factor",7008,2,282.5,18457.9 ,15340.8 ,7063.5 ,12078.5 ,8390.7 ,6947.6 ,14214.6 ,7510.2 ,3076.5 1469.5 ,,
150,P2RX2,"purinergic receptor P2X, ligand-gated ion channel, 2",22953,1,283.1,19543.7 ,,12474.1 ,20048.5 ,17391.4 ,12087.7 ,,,,,
151,CAMK2B,"calcium/calmodulin-dependent protein kinase II beta",816,0,284.9,18075.5 ,16803.6 ,,13352.7 ,12834.3 ,11059.3 ,,13026.8 ,,,
152,EXOC3L2,"exocyst complex component 3-like 2",90332,0,287.9,19426.6 ,19038.0 ,,15249.9 ,19125.2 ,7851.6 ,15979.2 ,,624.2 ,,
153,RAB18,"RAB18, member RAS oncogene family",22931,3,288.0,45.1 ,21.0 ,,1499.9 ,2164.7 ,1369.2 ,397.5 ,2637.3 ,2886.8 ,8291.8 ,8472.0 
154,GPR78,"G protein-coupled receptor 78",27201,1,290.5,18820.1 ,16640.0 ,15659.0 ,,,,,13185.8 ,,,
155,PIK3R4,"phosphoinositide-3-kinase, regulatory subunit 4",30849,3,291.0,1005.4 ,1272.0 ,1021.7 ,244.3 ,1729.2 ,1109.4 ,802.4 ,1299.1 ,3781.6 ,1112.0 ,3189.3 
156,PITPNM3,"PITPNM family member 3",83394,1,292.1,18198.6 ,18267.0 ,15507.4 ,15556.9 ,12112.6 ,,15289.5 ,9625.9 ,791.9 1923.5 ,,
157,C18orf8,"chromosome 18 open reading frame 8",29919,3,294.9,162.3 ,566.8 ,418.5 ,1585.3 ,4024.0 ,459.3 ,733.6 ,1028.0 ,,2529.9 ,1006.6 
158,FLJ32154,"uncharacterized protein FLJ32154",149650,0,295.0,19210.2 ,,,,,,,,,,
159,GGNBP2,"gametogenetin binding protein 2",79893,3,295.6,93.6 ,721.8 ,,664.8 ,516.2 ,476.1 ,22.6 ,2666.6 ,4123.0 ,2242.1 ,768.1 
160,STXBP3,"syntaxin binding protein 3",6814,3,295.8,3.0 ,43.1 ,1007.1 ,155.5 ,22.9 ,241.6 ,123.7 ,386.2 ,5766.3 ,,
161,MOB4,"MOB family member 4, phocein",25843,3,296.4,159.1 ,622.3 ,736.7 ,457.8 ,1252.7 ,432.2 ,546.3 ,,8252.0 ,,1602.4 
162,PPARGC1B,"peroxisome proliferator-activated receptor gamma, coactivator 1 beta",133522,1,296.5,18757.6 ,9565.3 ,8471.7 ,13795.8 ,5274.7 ,10749.2 ,14828.6 ,11095.1 ,1651.7 ,,
163,ZFC3H1,"zinc finger, C3H1-type containing",196441,3,297.4,186.7 ,1481.6 ,894.5 ,271.8 ,819.6 ,556.6 ,192.7 ,98.2 ,,,
