GeneMANIA Results
Plugin Version	3.4.1 (20160523-2245)
Data Version	2014-08-12
Report Generated	Tue Nov 15 13:38:49 GMT 2016

Gene	Score	Description
AURKAIP1		aurora kinase A interacting protein 1 [Source:HGNC Symbol;Acc:24114]
TM4SF1		transmembrane 4 L six family member 1 [Source:HGNC Symbol;Acc:11853]
PRKD1		protein kinase D1 [Source:HGNC Symbol;Acc:9407]
NPEPPS		aminopeptidase puromycin sensitive [Source:HGNC Symbol;Acc:7900]
SYT11		synaptotagmin XI [Source:HGNC Symbol;Acc:19239]
RBM15		RNA binding motif protein 15 [Source:HGNC Symbol;Acc:14959]
SON		SON DNA binding protein [Source:HGNC Symbol;Acc:11183]
MCMBP		minichromosome maintenance complex binding protein [Source:HGNC Symbol;Acc:25782]
COA3		cytochrome c oxidase assembly factor 3 [Source:HGNC Symbol;Acc:24990]
PPP1R7		protein phosphatase 1, regulatory subunit 7 [Source:HGNC Symbol;Acc:9295]
ARHGAP29		Rho GTPase activating protein 29 [Source:HGNC Symbol;Acc:30207]
RPLP2		ribosomal protein, large, P2 [Source:HGNC Symbol;Acc:10377]
CREB3L2		cAMP responsive element binding protein 3-like 2 [Source:HGNC Symbol;Acc:23720]
FAM168B		family with sequence similarity 168, member B [Source:HGNC Symbol;Acc:27016]
EIF2S2		eukaryotic translation initiation factor 2, subunit 2 beta, 38kDa [Source:HGNC Symbol;Acc:3266]
CTDSP2		CTD (carboxy-terminal domain, RNA polymerase II, polypeptide A) small phosphatase 2 [Source:HGNC Symbol;Acc:17077]
DCN		decorin [Source:HGNC Symbol;Acc:2705]
ATP2C1		ATPase, Ca++ transporting, type 2C, member 1 [Source:HGNC Symbol;Acc:13211]
UBE2L3		ubiquitin-conjugating enzyme E2L 3 [Source:HGNC Symbol;Acc:12488]
SERBP1		SERPINE1 mRNA binding protein 1 [Source:HGNC Symbol;Acc:17860]
RPL15		ribosomal protein L15 [Source:HGNC Symbol;Acc:10306]
ZNF273		zinc finger protein 273 [Source:HGNC Symbol;Acc:13067]
CIAPIN1		cytokine induced apoptosis inhibitor 1 [Source:HGNC Symbol;Acc:28050]
FBXW7		F-box and WD repeat domain containing 7, E3 ubiquitin protein ligase [Source:HGNC Symbol;Acc:16712]
BPTF		bromodomain PHD finger transcription factor [Source:HGNC Symbol;Acc:3581]
GLTSCR2		glioma tumor suppressor candidate region gene 2 [Source:HGNC Symbol;Acc:4333]
ARIH1		ariadne RBR E3 ubiquitin protein ligase 1 [Source:HGNC Symbol;Acc:689]
ALDH3A2		aldehyde dehydrogenase 3 family, member A2 [Source:HGNC Symbol;Acc:403]
CYP1B1		cytochrome P450, family 1, subfamily B, polypeptide 1 [Source:HGNC Symbol;Acc:2597]
ZFYVE26		zinc finger, FYVE domain containing 26 [Source:HGNC Symbol;Acc:20761]
NACA		nascent polypeptide-associated complex alpha subunit [Source:HGNC Symbol;Acc:7629]
CDH11		cadherin 11, type 2, OB-cadherin (osteoblast) [Source:HGNC Symbol;Acc:1750]
NPTX2		neuronal pentraxin II [Source:HGNC Symbol;Acc:7953]
POGZ		pogo transposable element with ZNF domain [Source:HGNC Symbol;Acc:18801]
FAM129A		family with sequence similarity 129, member A [Source:HGNC Symbol;Acc:16784]
PFDN1		prefoldin subunit 1 [Source:HGNC Symbol;Acc:8866]
OTUB1		OTU domain, ubiquitin aldehyde binding 1 [Source:HGNC Symbol;Acc:23077]
ATP5C1		ATP synthase, H+ transporting, mitochondrial F1 complex, gamma polypeptide 1 [Source:HGNC Symbol;Acc:833]
CXorf40B		chromosome X open reading frame 40B [Source:HGNC Symbol;Acc:17402]
RSAD1		radical S-adenosyl methionine domain containing 1 [Source:HGNC Symbol;Acc:25634]
PSMD4		proteasome (prosome, macropain) 26S subunit, non-ATPase, 4 [Source:HGNC Symbol;Acc:9561]
PTPN13		protein tyrosine phosphatase, non-receptor type 13 (APO-1/CD95 (Fas)-associated phosphatase) [Source:HGNC Symbol;Acc:9646]
PPP2CB		protein phosphatase 2, catalytic subunit, beta isozyme [Source:HGNC Symbol;Acc:9300]
YME1L1		YME1-like 1 ATPase [Source:HGNC Symbol;Acc:12843]
HNRNPUL1		heterogeneous nuclear ribonucleoprotein U-like 1 [Source:HGNC Symbol;Acc:17011]
IL1R1		interleukin 1 receptor, type I [Source:HGNC Symbol;Acc:5993]
NISCH		nischarin [Source:HGNC Symbol;Acc:18006]
MEST		mesoderm specific transcript [Source:HGNC Symbol;Acc:7028]
PIAS3		protein inhibitor of activated STAT, 3 [Source:HGNC Symbol;Acc:16861]
HBB		hemoglobin, beta [Source:HGNC Symbol;Acc:4827]
ATM		ataxia telangiectasia mutated [Source:HGNC Symbol;Acc:795]
ID2		inhibitor of DNA binding 2, dominant negative helix-loop-helix protein [Source:HGNC Symbol;Acc:5361]
BGN		biglycan [Source:HGNC Symbol;Acc:1044]
SRSF11		serine/arginine-rich splicing factor 11 [Source:HGNC Symbol;Acc:10782]
CST3		cystatin C [Source:HGNC Symbol;Acc:2475]
RPL37		ribosomal protein L37 [Source:HGNC Symbol;Acc:10347]
SLC2A1		solute carrier family 2 (facilitated glucose transporter), member 1 [Source:HGNC Symbol;Acc:11005]
TMEM260		transmembrane protein 260 [Source:HGNC Symbol;Acc:20185]
MAN2A1		mannosidase, alpha, class 2A, member 1 [Source:HGNC Symbol;Acc:6824]
NUTF2		nuclear transport factor 2 [Source:HGNC Symbol;Acc:13722]
PLOD2		procollagen-lysine, 2-oxoglutarate 5-dioxygenase 2 [Source:HGNC Symbol;Acc:9082]
COL4A1		collagen, type IV, alpha 1 [Source:HGNC Symbol;Acc:2202]
TMX1		thioredoxin-related transmembrane protein 1 [Source:HGNC Symbol;Acc:15487]
LYRM1		LYR motif containing 1 [Source:HGNC Symbol;Acc:25074]
ROBO1		roundabout, axon guidance receptor, homolog 1 (Drosophila) [Source:HGNC Symbol;Acc:10249]
CCDC53		coiled-coil domain containing 53 [Source:HGNC Symbol;Acc:24256]
HNRNPH3		heterogeneous nuclear ribonucleoprotein H3 (2H9) [Source:HGNC Symbol;Acc:5043]
MRPL16		mitochondrial ribosomal protein L16 [Source:HGNC Symbol;Acc:14476]
ITGA6		integrin, alpha 6 [Source:HGNC Symbol;Acc:6142]
SCN1B		sodium channel, voltage-gated, type I, beta subunit [Source:HGNC Symbol;Acc:10586]
SF3A1		splicing factor 3a, subunit 1, 120kDa [Source:HGNC Symbol;Acc:10765]
PI4KA		phosphatidylinositol 4-kinase, catalytic, alpha [Source:HGNC Symbol;Acc:8983]
BTN3A3		butyrophilin, subfamily 3, member A3 [Source:HGNC Symbol;Acc:1140]
DLST		dihydrolipoamide S-succinyltransferase (E2 component of 2-oxo-glutarate complex) [Source:HGNC Symbol;Acc:2911]
ACTN1		actinin, alpha 1 [Source:HGNC Symbol;Acc:163]
PABPC1		poly(A) binding protein, cytoplasmic 1 [Source:HGNC Symbol;Acc:8554]
STAT3		signal transducer and activator of transcription 3 (acute-phase response factor) [Source:HGNC Symbol;Acc:11364]
COPG1		coatomer protein complex, subunit gamma 1 [Source:HGNC Symbol;Acc:2236]
TAB2		TGF-beta activated kinase 1/MAP3K7 binding protein 2 [Source:HGNC Symbol;Acc:17075]
TCF4		transcription factor 4 [Source:HGNC Symbol;Acc:11634]
ANXA1		annexin A1 [Source:HGNC Symbol;Acc:533]
PITPNB		phosphatidylinositol transfer protein, beta [Source:HGNC Symbol;Acc:9002]
TARS		threonyl-tRNA synthetase [Source:HGNC Symbol;Acc:11572]
SF3B1		splicing factor 3b, subunit 1, 155kDa [Source:HGNC Symbol;Acc:10768]
CREG1		cellular repressor of E1A-stimulated genes 1 [Source:HGNC Symbol;Acc:2351]
CEP170B		centrosomal protein 170B [Source:HGNC Symbol;Acc:20362]
ANKRD17		ankyrin repeat domain 17 [Source:HGNC Symbol;Acc:23575]
CDC16		cell division cycle 16 [Source:HGNC Symbol;Acc:1720]
PSMD6		proteasome (prosome, macropain) 26S subunit, non-ATPase, 6 [Source:HGNC Symbol;Acc:9564]
CSRP1		cysteine and glycine-rich protein 1 [Source:HGNC Symbol;Acc:2469]
TBCB		tubulin folding cofactor B [Source:HGNC Symbol;Acc:1989]
RPL36AL		ribosomal protein L36a-like [Source:HGNC Symbol;Acc:10346]
SKIV2L2		superkiller viralicidic activity 2-like 2 (S. cerevisiae) [Source:HGNC Symbol;Acc:18734]
CLNS1A		chloride channel, nucleotide-sensitive, 1A [Source:HGNC Symbol;Acc:2080]
KCTD12		potassium channel tetramerization domain containing 12 [Source:HGNC Symbol;Acc:14678]
CTNNB1		catenin (cadherin-associated protein), beta 1, 88kDa [Source:HGNC Symbol;Acc:2514]
PSAP		prosaposin [Source:HGNC Symbol;Acc:9498]
AP2S1		adaptor-related protein complex 2, sigma 1 subunit [Source:HGNC Symbol;Acc:565]
TARDBP		TAR DNA binding protein [Source:HGNC Symbol;Acc:11571]
SRP19		signal recognition particle 19kDa [Source:HGNC Symbol;Acc:11300]
FBN1		fibrillin 1 [Source:HGNC Symbol;Acc:3603]
PRPF3		pre-mRNA processing factor 3 [Source:HGNC Symbol;Acc:17348]
TSPAN7		tetraspanin 7 [Source:HGNC Symbol;Acc:11854]
GBAS		glioblastoma amplified sequence [Source:HGNC Symbol;Acc:4179]
MXI1		MAX interactor 1, dimerization protein [Source:HGNC Symbol;Acc:7534]
KAT7		K(lysine) acetyltransferase 7 [Source:HGNC Symbol;Acc:17016]
RPSA		ribosomal protein SA [Source:HGNC Symbol;Acc:6502]
XPOT		exportin, tRNA [Source:HGNC Symbol;Acc:12826]
PFDN5		prefoldin subunit 5 [Source:HGNC Symbol;Acc:8869]
RPL12		ribosomal protein L12 [Source:HGNC Symbol;Acc:10302]
ZFP36		ZFP36 ring finger protein [Source:HGNC Symbol;Acc:12862]
TERF2IP		telomeric repeat binding factor 2, interacting protein [Source:HGNC Symbol;Acc:19246]
SPARC		secreted protein, acidic, cysteine-rich (osteonectin) [Source:HGNC Symbol;Acc:11219]
ERH		enhancer of rudimentary homolog (Drosophila) [Source:HGNC Symbol;Acc:3447]
MYD88		myeloid differentiation primary response 88 [Source:HGNC Symbol;Acc:7562]
SNRPF		small nuclear ribonucleoprotein polypeptide F [Source:HGNC Symbol;Acc:11162]
DDX5		DEAD (Asp-Glu-Ala-Asp) box helicase 5 [Source:HGNC Symbol;Acc:2746]
PPP2CA		protein phosphatase 2, catalytic subunit, alpha isozyme [Source:HGNC Symbol;Acc:9299]
RUVBL2		RuvB-like AAA ATPase 2 [Source:HGNC Symbol;Acc:10475]
HSP90AB1		heat shock protein 90kDa alpha (cytosolic), class B member 1 [Source:HGNC Symbol;Acc:5258]
CCT3		chaperonin containing TCP1, subunit 3 (gamma) [Source:HGNC Symbol;Acc:1616]

Network Group	Network	Weight	Title	Authors	Year	Publication	PMID	URL	Processing Method	Interactions	Source	Source URL	Tags
Physical interactions		64.63
	Zhou-Liang-2012	6.22	Shotgun proteomics and network analysis of ubiquitin-related proteins from human breast carcinoma epithelial cells.	Zhou, Bi, Lin, Chen, Wang, Liang	2012	Mol Cell Biochem	21853274	http://www.ncbi.nlm.nih.gov/pubmed/21853274	Direct interaction	207	BIOGRID	http://thebiogrid.org/	Cultured Cells,Cancer,Epithelial Cells,Cell Line,Transcription Factors,Breast Cancer
	Singh-Moore-2012	4.50	The cellular EJC interactome reveals higher-order mRNP structure and an EJC-SR protein nexus.	Singh, Kucukural, Cenik, Leszyk, Shaffer, Weng, Moore	2012	Cell	23084401	http://www.ncbi.nlm.nih.gov/pubmed/23084401	Direct interaction	301	IREF	http://irefindex.uio.no/wiki/iRefIndex	
	Altun-Kessler-2011	3.45	Activity-based chemical proteomics accelerates inhibitor development for deubiquitylating enzymes.	Altun, Kramer, Willems, McDermott, Leach, Goldenberg, Kumar, Konietzny, Fischer, Kogan, Mackeen, McGouran, Khoronenkova, Parsons, Dianov, Nicholson, Kessler	2011	Chem Biol	22118674	http://www.ncbi.nlm.nih.gov/pubmed/22118674	Direct interaction	287	BIOGRID	http://thebiogrid.org/	Cultured Cells,Cell Line
	Matsumoto-Nakayama-2005	2.48	Large-scale analysis of the human ubiquitin-related proteome.	Matsumoto, Hatakeyama, Oyamada, Oda, Nishimura, Nakayama	2005	Proteomics	16196087	http://www.ncbi.nlm.nih.gov/pubmed/16196087	Direct interaction	648	BIOGRID	http://thebiogrid.org/	Cultured Cells,Cell Line
	Lee-Doedens-2011	2.42	Ubiquitin ligase substrate identification through quantitative proteomics at both the protein and peptide levels.	Lee, Hammerle, Andrews, Stokes, Mustelin, Silva, Black, Doedens	2011	J Biol Chem	21987572	http://www.ncbi.nlm.nih.gov/pubmed/21987572	Direct interaction	1320	BIOGRID	http://thebiogrid.org/	
	Jones-MacBeath-2006	1.80	A quantitative protein interaction network for the ErbB receptors using protein microarrays.	Jones, Gordus, Krall, MacBeath	2006	Nature	16273093	http://www.ncbi.nlm.nih.gov/pubmed/16273093	Direct interaction	172	IREF	http://irefindex.uio.no/wiki/iRefIndex	Cultured Cells,Cell Line
	Behzadnia-Lührmann-2007	1.79	Composition and three-dimensional EM structure of double affinity-purified, human prespliceosomal A complexes.	Behzadnia, Golas, Hartmuth, Sander, Kastner, Deckert, Dube, Will, Urlaub, Stark, Lührmann	2007	EMBO J	17332742	http://www.ncbi.nlm.nih.gov/pubmed/17332742	Direct interaction	112	IREF	http://irefindex.uio.no/wiki/iRefIndex	
	Maréchal-Zou-2014	1.63	PRP19 transforms into a sensor of RPA-ssDNA after DNA damage and drives ATR activation via a ubiquitin-mediated circuitry.	Maréchal, Li, Ji, Wu, Yazinski, Nguyen, Liu, Jiménez, Jin, Zou	2014	Mol Cell	24332808	http://www.ncbi.nlm.nih.gov/pubmed/24332808	Direct interaction	996	BIOGRID	http://thebiogrid.org/	Transcription Factors,Signal Transduction
	Berggård-James-2006	1.55	140 mouse brain proteins identified by Ca2+-calmodulin affinity chromatography and tandem mass spectrometry.	Berggård, Arrigoni, Olsson, Fex, Linse, James	2006	J Proteome Res	16512683	http://www.ncbi.nlm.nih.gov/pubmed/16512683	Direct interaction	151	IREF	http://irefindex.uio.no/wiki/iRefIndex	Brain,Nervous System
	Shi-Qin-2011	1.51	A data set of human endogenous protein ubiquitination sites.	Shi, Chan, Jung, Malovannaya, Wang, Qin	2011	Mol Cell Proteomics	20972266	http://www.ncbi.nlm.nih.gov/pubmed/20972266	Direct interaction	269	BIOGRID	http://thebiogrid.org/	Cancer
	Vanderwerf-Bagby-2009	1.50	TLR8-dependent TNF-(alpha) overexpression in Fanconi anemia group C cells.	Vanderwerf, Svahn, Olson, Rathbun, Harrington, Yates, Keeble, Anderson, Anur, Pereira, Pilonetto, Pasquini, Bagby	2009	Blood	19850743	http://www.ncbi.nlm.nih.gov/pubmed/19850743	Direct interaction	149	BIOGRID	http://thebiogrid.org/	Knockout,Cell Signalling,Signal Transduction
	Mak-Moffat-2010	1.42	A lentiviral functional proteomics approach identifies chromatin remodeling complexes important for the induction of pluripotency.	Mak, Ni, Hewel, Chen, Zhong, Karamboulas, Blakely, Smiley, Marcon, Roudeva, Li, Olsen, Wan, Punna, Isserlin, Chetyrkin, Gingras, Emili, Greenblatt, Moffat	2010	Mol Cell Proteomics	20305087	http://www.ncbi.nlm.nih.gov/pubmed/20305087	Direct interaction	108	BIOGRID	http://thebiogrid.org/	Transcription Factors,Cell Line,Cultured Cells,Stem Cells
	McCracken-Blencowe-2005	1.29	Proteomic analysis of SRm160-containing complexes reveals a conserved association with cohesin.	McCracken, Longman, Marcon, Moens, Downey, Nickerson, Jessberger, Wilde, Caceres, Emili, Blencowe	2005	J Biol Chem	16159877	http://www.ncbi.nlm.nih.gov/pubmed/16159877	Direct interaction	177	IREF	http://irefindex.uio.no/wiki/iRefIndex	
	Neganova-Lako-2011	1.26	An important role for CDK2 in G1 to S checkpoint activation and DNA damage response in human embryonic stem cells.	Neganova, Vilella, Atkinson, Lloret, Passos, von Zglinicki, O'Connor, Burks, Jones, Armstrong, Lako	2011	Stem Cells	21319273	http://www.ncbi.nlm.nih.gov/pubmed/21319273	Direct interaction	388	IREF	http://irefindex.uio.no/wiki/iRefIndex	Development,Cultured Cells,Cancer,Cell Proliferation,Apoptosis,Cell Line,Stem Cells,Transcription Factors
	Gloeckner-Ueffing-2007	0.97	A novel tandem affinity purification strategy for the efficient isolation and characterisation of native protein complexes.	Gloeckner, Boldt, Schumacher, Roepman, Ueffing	2007	Proteomics	17979178	http://www.ncbi.nlm.nih.gov/pubmed/17979178	Direct interaction	100	BIOGRID	http://thebiogrid.org/	Cell Line,Cultured Cells,Cancer
	McFarland-Nussbaum-2008	0.97	Proteomics analysis identifies phosphorylation-dependent alpha-synuclein protein interactions.	McFarland, Ellis, Markey, Nussbaum	2008	Mol Cell Proteomics	18614564	http://www.ncbi.nlm.nih.gov/pubmed/18614564	Direct interaction	157	IREF	http://irefindex.uio.no/wiki/iRefIndex	Brain,Nervous System
	Bett-Hay-2013	0.96	The P-body component USP52/PAN2 is a novel regulator of HIF1A mRNA stability.	Bett, Ibrahim, Garg, Kelly, Pedrioli, Rocha, Hay	2013	Biochem J	23398456	http://www.ncbi.nlm.nih.gov/pubmed/23398456	Direct interaction	317	IREF	http://irefindex.uio.no/wiki/iRefIndex	Transcription Factors,Cell Line,Cultured Cells,Cancer
	Udeshi-Carr-2012	0.87	Methods for quantification of in vivo changes in protein ubiquitination following proteasome and deubiquitinase inhibition.	Udeshi, Mani, Eisenhaure, Mertins, Jaffe, Clauser, Hacohen, Carr	2012	Mol Cell Proteomics	22505724	http://www.ncbi.nlm.nih.gov/pubmed/22505724	Direct interaction	2481	BIOGRID	http://thebiogrid.org/	Cultured Cells,Cell Line,Cancer,Immune System
	Jeronimo-Coulombe-2007	0.84	Systematic analysis of the protein interaction network for the human transcription machinery reveals the identity of the 7SK capping enzyme.	Jeronimo, Forget, Bouchard, Li, Chua, Poitras, Thérien, Bergeron, Bourassa, Greenblatt, Chabot, Poirier, Hughes, Blanchette, Price, Coulombe	2007	Mol Cell	17643375	http://www.ncbi.nlm.nih.gov/pubmed/17643375	Direct interaction	699	BIOGRID	http://thebiogrid.org/	Cultured Cells,Cell Line
	Oshikawa-Nakayama-2012	0.82	Proteome-wide identification of ubiquitylation sites by conjugation of engineered lysine-less ubiquitin.	Oshikawa, Matsumoto, Oyamada, Nakayama	2012	J Proteome Res	22053931	http://www.ncbi.nlm.nih.gov/pubmed/22053931	Direct interaction	895	BIOGRID	http://thebiogrid.org/	
	Zhou-Conrads-2004	0.72	An investigation into the human serum "interactome".	Zhou, Lucas, Chan, Issaq, Petricoin, Liotta, Veenstra, Conrads	2004	Electrophoresis	15174051	http://www.ncbi.nlm.nih.gov/pubmed/15174051	Direct interaction	160	IREF	http://irefindex.uio.no/wiki/iRefIndex	
	Xu-Ye-2012	0.72	SGTA recognizes a noncanonical ubiquitin-like domain in the Bag6-Ubl4A-Trc35 complex to promote endoplasmic reticulum-associated degradation.	Xu, Cai, Yang, Huang, Ye	2012	Cell Rep	23246001	http://www.ncbi.nlm.nih.gov/pubmed/23246001	Direct interaction	224	IREF	http://irefindex.uio.no/wiki/iRefIndex	Cultured Cells,Cell Line
	Kneissl-Grummt-2003	0.70	Interaction and assembly of murine pre-replicative complex proteins in yeast and mouse cells.	Kneissl, Pütter, Szalay, Grummt	2003	J Mol Biol	12614612	http://www.ncbi.nlm.nih.gov/pubmed/12614612	Direct interaction	81	BIOGRID	http://thebiogrid.org/	Cell Proliferation,Transcription Factors,Cultured Cells,Cell Line
	Brehme-Superti-Furga-2009	0.69	Charting the molecular network of the drug target Bcr-Abl.	Brehme, Hantschel, Colinge, Kaupe, Planyavsky, Köcher, Mechtler, Bennett, Superti-Furga	2009	Proc Natl Acad Sci U S A	19380743	http://www.ncbi.nlm.nih.gov/pubmed/19380743	Direct interaction	579	IREF	http://irefindex.uio.no/wiki/iRefIndex	Cultured Cells,Cancer,Cell Line
	Varjosalo-Superti-Furga-2013	0.66	Interlaboratory reproducibility of large-scale human protein-complex analysis by standardized AP-MS.	Varjosalo, Sacco, Stukalov, van Drogen, Planyavsky, Hauri, Aebersold, Bennett, Colinge, Gstaiger, Superti-Furga	2013	Nat Methods	23455922	http://www.ncbi.nlm.nih.gov/pubmed/23455922	Direct interaction	4194	BIOGRID	http://thebiogrid.org/	Cultured Cells,Cell Line
	Yu-Chow-2013	0.65	VCP phosphorylation-dependent interaction partners prevent apoptosis in Helicobacter pylori-infected gastric epithelial cells.	Yu, Yang, Chang, Chuang, Lin, Wu, Chow	2013	PLoS One	23383273	http://www.ncbi.nlm.nih.gov/pubmed/23383273	Direct interaction	272	IREF	http://irefindex.uio.no/wiki/iRefIndex	Cultured Cells,Signal Transduction,Cancer,Cell Proliferation,Apoptosis,Cell Line,Epithelial Cells
	Varjosalo-Gstaiger-2013 B	0.65	The protein interaction landscape of the human CMGC kinase group.	Varjosalo, Keskitalo, Van Drogen, Nurkkala, Vichalkovski, Aebersold, Gstaiger	2013	Cell Rep	23602568	http://www.ncbi.nlm.nih.gov/pubmed/23602568	Direct interaction	306	BIOGRID	http://thebiogrid.org/	Cultured Cells,Cell Line
	Freibaum-Taylor-2010	0.64	Global analysis of TDP-43 interacting proteins reveals strong association with RNA splicing and translation machinery.	Freibaum, Chitta, High, Taylor	2010	J Proteome Res	20020773	http://www.ncbi.nlm.nih.gov/pubmed/20020773	Direct interaction	222	BIOGRID	http://thebiogrid.org/	Transcription Factors,Cultured Cells,Cell Line,Immune System
	IREF-DIP	0.63							Direct interaction	3719	IREF	http://irefindex.uio.no/wiki/iRefIndex	
	Kristensen-Foster-2012	0.62	A high-throughput approach for measuring temporal changes in the interactome.	Kristensen, Gsponer, Foster	2012	Nat Methods	22863883	http://www.ncbi.nlm.nih.gov/pubmed/22863883	Direct interaction	7104	BIOGRID	http://thebiogrid.org/	Time Series
	Hegele-Stelzl-2012 B	0.62	Dynamic protein-protein interaction wiring of the human spliceosome.	Hegele, Kamburov, Grossmann, Sourlis, Wowro, Weimann, Will, Pena, Lührmann, Stelzl	2012	Mol Cell	22365833	http://www.ncbi.nlm.nih.gov/pubmed/22365833	Direct interaction	600	BIOGRID	http://thebiogrid.org/	
	Havugimana-Emili-2012	0.60	A census of human soluble protein complexes.	Havugimana, Hart, Nepusz, Yang, Turinsky, Li, Wang, Boutz, Fong, Phanse, Babu, Craig, Hu, Wan, Vlasblom, Dar, Bezginov, Clark, Wu, Wodak, Tillier, Paccanaro, Marcotte, Emili	2012	Cell	22939629	http://www.ncbi.nlm.nih.gov/pubmed/22939629	Direct interaction	13710	BIOGRID	http://thebiogrid.org/	
