GeneMANIA Results
Plugin Version	3.4.1 (20160523-2245)
Data Version	2014-08-12
Report Generated	Tue Nov 15 12:37:14 GMT 2016

Gene	Score	Description
NISCH		nischarin [Source:HGNC Symbol;Acc:18006]
IL3RA		interleukin 3 receptor, alpha (low affinity) [Source:HGNC Symbol;Acc:6012]
PLEKHB1		pleckstrin homology domain containing, family B (evectins) member 1 [Source:HGNC Symbol;Acc:19079]
IRAK3		interleukin-1 receptor-associated kinase 3 [Source:HGNC Symbol;Acc:17020]
AURKAIP1		aurora kinase A interacting protein 1 [Source:HGNC Symbol;Acc:24114]
MAN2A1		mannosidase, alpha, class 2A, member 1 [Source:HGNC Symbol;Acc:6824]
ARHGAP29		Rho GTPase activating protein 29 [Source:HGNC Symbol;Acc:30207]
CREB3L2		cAMP responsive element binding protein 3-like 2 [Source:HGNC Symbol;Acc:23720]
TM4SF1		transmembrane 4 L six family member 1 [Source:HGNC Symbol;Acc:11853]
AHCTF1		AT hook containing transcription factor 1 [Source:HGNC Symbol;Acc:24618]
MLH3		mutL homolog 3 [Source:HGNC Symbol;Acc:7128]
POGZ		pogo transposable element with ZNF domain [Source:HGNC Symbol;Acc:18801]
CSRP1		cysteine and glycine-rich protein 1 [Source:HGNC Symbol;Acc:2469]
TNFRSF10A		tumor necrosis factor receptor superfamily, member 10a [Source:HGNC Symbol;Acc:11904]
SUN1		Sad1 and UNC84 domain containing 1 [Source:HGNC Symbol;Acc:18587]
ORAI2		ORAI calcium release-activated calcium modulator 2 [Source:HGNC Symbol;Acc:21667]
TNFRSF10C		tumor necrosis factor receptor superfamily, member 10c, decoy without an intracellular domain [Source:HGNC Symbol;Acc:11906]
POLR2M		polymerase (RNA) II (DNA directed) polypeptide M [Source:HGNC Symbol;Acc:14862]
GULP1		GULP, engulfment adaptor PTB domain containing 1 [Source:HGNC Symbol;Acc:18649]
SSBP3		single stranded DNA binding protein 3 [Source:HGNC Symbol;Acc:15674]
MRPL16		mitochondrial ribosomal protein L16 [Source:HGNC Symbol;Acc:14476]
PPP3CC		protein phosphatase 3, catalytic subunit, gamma isozyme [Source:HGNC Symbol;Acc:9316]
RPL36AL		ribosomal protein L36a-like [Source:HGNC Symbol;Acc:10346]
FAM129A		family with sequence similarity 129, member A [Source:HGNC Symbol;Acc:16784]
PRKACG		protein kinase, cAMP-dependent, catalytic, gamma [Source:HGNC Symbol;Acc:9382]
HMOX2		heme oxygenase (decycling) 2 [Source:HGNC Symbol;Acc:5014]
TNFRSF10D		tumor necrosis factor receptor superfamily, member 10d, decoy with truncated death domain [Source:HGNC Symbol;Acc:11907]
TSPAN7		tetraspanin 7 [Source:HGNC Symbol;Acc:11854]
TMEM43		transmembrane protein 43 [Source:HGNC Symbol;Acc:28472]
TMX1		thioredoxin-related transmembrane protein 1 [Source:HGNC Symbol;Acc:15487]
GBAS		glioblastoma amplified sequence [Source:HGNC Symbol;Acc:4179]
SCN1B		sodium channel, voltage-gated, type I, beta subunit [Source:HGNC Symbol;Acc:10586]
CHP1		calcineurin-like EF-hand protein 1 [Source:HGNC Symbol;Acc:17433]
HCFC2		host cell factor C2 [Source:HGNC Symbol;Acc:24972]
NPTX2		neuronal pentraxin II [Source:HGNC Symbol;Acc:7953]
PTPN13		protein tyrosine phosphatase, non-receptor type 13 (APO-1/CD95 (Fas)-associated phosphatase) [Source:HGNC Symbol;Acc:9646]
CST3		cystatin C [Source:HGNC Symbol;Acc:2475]
CHP2		calcineurin-like EF-hand protein 2 [Source:HGNC Symbol;Acc:24927]
PIK3CD		phosphatidylinositol-4,5-bisphosphate 3-kinase, catalytic subunit delta [Source:HGNC Symbol;Acc:8977]
MXI1		MAX interactor 1, dimerization protein [Source:HGNC Symbol;Acc:7534]
MON2		MON2 homolog (S. cerevisiae) [Source:HGNC Symbol;Acc:29177]
DFFB		DNA fragmentation factor, 40kDa, beta polypeptide (caspase-activated DNase) [Source:HGNC Symbol;Acc:2773]
ZMYND11		zinc finger, MYND-type containing 11 [Source:HGNC Symbol;Acc:16966]
KCTD12		potassium channel tetramerization domain containing 12 [Source:HGNC Symbol;Acc:14678]
PI4KA		phosphatidylinositol 4-kinase, catalytic, alpha [Source:HGNC Symbol;Acc:8983]
RPL35A		ribosomal protein L35a [Source:HGNC Symbol;Acc:10345]
ALDH3A2		aldehyde dehydrogenase 3 family, member A2 [Source:HGNC Symbol;Acc:403]
IL1RAP		interleukin 1 receptor accessory protein [Source:HGNC Symbol;Acc:5995]
AP2S1		adaptor-related protein complex 2, sigma 1 subunit [Source:HGNC Symbol;Acc:565]
DCN		decorin [Source:HGNC Symbol;Acc:2705]
RPL37		ribosomal protein L37 [Source:HGNC Symbol;Acc:10347]
C14orf1		chromosome 14 open reading frame 1 [Source:HGNC Symbol;Acc:1187]
IL1B		interleukin 1, beta [Source:HGNC Symbol;Acc:5992]
APAF1		apoptotic peptidase activating factor 1 [Source:HGNC Symbol;Acc:576]
SNAPC5		small nuclear RNA activating complex, polypeptide 5, 19kDa [Source:HGNC Symbol;Acc:15484]
MCMBP		minichromosome maintenance complex binding protein [Source:HGNC Symbol;Acc:25782]
CFLAR		CASP8 and FADD-like apoptosis regulator [Source:HGNC Symbol;Acc:1876]
RNF130		ring finger protein 130 [Source:HGNC Symbol;Acc:18280]
CASP10		caspase 10, apoptosis-related cysteine peptidase [Source:HGNC Symbol;Acc:1500]
PRKAR1B		protein kinase, cAMP-dependent, regulatory, type I, beta [Source:HGNC Symbol;Acc:9390]
PPP1R7		protein phosphatase 1, regulatory subunit 7 [Source:HGNC Symbol;Acc:9295]
JAG1		jagged 1 [Source:HGNC Symbol;Acc:6188]
CELF1		CUGBP, Elav-like family member 1 [Source:HGNC Symbol;Acc:2549]
CCDC53		coiled-coil domain containing 53 [Source:HGNC Symbol;Acc:24256]
PIK3CB		phosphatidylinositol-4,5-bisphosphate 3-kinase, catalytic subunit beta [Source:HGNC Symbol;Acc:8976]
CASP6		caspase 6, apoptosis-related cysteine peptidase [Source:HGNC Symbol;Acc:1507]
IL1R1		interleukin 1 receptor, type I [Source:HGNC Symbol;Acc:5993]
PPP3R1		protein phosphatase 3, regulatory subunit B, alpha [Source:HGNC Symbol;Acc:9317]
PIK3CA		phosphatidylinositol-4,5-bisphosphate 3-kinase, catalytic subunit alpha [Source:HGNC Symbol;Acc:8975]
ITGA6		integrin, alpha 6 [Source:HGNC Symbol;Acc:6142]
COL4A1		collagen, type IV, alpha 1 [Source:HGNC Symbol;Acc:2202]
GLTSCR2		glioma tumor suppressor candidate region gene 2 [Source:HGNC Symbol;Acc:4333]
RBM15		RNA binding motif protein 15 [Source:HGNC Symbol;Acc:14959]
RNF7		ring finger protein 7 [Source:HGNC Symbol;Acc:10070]
TRADD		TNFRSF1A-associated via death domain [Source:HGNC Symbol;Acc:12030]
STMN1		stathmin 1 [Source:HGNC Symbol;Acc:6510]
RAP1GDS1		RAP1, GTP-GDP dissociation stimulator 1 [Source:HGNC Symbol;Acc:9859]
IL1A		interleukin 1, alpha [Source:HGNC Symbol;Acc:5991]
PIK3R3		phosphoinositide-3-kinase, regulatory subunit 3 (gamma) [Source:HGNC Symbol;Acc:8981]
FADD		Fas (TNFRSF6)-associated via death domain [Source:HGNC Symbol;Acc:3573]
CSF2RB		colony stimulating factor 2 receptor, beta, low-affinity (granulocyte-macrophage) [Source:HGNC Symbol;Acc:2436]
BID		BH3 interacting domain death agonist [Source:HGNC Symbol;Acc:1050]
MYD88		myeloid differentiation primary response 88 [Source:HGNC Symbol;Acc:7562]
PLOD2		procollagen-lysine, 2-oxoglutarate 5-dioxygenase 2 [Source:HGNC Symbol;Acc:9082]
ARIH1		ariadne RBR E3 ubiquitin protein ligase 1 [Source:HGNC Symbol;Acc:689]
XPOT		exportin, tRNA [Source:HGNC Symbol;Acc:12826]
YLPM1		YLP motif containing 1 [Source:HGNC Symbol;Acc:17798]
DLST		dihydrolipoamide S-succinyltransferase (E2 component of 2-oxo-glutarate complex) [Source:HGNC Symbol;Acc:2911]
ANXA1		annexin A1 [Source:HGNC Symbol;Acc:533]
KAT7		K(lysine) acetyltransferase 7 [Source:HGNC Symbol;Acc:17016]
NGF		nerve growth factor (beta polypeptide) [Source:HGNC Symbol;Acc:7808]
CASP9		caspase 9, apoptosis-related cysteine peptidase [Source:HGNC Symbol;Acc:1511]
BPTF		bromodomain PHD finger transcription factor [Source:HGNC Symbol;Acc:3581]
AKT3		v-akt murine thymoma viral oncogene homolog 3 [Source:HGNC Symbol;Acc:393]
ID2		inhibitor of DNA binding 2, dominant negative helix-loop-helix protein [Source:HGNC Symbol;Acc:5361]
YME1L1		YME1-like 1 ATPase [Source:HGNC Symbol;Acc:12843]
SRP19		signal recognition particle 19kDa [Source:HGNC Symbol;Acc:11300]
FAS		Fas cell surface death receptor [Source:HGNC Symbol;Acc:11920]
PRKAR2B		protein kinase, cAMP-dependent, regulatory, type II, beta [Source:HGNC Symbol;Acc:9392]
SRSF11		serine/arginine-rich splicing factor 11 [Source:HGNC Symbol;Acc:10782]
NUTF2		nuclear transport factor 2 [Source:HGNC Symbol;Acc:13722]
IRAK4		interleukin-1 receptor-associated kinase 4 [Source:HGNC Symbol;Acc:17967]
TNF		tumor necrosis factor [Source:HGNC Symbol;Acc:11892]
SKIV2L2		superkiller viralicidic activity 2-like 2 (S. cerevisiae) [Source:HGNC Symbol;Acc:18734]
TBCB		tubulin folding cofactor B [Source:HGNC Symbol;Acc:1989]
NPEPPS		aminopeptidase puromycin sensitive [Source:HGNC Symbol;Acc:7900]
BIRC3		baculoviral IAP repeat containing 3 [Source:HGNC Symbol;Acc:591]
ZNF24		zinc finger protein 24 [Source:HGNC Symbol;Acc:13032]
SON		SON DNA binding protein [Source:HGNC Symbol;Acc:11183]
ATP5C1		ATP synthase, H+ transporting, mitochondrial F1 complex, gamma polypeptide 1 [Source:HGNC Symbol;Acc:833]
DST		dystonin [Source:HGNC Symbol;Acc:1090]
KDM6A		lysine (K)-specific demethylase 6A [Source:HGNC Symbol;Acc:12637]
SPARC		secreted protein, acidic, cysteine-rich (osteonectin) [Source:HGNC Symbol;Acc:11219]
RIPK1		receptor (TNFRSF)-interacting serine-threonine kinase 1 [Source:HGNC Symbol;Acc:10019]
PPFIA1		protein tyrosine phosphatase, receptor type, f polypeptide (PTPRF), interacting protein (liprin), alpha 1 [Source:HGNC Symbol;Acc:9245]
BGN		biglycan [Source:HGNC Symbol;Acc:1044]
BAD		BCL2-associated agonist of cell death [Source:HGNC Symbol;Acc:936]
SLC2A1		solute carrier family 2 (facilitated glucose transporter), member 1 [Source:HGNC Symbol;Acc:11005]
PIAS3		protein inhibitor of activated STAT, 3 [Source:HGNC Symbol;Acc:16861]
ZFP36		ZFP36 ring finger protein [Source:HGNC Symbol;Acc:12862]
DMD		dystrophin [Source:HGNC Symbol;Acc:2928]
RPLP2		ribosomal protein, large, P2 [Source:HGNC Symbol;Acc:10377]
IRAK2		interleukin-1 receptor-associated kinase 2 [Source:HGNC Symbol;Acc:6113]
EIF2S2		eukaryotic translation initiation factor 2, subunit 2 beta, 38kDa [Source:HGNC Symbol;Acc:3266]
PFDN1		prefoldin subunit 1 [Source:HGNC Symbol;Acc:8866]
DFFA		DNA fragmentation factor, 45kDa, alpha polypeptide [Source:HGNC Symbol;Acc:2772]
CIAPIN1		cytokine induced apoptosis inhibitor 1 [Source:HGNC Symbol;Acc:28050]
HBB		hemoglobin, beta [Source:HGNC Symbol;Acc:4827]
CAPN2		calpain 2, (m/II) large subunit [Source:HGNC Symbol;Acc:1479]
PIK3CG		phosphatidylinositol-4,5-bisphosphate 3-kinase, catalytic subunit gamma [Source:HGNC Symbol;Acc:8978]
KPNA6		karyopherin alpha 6 (importin alpha 7) [Source:HGNC Symbol;Acc:6399]
NTRK1		neurotrophic tyrosine kinase, receptor, type 1 [Source:HGNC Symbol;Acc:8031]
ROBO1		roundabout, axon guidance receptor, homolog 1 (Drosophila) [Source:HGNC Symbol;Acc:10249]
TCF4		transcription factor 4 [Source:HGNC Symbol;Acc:11634]
SEPT11		septin 11 [Source:HGNC Symbol;Acc:25589]
HNRNPH3		heterogeneous nuclear ribonucleoprotein H3 (2H9) [Source:HGNC Symbol;Acc:5043]
BIRC2		baculoviral IAP repeat containing 2 [Source:HGNC Symbol;Acc:590]
PPP3CB		protein phosphatase 3, catalytic subunit, beta isozyme [Source:HGNC Symbol;Acc:9315]
FBN1		fibrillin 1 [Source:HGNC Symbol;Acc:3603]
AIFM1		apoptosis-inducing factor, mitochondrion-associated, 1 [Source:HGNC Symbol;Acc:8768]
FASLG		Fas ligand (TNF superfamily, member 6) [Source:HGNC Symbol;Acc:11936]
CASP8		caspase 8, apoptosis-related cysteine peptidase [Source:HGNC Symbol;Acc:1509]
TAB2		TGF-beta activated kinase 1/MAP3K7 binding protein 2 [Source:HGNC Symbol;Acc:17075]
TARS		threonyl-tRNA synthetase [Source:HGNC Symbol;Acc:11572]
NACA		nascent polypeptide-associated complex alpha subunit [Source:HGNC Symbol;Acc:7629]
PRKD1		protein kinase D1 [Source:HGNC Symbol;Acc:9407]
RPL12		ribosomal protein L12 [Source:HGNC Symbol;Acc:10302]
RPSA		ribosomal protein SA [Source:HGNC Symbol;Acc:6502]
RPL15		ribosomal protein L15 [Source:HGNC Symbol;Acc:10306]
NSFL1C		NSFL1 (p97) cofactor (p47) [Source:HGNC Symbol;Acc:15912]
PFDN5		prefoldin subunit 5 [Source:HGNC Symbol;Acc:8869]
FBXW7		F-box and WD repeat domain containing 7, E3 ubiquitin protein ligase [Source:HGNC Symbol;Acc:16712]
UBE2L3		ubiquitin-conjugating enzyme E2L 3 [Source:HGNC Symbol;Acc:12488]
CDC16		cell division cycle 16 [Source:HGNC Symbol;Acc:1720]
BAX		BCL2-associated X protein [Source:HGNC Symbol;Acc:959]
AKT2		v-akt murine thymoma viral oncogene homolog 2 [Source:HGNC Symbol;Acc:392]
TNFRSF1A		tumor necrosis factor receptor superfamily, member 1A [Source:HGNC Symbol;Acc:11916]
CYCS		cytochrome c, somatic [Source:HGNC Symbol;Acc:19986]
NFKBIA		nuclear factor of kappa light polypeptide gene enhancer in B-cells inhibitor, alpha [Source:HGNC Symbol;Acc:7797]
PRPF3		pre-mRNA processing factor 3 [Source:HGNC Symbol;Acc:17348]
SERBP1		SERPINE1 mRNA binding protein 1 [Source:HGNC Symbol;Acc:17860]
PSAP		prosaposin [Source:HGNC Symbol;Acc:9498]
PPP2CB		protein phosphatase 2, catalytic subunit, beta isozyme [Source:HGNC Symbol;Acc:9300]
BCL2L1		BCL2-like 1 [Source:HGNC Symbol;Acc:992]
CASP7		caspase 7, apoptosis-related cysteine peptidase [Source:HGNC Symbol;Acc:1508]
KLC1		kinesin light chain 1 [Source:HGNC Symbol;Acc:6387]
PRKAR2A		protein kinase, cAMP-dependent, regulatory, type II, alpha [Source:HGNC Symbol;Acc:9391]
PSMD6		proteasome (prosome, macropain) 26S subunit, non-ATPase, 6 [Source:HGNC Symbol;Acc:9564]
CASP3		caspase 3, apoptosis-related cysteine peptidase [Source:HGNC Symbol;Acc:1504]
IRAK1		interleukin-1 receptor-associated kinase 1 [Source:HGNC Symbol;Acc:6112]
PPP3CA		protein phosphatase 3, catalytic subunit, alpha isozyme [Source:HGNC Symbol;Acc:9314]
OTUB1		OTU domain, ubiquitin aldehyde binding 1 [Source:HGNC Symbol;Acc:23077]
CAPN1		calpain 1, (mu/I) large subunit [Source:HGNC Symbol;Acc:1476]
PIK3R2		phosphoinositide-3-kinase, regulatory subunit 2 (beta) [Source:HGNC Symbol;Acc:8980]
BCL2		B-cell CLL/lymphoma 2 [Source:HGNC Symbol;Acc:990]
HNRNPUL1		heterogeneous nuclear ribonucleoprotein U-like 1 [Source:HGNC Symbol;Acc:17011]
COPG1		coatomer protein complex, subunit gamma 1 [Source:HGNC Symbol;Acc:2236]
IKBKB		inhibitor of kappa light polypeptide gene enhancer in B-cells, kinase beta [Source:HGNC Symbol;Acc:5960]
CCT3		chaperonin containing TCP1, subunit 3 (gamma) [Source:HGNC Symbol;Acc:1616]
ERH		enhancer of rudimentary homolog (Drosophila) [Source:HGNC Symbol;Acc:3447]
NFKB1		nuclear factor of kappa light polypeptide gene enhancer in B-cells 1 [Source:HGNC Symbol;Acc:7794]
STAT3		signal transducer and activator of transcription 3 (acute-phase response factor) [Source:HGNC Symbol;Acc:11364]
PRKACB		protein kinase, cAMP-dependent, catalytic, beta [Source:HGNC Symbol;Acc:9381]
CHUK		conserved helix-loop-helix ubiquitous kinase [Source:HGNC Symbol;Acc:1974]
SNRPF		small nuclear ribonucleoprotein polypeptide F [Source:HGNC Symbol;Acc:11162]
XIAP		X-linked inhibitor of apoptosis [Source:HGNC Symbol;Acc:592]
PRKAR1A		protein kinase, cAMP-dependent, regulatory, type I, alpha [Source:HGNC Symbol;Acc:9388]
ACTN1		actinin, alpha 1 [Source:HGNC Symbol;Acc:163]
PABPC1		poly(A) binding protein, cytoplasmic 1 [Source:HGNC Symbol;Acc:8554]
RELA		v-rel avian reticuloendotheliosis viral oncogene homolog A [Source:HGNC Symbol;Acc:9955]
TERF2IP		telomeric repeat binding factor 2, interacting protein [Source:HGNC Symbol;Acc:19246]
PSMD4		proteasome (prosome, macropain) 26S subunit, non-ATPase, 4 [Source:HGNC Symbol;Acc:9561]
PIK3R1		phosphoinositide-3-kinase, regulatory subunit 1 (alpha) [Source:HGNC Symbol;Acc:8979]
CLNS1A		chloride channel, nucleotide-sensitive, 1A [Source:HGNC Symbol;Acc:2080]
AKT1		v-akt murine thymoma viral oncogene homolog 1 [Source:HGNC Symbol;Acc:391]
ATM		ataxia telangiectasia mutated [Source:HGNC Symbol;Acc:795]
PPP2CA		protein phosphatase 2, catalytic subunit, alpha isozyme [Source:HGNC Symbol;Acc:9299]
SF3B1		splicing factor 3b, subunit 1, 155kDa [Source:HGNC Symbol;Acc:10768]
TRAF2		TNF receptor-associated factor 2 [Source:HGNC Symbol;Acc:12032]
PRKACA		protein kinase, cAMP-dependent, catalytic, alpha [Source:HGNC Symbol;Acc:9380]
DDX5		DEAD (Asp-Glu-Ala-Asp) box helicase 5 [Source:HGNC Symbol;Acc:2746]
SF3A1		splicing factor 3a, subunit 1, 120kDa [Source:HGNC Symbol;Acc:10765]
TP53		tumor protein p53 [Source:HGNC Symbol;Acc:11998]
CTNNB1		catenin (cadherin-associated protein), beta 1, 88kDa [Source:HGNC Symbol;Acc:2514]
IKBKG		inhibitor of kappa light polypeptide gene enhancer in B-cells, kinase gamma [Source:HGNC Symbol;Acc:5961]
RUVBL2		RuvB-like AAA ATPase 2 [Source:HGNC Symbol;Acc:10475]
HSP90AB1		heat shock protein 90kDa alpha (cytosolic), class B member 1 [Source:HGNC Symbol;Acc:5258]
TARDBP		TAR DNA binding protein [Source:HGNC Symbol;Acc:11571]

Network Group	Network	Weight	Title	Authors	Year	Publication	PMID	URL	Processing Method	Interactions	Source	Source URL	Tags
Physical interactions		100.00
	Zhou-Liang-2012	9.28	Shotgun proteomics and network analysis of ubiquitin-related proteins from human breast carcinoma epithelial cells.	Zhou, Bi, Lin, Chen, Wang, Liang	2012	Mol Cell Biochem	21853274	http://www.ncbi.nlm.nih.gov/pubmed/21853274	Direct interaction	207	BIOGRID	http://thebiogrid.org/	Cultured Cells,Cancer,Epithelial Cells,Cell Line,Transcription Factors,Breast Cancer
	Singh-Moore-2012	6.77	The cellular EJC interactome reveals higher-order mRNP structure and an EJC-SR protein nexus.	Singh, Kucukural, Cenik, Leszyk, Shaffer, Weng, Moore	2012	Cell	23084401	http://www.ncbi.nlm.nih.gov/pubmed/23084401	Direct interaction	301	IREF	http://irefindex.uio.no/wiki/iRefIndex	
	Altun-Kessler-2011	5.05	Activity-based chemical proteomics accelerates inhibitor development for deubiquitylating enzymes.	Altun, Kramer, Willems, McDermott, Leach, Goldenberg, Kumar, Konietzny, Fischer, Kogan, Mackeen, McGouran, Khoronenkova, Parsons, Dianov, Nicholson, Kessler	2011	Chem Biol	22118674	http://www.ncbi.nlm.nih.gov/pubmed/22118674	Direct interaction	287	BIOGRID	http://thebiogrid.org/	Cultured Cells,Cell Line
	Matsumoto-Nakayama-2005	3.78	Large-scale analysis of the human ubiquitin-related proteome.	Matsumoto, Hatakeyama, Oyamada, Oda, Nishimura, Nakayama	2005	Proteomics	16196087	http://www.ncbi.nlm.nih.gov/pubmed/16196087	Direct interaction	648	BIOGRID	http://thebiogrid.org/	Cultured Cells,Cell Line
	Lee-Doedens-2011	3.60	Ubiquitin ligase substrate identification through quantitative proteomics at both the protein and peptide levels.	Lee, Hammerle, Andrews, Stokes, Mustelin, Silva, Black, Doedens	2011	J Biol Chem	21987572	http://www.ncbi.nlm.nih.gov/pubmed/21987572	Direct interaction	1320	BIOGRID	http://thebiogrid.org/	
	Behzadnia-Lührmann-2007	2.67	Composition and three-dimensional EM structure of double affinity-purified, human prespliceosomal A complexes.	Behzadnia, Golas, Hartmuth, Sander, Kastner, Deckert, Dube, Will, Urlaub, Stark, Lührmann	2007	EMBO J	17332742	http://www.ncbi.nlm.nih.gov/pubmed/17332742	Direct interaction	112	IREF	http://irefindex.uio.no/wiki/iRefIndex	
	Jones-MacBeath-2006	2.64	A quantitative protein interaction network for the ErbB receptors using protein microarrays.	Jones, Gordus, Krall, MacBeath	2006	Nature	16273093	http://www.ncbi.nlm.nih.gov/pubmed/16273093	Direct interaction	172	IREF	http://irefindex.uio.no/wiki/iRefIndex	Cultured Cells,Cell Line
	Maréchal-Zou-2014	2.58	PRP19 transforms into a sensor of RPA-ssDNA after DNA damage and drives ATR activation via a ubiquitin-mediated circuitry.	Maréchal, Li, Ji, Wu, Yazinski, Nguyen, Liu, Jiménez, Jin, Zou	2014	Mol Cell	24332808	http://www.ncbi.nlm.nih.gov/pubmed/24332808	Direct interaction	996	BIOGRID	http://thebiogrid.org/	Transcription Factors,Signal Transduction
	Berggård-James-2006	2.37	140 mouse brain proteins identified by Ca2+-calmodulin affinity chromatography and tandem mass spectrometry.	Berggård, Arrigoni, Olsson, Fex, Linse, James	2006	J Proteome Res	16512683	http://www.ncbi.nlm.nih.gov/pubmed/16512683	Direct interaction	151	IREF	http://irefindex.uio.no/wiki/iRefIndex	Brain,Nervous System
	Shi-Qin-2011	2.30	A data set of human endogenous protein ubiquitination sites.	Shi, Chan, Jung, Malovannaya, Wang, Qin	2011	Mol Cell Proteomics	20972266	http://www.ncbi.nlm.nih.gov/pubmed/20972266	Direct interaction	269	BIOGRID	http://thebiogrid.org/	Cancer
	Vanderwerf-Bagby-2009	2.22	TLR8-dependent TNF-(alpha) overexpression in Fanconi anemia group C cells.	Vanderwerf, Svahn, Olson, Rathbun, Harrington, Yates, Keeble, Anderson, Anur, Pereira, Pilonetto, Pasquini, Bagby	2009	Blood	19850743	http://www.ncbi.nlm.nih.gov/pubmed/19850743	Direct interaction	149	BIOGRID	http://thebiogrid.org/	Knockout,Cell Signalling,Signal Transduction
