GeneMANIA Results
Plugin Version	3.4.1 (20160523-2245)
Data Version	2014-08-12
Report Generated	Tue Jan 17 13:28:01 GMT 2017

Gene	Score	Description
F7		coagulation factor VII (serum prothrombin conversion accelerator) [Source:HGNC Symbol;Acc:3544]
F9		coagulation factor IX [Source:HGNC Symbol;Acc:3551]
CALB2		calbindin 2 [Source:HGNC Symbol;Acc:1435]
C4A		complement component 4A (Rodgers blood group) [Source:HGNC Symbol;Acc:1323]
SLC1A3		solute carrier family 1 (glial high affinity glutamate transporter), member 3 [Source:HGNC Symbol;Acc:10941]
BDKRB1		bradykinin receptor B1 [Source:HGNC Symbol;Acc:1029]
F5		coagulation factor V (proaccelerin, labile factor) [Source:HGNC Symbol;Acc:3542]
MT3		metallothionein 3 [Source:HGNC Symbol;Acc:7408]
DPP6		dipeptidyl-peptidase 6 [Source:HGNC Symbol;Acc:3010]
SLC1A2		solute carrier family 1 (glial high affinity glutamate transporter), member 2 [Source:HGNC Symbol;Acc:10940]
F13A1		coagulation factor XIII, A1 polypeptide [Source:HGNC Symbol;Acc:3531]
C2		complement component 2 [Source:HGNC Symbol;Acc:1248]
TMOD2		tropomodulin 2 (neuronal) [Source:HGNC Symbol;Acc:11872]
FGGY		FGGY carbohydrate kinase domain containing [Source:HGNC Symbol;Acc:25610]
C5AR1		complement component 5a receptor 1 [Source:HGNC Symbol;Acc:1338]
F11		coagulation factor XI [Source:HGNC Symbol;Acc:3529]
NEFM		neurofilament, medium polypeptide [Source:HGNC Symbol;Acc:7734]
FIG4		FIG4 homolog, SAC1 lipid phosphatase domain containing (S. cerevisiae) [Source:HGNC Symbol;Acc:16873]
DAO		D-amino-acid oxidase [Source:HGNC Symbol;Acc:2671]
FOLH1		folate hydrolase (prostate-specific membrane antigen) 1 [Source:HGNC Symbol;Acc:3788]
SERPINC1		serpin peptidase inhibitor, clade C (antithrombin), member 1 [Source:HGNC Symbol;Acc:775]
PON1		paraoxonase 1 [Source:HGNC Symbol;Acc:9204]
KLKB1		kallikrein B, plasma (Fletcher factor) 1 [Source:HGNC Symbol;Acc:6371]
NES		nestin [Source:HGNC Symbol;Acc:7756]
NEFH		neurofilament, heavy polypeptide [Source:HGNC Symbol;Acc:7737]
CR1		complement component (3b/4b) receptor 1 (Knops blood group) [Source:HGNC Symbol;Acc:2334]
THBD		thrombomodulin [Source:HGNC Symbol;Acc:11784]
CPB2		carboxypeptidase B2 (plasma) [Source:HGNC Symbol;Acc:2300]
C1QC		complement component 1, q subcomponent, C chain [Source:HGNC Symbol;Acc:1245]
PRPH		peripherin [Source:HGNC Symbol;Acc:9461]
SLC1A1		solute carrier family 1 (neuronal/epithelial high affinity glutamate transporter, system Xag), member 1 [Source:HGNC Symbol;Acc:10939]
CTSC		cathepsin C [Source:HGNC Symbol;Acc:2528]
ECE1		endothelin converting enzyme 1 [Source:HGNC Symbol;Acc:3146]
CST3		cystatin C [Source:HGNC Symbol;Acc:2475]
C4BPA		complement component 4 binding protein, alpha [Source:HGNC Symbol;Acc:1325]
HNRNPDL		heterogeneous nuclear ribonucleoprotein D-like [Source:HGNC Symbol;Acc:5037]
AIF1		allograft inflammatory factor 1 [Source:HGNC Symbol;Acc:352]
CTSH		cathepsin H [Source:HGNC Symbol;Acc:2535]
GFM1		G elongation factor, mitochondrial 1 [Source:HGNC Symbol;Acc:13780]
SERTAD3		SERTA domain containing 3 [Source:HGNC Symbol;Acc:17931]
FGA		fibrinogen alpha chain [Source:HGNC Symbol;Acc:3661]
F10		coagulation factor X [Source:HGNC Symbol;Acc:3528]
PLEKHB1		pleckstrin homology domain containing, family B (evectins) member 1 [Source:HGNC Symbol;Acc:19079]
GRIK1		glutamate receptor, ionotropic, kainate 1 [Source:HGNC Symbol;Acc:4579]
TSPO		translocator protein (18kDa) [Source:HGNC Symbol;Acc:1158]
TRPM7		transient receptor potential cation channel, subfamily M, member 7 [Source:HGNC Symbol;Acc:17994]
MASP2		mannan-binding lectin serine peptidase 2 [Source:HGNC Symbol;Acc:6902]
F2		coagulation factor II (thrombin) [Source:HGNC Symbol;Acc:3535]
ARHGEF2		Rho/Rac guanine nucleotide exchange factor (GEF) 2 [Source:HGNC Symbol;Acc:682]
CCS		copper chaperone for superoxide dismutase [Source:HGNC Symbol;Acc:1613]
DUSP11		dual specificity phosphatase 11 (RNA/RNP complex 1-interacting) [Source:HGNC Symbol;Acc:3066]
SSR1		signal sequence receptor, alpha [Source:HGNC Symbol;Acc:11323]
SYP		synaptophysin [Source:HGNC Symbol;Acc:11506]
MBL2		mannose-binding lectin (protein C) 2, soluble [Source:HGNC Symbol;Acc:6922]
F12		coagulation factor XII (Hageman factor) [Source:HGNC Symbol;Acc:3530]
GRIA4		glutamate receptor, ionotropic, AMPA 4 [Source:HGNC Symbol;Acc:4574]
SERPINE1		serpin peptidase inhibitor, clade E (nexin, plasminogen activator inhibitor type 1), member 1 [Source:HGNC Symbol;Acc:8583]
GLG1		golgi glycoprotein 1 [Source:HGNC Symbol;Acc:4316]
SERPINA5		serpin peptidase inhibitor, clade A (alpha-1 antiproteinase, antitrypsin), member 5 [Source:HGNC Symbol;Acc:8723]
C1QB		complement component 1, q subcomponent, B chain [Source:HGNC Symbol;Acc:1242]
MATR3		matrin 3 [Source:HGNC Symbol;Acc:6912]
SERPING1		serpin peptidase inhibitor, clade G (C1 inhibitor), member 1 [Source:HGNC Symbol;Acc:1228]
SPAST		spastin [Source:HGNC Symbol;Acc:11233]
GAP43		growth associated protein 43 [Source:HGNC Symbol;Acc:4140]
CNR1		cannabinoid receptor 1 (brain) [Source:HGNC Symbol;Acc:2159]
KNG1		kininogen 1 [Source:HGNC Symbol;Acc:6383]
PROS1		protein S (alpha) [Source:HGNC Symbol;Acc:9456]
NAIP		NLR family, apoptosis inhibitory protein [Source:HGNC Symbol;Acc:7634]
ALAD		aminolevulinate dehydratase [Source:HGNC Symbol;Acc:395]
SERPINE2		serpin peptidase inhibitor, clade E (nexin, plasminogen activator inhibitor type 1), member 2 [Source:HGNC Symbol;Acc:8951]
TFPI		tissue factor pathway inhibitor (lipoprotein-associated coagulation inhibitor) [Source:HGNC Symbol;Acc:11760]
RNF19A		ring finger protein 19A, RBR E3 ubiquitin protein ligase [Source:HGNC Symbol;Acc:13432]
MASP1		mannan-binding lectin serine peptidase 1 (C4/C2 activating component of Ra-reactive factor) [Source:HGNC Symbol;Acc:6901]
CFB		complement factor B [Source:HGNC Symbol;Acc:1037]
UNC13A		unc-13 homolog A (C. elegans) [Source:HGNC Symbol;Acc:23150]
PLAU		plasminogen activator, urokinase [Source:HGNC Symbol;Acc:9052]
BDKRB2		bradykinin receptor B2 [Source:HGNC Symbol;Acc:1030]
CNTFR		ciliary neurotrophic factor receptor [Source:HGNC Symbol;Acc:2170]
SIGMAR1		sigma non-opioid intracellular receptor 1 [Source:HGNC Symbol;Acc:8157]
SERPINF2		serpin peptidase inhibitor, clade F (alpha-2 antiplasmin, pigment epithelium derived factor), member 2 [Source:HGNC Symbol;Acc:9075]
RPS27A		ribosomal protein S27a [Source:HGNC Symbol;Acc:10417]
F2R		coagulation factor II (thrombin) receptor [Source:HGNC Symbol;Acc:3537]
TH		tyrosine hydroxylase [Source:HGNC Symbol;Acc:11782]
ATXN2		ataxin 2 [Source:HGNC Symbol;Acc:10555]
PROC		protein C (inactivator of coagulation factors Va and VIIIa) [Source:HGNC Symbol;Acc:9451]
VWF		von Willebrand factor [Source:HGNC Symbol;Acc:12726]
VPS54		vacuolar protein sorting 54 homolog (S. cerevisiae) [Source:HGNC Symbol;Acc:18652]
FGB		fibrinogen beta chain [Source:HGNC Symbol;Acc:3662]
CD59		CD59 molecule, complement regulatory protein [Source:HGNC Symbol;Acc:1689]
CNTF		ciliary neurotrophic factor [Source:HGNC Symbol;Acc:2169]
GSR		glutathione reductase [Source:HGNC Symbol;Acc:4623]
GFAP		glial fibrillary acidic protein [Source:HGNC Symbol;Acc:4235]
KIFAP3		kinesin-associated protein 3 [Source:HGNC Symbol;Acc:17060]
FGG		fibrinogen gamma chain [Source:HGNC Symbol;Acc:3694]
VAPB		VAMP (vesicle-associated membrane protein)-associated protein B and C [Source:HGNC Symbol;Acc:12649]
GDNF		glial cell derived neurotrophic factor [Source:HGNC Symbol;Acc:4232]
HEXA		hexosaminidase A (alpha polypeptide) [Source:HGNC Symbol;Acc:4878]
CD55		CD55 molecule, decay accelerating factor for complement (Cromer blood group) [Source:HGNC Symbol;Acc:2665]
PLAT		plasminogen activator, tissue [Source:HGNC Symbol;Acc:9051]
CYFIP2		cytoplasmic FMR1 interacting protein 2 [Source:HGNC Symbol;Acc:13760]
SOD2		superoxide dismutase 2, mitochondrial [Source:HGNC Symbol;Acc:11180]
GRIK2		glutamate receptor, ionotropic, kainate 2 [Source:HGNC Symbol;Acc:4580]
F8		coagulation factor VIII, procoagulant component [Source:HGNC Symbol;Acc:3546]
CALB1		calbindin 1, 28kDa [Source:HGNC Symbol;Acc:1434]
C1QA		complement component 1, q subcomponent, A chain [Source:HGNC Symbol;Acc:1241]
UTS2R		urotensin 2 receptor [Source:HGNC Symbol;Acc:4468]
GRIA2		glutamate receptor, ionotropic, AMPA 2 [Source:HGNC Symbol;Acc:4572]
XBP1		X-box binding protein 1 [Source:HGNC Symbol;Acc:12801]
CHMP2B		charged multivesicular body protein 2B [Source:HGNC Symbol;Acc:24537]
NGF		nerve growth factor (beta polypeptide) [Source:HGNC Symbol;Acc:7808]
TUBA4A		tubulin, alpha 4a [Source:HGNC Symbol;Acc:12407]
PLG		plasminogen [Source:HGNC Symbol;Acc:9071]
PFN1		profilin 1 [Source:HGNC Symbol;Acc:8881]
CASP14 (MICE)		caspase 14, apoptosis-related cysteine peptidase [Source:HGNC Symbol;Acc:1502]
UBQLN2		ubiquilin 2 [Source:HGNC Symbol;Acc:12509]
CD46		CD46 molecule, complement regulatory protein [Source:HGNC Symbol;Acc:6953]
BDNF		brain-derived neurotrophic factor [Source:HGNC Symbol;Acc:1033]
MAP2		microtubule-associated protein 2 [Source:HGNC Symbol;Acc:6839]
NTRK2		neurotrophic tyrosine kinase, receptor, type 2 [Source:HGNC Symbol;Acc:8032]
ANG		angiogenin, ribonuclease, RNase A family, 5 [Source:HGNC Symbol;Acc:483]
CFH		complement factor H [Source:HGNC Symbol;Acc:4883]
GRIA1		glutamate receptor, ionotropic, AMPA 1 [Source:HGNC Symbol;Acc:4571]
BTBD10		BTB (POZ) domain containing 10 [Source:HGNC Symbol;Acc:21445]
GRN		granulin [Source:HGNC Symbol;Acc:4601]
FUS		fused in sarcoma [Source:HGNC Symbol;Acc:4010]
TIAM1		T-cell lymphoma invasion and metastasis 1 [Source:HGNC Symbol;Acc:11805]
DYNC1H1		dynein, cytoplasmic 1, heavy chain 1 [Source:HGNC Symbol;Acc:2961]
NOS1		nitric oxide synthase 1 (neuronal) [Source:HGNC Symbol;Acc:7872]
GLUL		glutamate-ammonia ligase [Source:HGNC Symbol;Acc:4341]
CR2		complement component (3d/Epstein Barr virus) receptor 2 [Source:HGNC Symbol;Acc:2336]
FGF1		fibroblast growth factor 1 (acidic) [Source:HGNC Symbol;Acc:3665]
IL10RB		interleukin 10 receptor, beta [Source:HGNC Symbol;Acc:5965]
MAPT		microtubule-associated protein tau [Source:HGNC Symbol;Acc:6893]
LMNB1		lamin B1 [Source:HGNC Symbol;Acc:6637]
ADA		adenosine deaminase [Source:HGNC Symbol;Acc:186]
NGFR		nerve growth factor receptor [Source:HGNC Symbol;Acc:7809]
PPARGC1A		peroxisome proliferator-activated receptor gamma, coactivator 1 alpha [Source:HGNC Symbol;Acc:9237]
PLAUR		plasminogen activator, urokinase receptor [Source:HGNC Symbol;Acc:9053]
HNRNPC		heterogeneous nuclear ribonucleoprotein C (C1/C2) [Source:HGNC Symbol;Acc:5035]
SOD1		superoxide dismutase 1, soluble [Source:HGNC Symbol;Acc:11179]
C3		complement component 3 [Source:HGNC Symbol;Acc:1318]
MAG		myelin associated glycoprotein [Source:HGNC Symbol;Acc:6783]
HSF1		heat shock transcription factor 1 [Source:HGNC Symbol;Acc:5224]
RTN4		reticulon 4 [Source:HGNC Symbol;Acc:14085]
BCR		breakpoint cluster region [Source:HGNC Symbol;Acc:1014]
SERPINA1		serpin peptidase inhibitor, clade A (alpha-1 antiproteinase, antitrypsin), member 1 [Source:HGNC Symbol;Acc:8941]
HSPB1		heat shock 27kDa protein 1 [Source:HGNC Symbol;Acc:5246]
PAWR		PRKC, apoptosis, WT1, regulator [Source:HGNC Symbol;Acc:8614]
TFRC		transferrin receptor [Source:HGNC Symbol;Acc:11763]
CYCS		cytochrome c, somatic [Source:HGNC Symbol;Acc:19986]
APEX1		APEX nuclease (multifunctional DNA repair enzyme) 1 [Source:HGNC Symbol;Acc:587]
CDK5		cyclin-dependent kinase 5 [Source:HGNC Symbol;Acc:1774]
IGF1		insulin-like growth factor 1 (somatomedin C) [Source:HGNC Symbol;Acc:5464]
HSPA5		heat shock 70kDa protein 5 (glucose-regulated protein, 78kDa) [Source:HGNC Symbol;Acc:5238]
DCTN1		dynactin 1 [Source:HGNC Symbol;Acc:2711]
CASP1		caspase 1, apoptosis-related cysteine peptidase [Source:HGNC Symbol;Acc:1499]
TBK1		TANK-binding kinase 1 [Source:HGNC Symbol;Acc:11584]
A2M		alpha-2-macroglobulin [Source:HGNC Symbol;Acc:7]
ZNF512B		zinc finger protein 512B [Source:HGNC Symbol;Acc:29212]
SMN1		survival of motor neuron 1, telomeric [Source:HGNC Symbol;Acc:11117]
PRNP		prion protein [Source:HGNC Symbol;Acc:9449]
HNRNPA1		heterogeneous nuclear ribonucleoprotein A1 [Source:HGNC Symbol;Acc:5031]
ERBB4		v-erb-b2 avian erythroblastic leukemia viral oncogene homolog 4 [Source:HGNC Symbol;Acc:3432]
PSEN1		presenilin 1 [Source:HGNC Symbol;Acc:9508]
OPTN		optineurin [Source:HGNC Symbol;Acc:17142]
SQSTM1		sequestosome 1 [Source:HGNC Symbol;Acc:11280]
CASP3		caspase 3, apoptosis-related cysteine peptidase [Source:HGNC Symbol;Acc:1504]
HTT		huntingtin [Source:HGNC Symbol;Acc:4851]
CREBBP		CREB binding protein [Source:HGNC Symbol;Acc:2348]
TARDBP		TAR DNA binding protein [Source:HGNC Symbol;Acc:11571]
EP300		E1A binding protein p300 [Source:HGNC Symbol;Acc:3373]
VCP		valosin containing protein [Source:HGNC Symbol;Acc:12666]
SNCA		synuclein, alpha (non A4 component of amyloid precursor) [Source:HGNC Symbol;Acc:11138]
APP		amyloid beta (A4) precursor protein [Source:HGNC Symbol;Acc:620]

Network Group	Network	Weight	Title	Authors	Year	Publication	PMID	URL	Processing Method	Interactions	Source	Source URL	Tags
Physical interactions		100.00
	Blandin-Richard-2013	12.27	A human skeletal muscle interactome centered on proteins involved in muscular dystrophies: LGMD interactome.	Blandin, Marchand, Charton, Danièle, Gicquel, Boucheteil, Bentaib, Barrault, Stockholm, Bartoli, Richard	2013	Skelet Muscle	23414517	http://www.ncbi.nlm.nih.gov/pubmed/23414517	Direct interaction	658	IREF	http://irefindex.uio.no/wiki/iRefIndex	
	McFarland-Nussbaum-2008	11.67	Proteomics analysis identifies phosphorylation-dependent alpha-synuclein protein interactions.	McFarland, Ellis, Markey, Nussbaum	2008	Mol Cell Proteomics	18614564	http://www.ncbi.nlm.nih.gov/pubmed/18614564	Direct interaction	157	IREF	http://irefindex.uio.no/wiki/iRefIndex	Brain,Nervous System
	IREF-INNATEDB	11.02							Direct interaction	3870	IREF	http://irefindex.uio.no/wiki/iRefIndex	
	IREF-OPHID	8.54							Direct interaction	44492	IREF	http://irefindex.uio.no/wiki/iRefIndex	
	IREF-BIOGRID	7.23							Direct interaction	127207	IREF	http://irefindex.uio.no/wiki/iRefIndex	
	IREF-DIP	7.02							Direct interaction	3719	IREF	http://irefindex.uio.no/wiki/iRefIndex	
	Freibaum-Taylor-2010	6.14	Global analysis of TDP-43 interacting proteins reveals strong association with RNA splicing and translation machinery.	Freibaum, Chitta, High, Taylor	2010	J Proteome Res	20020773	http://www.ncbi.nlm.nih.gov/pubmed/20020773	Direct interaction	222	BIOGRID	http://thebiogrid.org/	Transcription Factors,Cultured Cells,Cell Line,Immune System
	Behrends-Harper-2010	5.91	Network organization of the human autophagy system.	Behrends, Sowa, Gygi, Harper	2010	Nature	20562859	http://www.ncbi.nlm.nih.gov/pubmed/20562859	Direct interaction	766	IREF	http://irefindex.uio.no/wiki/iRefIndex	
	Yu-Chow-2013	5.83	VCP phosphorylation-dependent interaction partners prevent apoptosis in Helicobacter pylori-infected gastric epithelial cells.	Yu, Yang, Chang, Chuang, Lin, Wu, Chow	2013	PLoS One	23383273	http://www.ncbi.nlm.nih.gov/pubmed/23383273	Direct interaction	272	IREF	http://irefindex.uio.no/wiki/iRefIndex	Cultured Cells,Signal Transduction,Cancer,Cell Proliferation,Apoptosis,Cell Line,Epithelial Cells
	Dyer-Sobral-2010	4.04	The human-bacterial pathogen protein interaction networks of Bacillus anthracis, Francisella tularensis, and Yersinia pestis.	Dyer, Neff, Dufford, Rivera, Shattuck, Bassaganya-Riera, Murali, Sobral	2010	PLoS One	20711500	http://www.ncbi.nlm.nih.gov/pubmed/20711500	Direct interaction	583	IREF	http://irefindex.uio.no/wiki/iRefIndex	
	Jeronimo-Coulombe-2007	3.81	Systematic analysis of the protein interaction network for the human transcription machinery reveals the identity of the 7SK capping enzyme.	Jeronimo, Forget, Bouchard, Li, Chua, Poitras, Thérien, Bergeron, Bourassa, Greenblatt, Chabot, Poirier, Hughes, Blanchette, Price, Coulombe	2007	Mol Cell	17643375	http://www.ncbi.nlm.nih.gov/pubmed/17643375	Direct interaction	699	BIOGRID	http://thebiogrid.org/	Cultured Cells,Cell Line
	IREF-BIND	3.76							Direct interaction	7078	IREF	http://irefindex.uio.no/wiki/iRefIndex	
	IREF-SMALL-SCALE-STUDIES	3.34							Direct interaction	69119	IREF	http://irefindex.uio.no/wiki/iRefIndex	
	BIOGRID-SMALL-SCALE-STUDIES	2.32							Direct interaction	51715	BIOGRID	http://thebiogrid.org/	
	Nakayasu-Adkins-2013	1.74	Evaluation of selected binding domains for the analysis of ubiquitinated proteomes.	Nakayasu, Ansong, Brown, Yang, Lopez-Ferrer, Qian, Smith, Adkins	2013	J Am Soc Mass Spectrom	23649778	http://www.ncbi.nlm.nih.gov/pubmed/23649778	Direct interaction	881	IREF	http://irefindex.uio.no/wiki/iRefIndex	Cultured Cells,Signal Transduction,Cell Line,Immune System
	Li-Dorf-2011 B	1.26	Mapping a dynamic innate immunity protein interaction network regulating type I interferon production.	Li, Wang, Berman, Kong, Dorf	2011	Immunity	21903422	http://www.ncbi.nlm.nih.gov/pubmed/21903422	Direct interaction	125	BIOGRID	http://thebiogrid.org/	Cell Signalling,Cultured Cells,Cell Line,Immune System
	Kristensen-Foster-2012	1.14	A high-throughput approach for measuring temporal changes in the interactome.	Kristensen, Gsponer, Foster	2012	Nat Methods	22863883	http://www.ncbi.nlm.nih.gov/pubmed/22863883	Direct interaction	7104	BIOGRID	http://thebiogrid.org/	Time Series
	IREF-MPPI	1.05							Direct interaction	384	IREF	http://irefindex.uio.no/wiki/iRefIndex	
	Oláh-Ovádi-2011	0.89	Interactions of pathological hallmark proteins: tubulin polymerization promoting protein/p25, beta-amyloid, and alpha-synuclein.	Oláh, Vincze, Virók, Simon, Bozsó, Tõkési, Horváth, Hlavanda, Kovács, Magyar, Szũcs, Orosz, Penke, Ovádi	2011	J Biol Chem	21832049	http://www.ncbi.nlm.nih.gov/pubmed/21832049	Direct interaction	1851	IREF	http://irefindex.uio.no/wiki/iRefIndex	Epithelial Cells,Cultured Cells,Nervous System,Cell Line
	IREF-HPRD	0.87							Direct interaction	34112	IREF	http://irefindex.uio.no/wiki/iRefIndex	
	IREF-INTACT	0.16							Direct interaction	42475	IREF	http://irefindex.uio.no/wiki/iRefIndex	

Gene 1	Gene 2	Weight	Type	Source
SQSTM1	GLG1	1.336222988195677	Physical interactions	Behrends-Harper-2010
SQSTM1	NEFM	1.336222988195677	Physical interactions	Behrends-Harper-2010
A2M	CPB2	0.23926543392001265	Physical interactions	BIOGRID-SMALL-SCALE-STUDIES
A2M	HSPA5	0.02811118824653591	Physical interactions	BIOGRID-SMALL-SCALE-STUDIES
A2M	NGF	0.25239694343070784	Physical interactions	BIOGRID-SMALL-SCALE-STUDIES
APP	PSEN1	0.02440552779258243	Physical interactions	BIOGRID-SMALL-SCALE-STUDIES
APP	SNCA	0.009693939740072998	Physical interactions	BIOGRID-SMALL-SCALE-STUDIES
C1QA	C1R	0.7151158977107185	Physical interactions	BIOGRID-SMALL-SCALE-STUDIES
C1QA	C1S	0.5505970339667458	Physical interactions	BIOGRID-SMALL-SCALE-STUDIES
C1R	C1S	0.8737906247291347	Physical interactions	BIOGRID-SMALL-SCALE-STUDIES
C3	C5	0.16210158187950485	Physical interactions	BIOGRID-SMALL-SCALE-STUDIES
C3	CFB	0.34444596376344555	Physical interactions	BIOGRID-SMALL-SCALE-STUDIES
C3	CFH	0.27979298294536453	Physical interactions	BIOGRID-SMALL-SCALE-STUDIES
C3	CFI	0.5641552668265649	Physical interactions	BIOGRID-SMALL-SCALE-STUDIES
C5	C6	0.9598027500161446	Physical interactions	BIOGRID-SMALL-SCALE-STUDIES
C5	C7	0.7183648576685859	Physical interactions	BIOGRID-SMALL-SCALE-STUDIES
C5	C8B	0.9311537468944339	Physical interactions	BIOGRID-SMALL-SCALE-STUDIES
C5AR1	C5	0.5516485214539071	Physical interactions	BIOGRID-SMALL-SCALE-STUDIES
C8G	C8A	1.9915338040826267	Physical interactions	BIOGRID-SMALL-SCALE-STUDIES
CASP1	MICE	0.2233981925419656	Physical interactions	BIOGRID-SMALL-SCALE-STUDIES
CASP3	HSPB1	0.02690910508493381	Physical interactions	BIOGRID-SMALL-SCALE-STUDIES
CD59	C8A	0.5426661149324873	Physical interactions	BIOGRID-SMALL-SCALE-STUDIES
CD59	C9	0.7212867879276063	Physical interactions	BIOGRID-SMALL-SCALE-STUDIES
CDK5	MAPT	0.0357788038347604	Physical interactions	BIOGRID-SMALL-SCALE-STUDIES
CDK5	NES	0.42469836824695134	Physical interactions	BIOGRID-SMALL-SCALE-STUDIES
CNTF	CNTFR	0.9275388810298536	Physical interactions	BIOGRID-SMALL-SCALE-STUDIES
CPB2	C5	0.4973650785651571	Physical interactions	BIOGRID-SMALL-SCALE-STUDIES
CR2	CR1	1.178394344840161	Physical interactions	BIOGRID-SMALL-SCALE-STUDIES
CREBBP	HTT	0.002592547131875819	Physical interactions	BIOGRID-SMALL-SCALE-STUDIES
CREBBP	PPARGC1A	0.009905677616543353	Physical interactions	BIOGRID-SMALL-SCALE-STUDIES
CST3	C4A	1.350799209371116	Physical interactions	BIOGRID-SMALL-SCALE-STUDIES
CYCS	HSPB1	0.076943645598442	Physical interactions	BIOGRID-SMALL-SCALE-STUDIES
DCTN1	DYNC1H1	0.1037359645351804	Physical interactions	BIOGRID-SMALL-SCALE-STUDIES
EP300	APEX1	0.01172894069208953	Physical interactions	BIOGRID-SMALL-SCALE-STUDIES
EP300	CREBBP	0.002182269458772884	Physical interactions	BIOGRID-SMALL-SCALE-STUDIES
EP300	MAPT	0.007580098265763741	Physical interactions	BIOGRID-SMALL-SCALE-STUDIES
EP300	PPARGC1A	0.008533164707199201	Physical interactions	BIOGRID-SMALL-SCALE-STUDIES
F10	F5	0.48215488307857035	Physical interactions	BIOGRID-SMALL-SCALE-STUDIES
F10	F7	0.6945406474349355	Physical interactions	BIOGRID-SMALL-SCALE-STUDIES
F13A1	F13B	1.3770077119340518	Physical interactions	BIOGRID-SMALL-SCALE-STUDIES
F2	CPB2	0.3123255155297952	Physical interactions	BIOGRID-SMALL-SCALE-STUDIES
F2	F5	0.31099443698464563	Physical interactions	BIOGRID-SMALL-SCALE-STUDIES
F2	FGA	0.14187979090924846	Physical interactions	BIOGRID-SMALL-SCALE-STUDIES
F2	SERPIND1	0.9887359706717351	Physical interactions	BIOGRID-SMALL-SCALE-STUDIES
